family,n,instance,seed,m,c_opt,ar_uniform,ar_balanced,ar_ceiling_p1,ar_proxy_p1,gamma_p1,beta_p1,ar_ceiling_p3,ar_proxy_p3,g1,gf,b1,bf
ER(0.5),12,1,20271812,38,26.0,0.7307692307692307,0.7972027972027972,0.8477289924229867,0.8268479547489554,0.40276828892176836,0.28193780224523785,0.9247747897814202,0.8505042306345844,0.05,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,2,20271813,37,26.0,0.7115384615384616,0.7762237762237763,0.8368529726753533,0.8099191309873878,0.40276828892176836,0.28193780224523785,0.9322194925298259,0.8377201185807063,0.05,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,3,20271814,35,25.0,0.7,0.7636363636363636,0.8242754436579601,0.7968238075897353,0.40276828892176836,0.28193780224523785,0.9258549961144368,0.8444395320175976,0.2714285714285714,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,4,20271815,37,25.0,0.74,0.8072727272727274,0.852769413054839,0.8344342798790164,0.40276828892176836,0.28193780224523785,0.9162119658638054,0.8551759044658851,0.05,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,5,20271816,43,28.0,0.7678571428571429,0.8376623376623377,0.8671247452810639,0.8476106219459761,0.32221463113741466,0.28193780224523785,0.9313422058849091,0.8753537126425813,0.05,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,6,20271817,38,27.0,0.7037037037037037,0.7676767676767676,0.8174717361236622,0.796763810234326,0.40276828892176836,0.28193780224523785,0.912566152383117,0.8211584994216611,0.05,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,7,20271818,33,25.0,0.66,0.72,0.7847435940265335,0.7536112480067939,0.40276828892176836,0.28193780224523785,0.8772262950414403,0.8013450881873506,0.2714285714285714,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,8,20271819,27,20.0,0.675,0.7363636363636363,0.8184342735726784,0.7873602550128526,0.483321946706122,0.28193780224523785,0.8972310340786219,0.8265959465271961,0.2714285714285714,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,9,20271820,20,16.0,0.625,0.6818181818181818,0.823532073741406,0.7826622530330494,0.6444292622748293,0.32221463113741466,0.922810663097481,0.8337858162396512,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,10,20271821,41,27.0,0.7592592592592593,0.8282828282828283,0.8670515840008822,0.8416168805898265,0.32221463113741466,0.28193780224523785,0.9371304822012282,0.873303445120312,0.05,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,11,20271822,29,23.0,0.6304347826086957,0.6877470355731226,0.7659195615998123,0.7367188089464711,0.483321946706122,0.28193780224523785,0.8675138190995717,0.7789397124464771,0.2714285714285714,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,12,20271823,35,26.0,0.6730769230769231,0.7342657342657343,0.7970735260153092,0.7676744778795368,0.40276828892176836,0.28193780224523785,0.9104397973273154,0.8196548106405991,0.2714285714285714,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,13,20271824,37,26.0,0.7115384615384616,0.7762237762237763,0.831708180219495,0.8080409705996356,0.40276828892176836,0.28193780224523785,0.9160809489136265,0.8337863793589507,0.05,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,14,20271825,24,19.0,0.631578947368421,0.6889952153110048,0.8026514266511103,0.7673445365247678,0.5638756044904757,0.32221463113741466,0.9229712068478261,0.8247147340835536,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,15,20271826,34,25.0,0.68,0.7418181818181818,0.7963952149165868,0.7721750439077667,0.40276828892176836,0.28193780224523785,0.887842168791486,0.7966379571396348,0.05,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,16,20271827,32,23.0,0.6956521739130435,0.758893280632411,0.8250840237221323,0.7933330353881578,0.40276828892176836,0.28193780224523785,0.9129688379343402,0.8421004602970349,0.2714285714285714,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,17,20271828,23,19.0,0.6052631578947368,0.6602870813397129,0.7765560088548945,0.7387210679861589,0.5638756044904757,0.32221463113741466,0.8951165353526761,0.7970966293964956,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,18,20271829,30,22.0,0.6818181818181818,0.743801652892562,0.8135763091887231,0.7905865889081803,0.483321946706122,0.28193780224523785,0.900162838337084,0.8269101941887587,0.2714285714285714,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,19,20271830,25,20.0,0.625,0.6818181818181819,0.7788714863498212,0.7484771816114544,0.5638756044904757,0.28193780224523785,0.8731609143722003,0.7827630612908086,0.2714285714285714,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,20,20271831,34,25.0,0.68,0.7418181818181818,0.8138558890686385,0.7784642401026863,0.40276828892176836,0.28193780224523785,0.9089574339882925,0.8339781048743223,0.2714285714285714,0.4928571428571429,0.37142857142857144,0.05
ER(0.5),12,21,20271832,34,24.0,0.7083333333333334,0.7727272727272728,0.8438434542733733,0.8097048867182911,0.40276828892176836,0.28193780224523785,0.938035503106145,0.863350173999574,0.2714285714285714,0.4928571428571429,0.37142857142857144,0.05
