family,n,instance,seed,m,c_opt,ar_uniform,ar_balanced,ar_ceiling_p1,ar_proxy_p1,gamma_p1,beta_p1,ar_ceiling_p3,ar_proxy_p3,g1,gf,b1,bf
ER(0.5),10,1,20271612,25,18.0,0.6944444444444444,0.7716049382716049,0.8291203561676036,0.8162269815877048,0.5711986642890533,0.28559933214452665,0.9224399451790488,0.8264507270238611,0.05,0.5666666666666667,0.3,0.05
ER(0.5),10,2,20271613,23,16.0,0.71875,0.7986111111111112,0.8543331415118044,0.8425775534435817,0.5711986642890533,0.28559933214452665,0.9161745117561386,0.8518173822660513,0.05,0.5666666666666667,0.3,0.05
ER(0.25),10,1,20281612,10,9.0,0.5555555555555556,0.6172839506172839,0.7733028772858347,0.757765396128019,1.1423973285781066,0.28559933214452665,0.8689425222789565,0.8281190770847545,0.05,1.6,0.55,0.05
ER(0.25),10,2,20281613,9,9.0,0.5,0.5555555555555556,0.7454446386409631,0.704585954673947,1.1423973285781066,0.28559933214452665,0.8208960347866237,0.777079342994321,0.05,1.6,0.55,0.05
BA(k=2),10,1,20291612,16,13.0,0.6153846153846154,0.6837606837606838,0.764315783551763,0.7362843700323134,0.5711986642890533,0.28559933214452665,0.8788412804239072,0.8104049240149117,0.05,1.0833333333333333,0.55,0.05
BA(k=2),10,2,20291613,16,12.0,0.6666666666666666,0.7407407407407408,0.8552511869773533,0.8452109891838405,0.8567979964335799,0.28559933214452665,0.9328592880826428,0.893675850985541,0.05,1.0833333333333333,0.55,0.05
BA(k=4),10,1,20301612,24,18.0,0.6666666666666666,0.7407407407407408,0.7889440340703954,0.7790069567955543,0.5711986642890533,0.28559933214452665,0.8743021084681717,0.7889184905051224,0.05,0.5666666666666667,0.3,0.05
BA(k=4),10,2,20301613,24,19.0,0.631578947368421,0.7017543859649124,0.7631027099585608,0.7476105762293195,0.5711986642890533,0.28559933214452665,0.8606545568937417,0.8098029553581293,0.05,1.0833333333333333,0.55,0.05
WS(k=4;b=0.1),10,1,20311612,20,15.0,0.6666666666666666,0.7407407407407407,0.8214059700700221,0.7977374699585061,0.5711986642890533,0.28559933214452665,0.8719955781414553,0.8441913211992927,0.5666666666666667,0.5666666666666667,0.3,0.05
WS(k=4;b=0.1),10,2,20311613,20,14.0,0.7142857142857143,0.7936507936507936,0.8830016879751563,0.8564218259794526,0.5711986642890533,0.28559933214452665,0.9449762525700247,0.9202125591686192,0.05,1.0833333333333333,0.55,0.05
WS(k=4;b=0.5),10,1,20321612,20,16.0,0.625,0.6944444444444444,0.7708994014109336,0.7481572530467326,0.5711986642890533,0.28559933214452665,0.8841801817298987,0.8239279625386384,0.05,1.0833333333333333,0.55,0.05
WS(k=4;b=0.5),10,2,20321613,20,16.0,0.625,0.6944444444444444,0.7756670158030848,0.7511679128345011,0.5711986642890533,0.28559933214452665,0.8806922428592965,0.8186077851200005,0.05,1.0833333333333333,0.55,0.05
3-regular,10,1,20331612,15,12.0,0.625,0.6944444444444445,0.8122931391636959,0.7995475428623084,0.8567979964335799,0.28559933214452665,0.8900436383187514,0.8291222381275708,0.5666666666666667,0.5666666666666667,0.3,0.05
3-regular,10,2,20331613,15,13.0,0.5769230769230769,0.6410256410256411,0.7681510331415417,0.7476753295394349,0.8567979964335799,0.28559933214452665,0.8876937268057993,0.7943435920734359,0.05,1.0833333333333333,0.55,0.05
