family,n,instance,seed,ramp,g1,gf,b1,bf,layer,leakage,cum_leakage,distance,overlap,compressed_norm
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,1,0.018524779564553104,0.018524779564553104,0.018524779564553104,0.9996568325420865,0.9998284015480284
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,2,0.04605379809165271,0.06457857765620581,0.05579573817129054,0.9972114405828424,0.9987671801893673
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,3,0.04179832091747025,0.10637689857367606,0.07891922203779744,0.9947814151408799,0.9978921688198086
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,4,0.013750515207348896,0.12012741378102496,0.08501767623238743,0.9941871231813618,0.9977974262962562
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,5,0.037082604545766,0.15721001832679093,0.10121690273514619,0.9919899157220249,0.9971081106698187
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,6,0.06072705391794924,0.21793707224474018,0.13392164751444774,0.9863016250760097,0.99525715736486
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,7,0.06040436541250784,0.27834143765724806,0.14987604867676,0.9822233950152757,0.9934224287407116
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,8,0.039841538830266,0.31818297648751404,0.14664318043380953,0.9819167602328737,0.9926231781037199
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,9,0.02905690416083603,0.34723988064835004,0.14982725460662236,0.9810211611275802,0.992197797835349
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,10,0.05708753509558665,0.4043274157439367,0.150723322572844,0.9792837128564785,0.9905541294477679
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,11,0.08307832137642021,0.48740573712035695,0.12167353557871537,0.9798401258268281,0.9870640687834311
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,12,0.09576440563227044,0.5831701427526274,0.091580419309737,0.9784591161942582,0.9824075806391158
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,13,0.09799591758438657,0.6811660603370139,0.13389245746255002,0.9688693611812601,0.977507777275452
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,14,0.0968125961436894,0.7779786564807033,0.19020956085309298,0.9551607305092001,0.9727017918467679
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,15,0.09894860805032961,0.8769272645310329,0.2073259505247206,0.9471904624125207,0.9676559041450706
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,16,0.10717150731079186,0.9840987718418247,0.2037839501756305,0.9425663089842607,0.9617027694914614
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,17,0.11944674472194194,1.1035455165637666,0.22268031885749648,0.9318480597209583,0.9542560935214808
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,18,0.1319329805329906,1.2354784970967572,0.2670499855374762,0.9133230798228454,0.9450917313523376
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,19,0.14150665025483147,1.3769851473515886,0.30646170591615374,0.8943853396962537,0.934437931916409
ER(0.5),12,1,20271813,small,0.1,0.4,0.4,0.1,20,0.14616922610061742,1.523154373452206,0.32998107573943003,0.8800373648026254,0.922934887164508
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,1,0.02428516019647418,0.02428516019647418,0.02428516019647418,0.9994102309942323,0.9997050720058555
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,2,0.05591231124601677,0.08019747144249095,0.0700114105702116,0.9956913585525288,0.9981402929675586
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,3,0.04238551296543851,0.12258298440792946,0.09336061256457934,0.9928869627565435,0.9972399474228962
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,4,0.017229153532143875,0.13981213794007333,0.09872146406827897,0.9922227793304297,0.9970911036633442
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,5,0.05494919338873766,0.194761331328811,0.12393802980901773,0.9879058600181536,0.9955758409837561
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,6,0.0722269769820555,0.2669883083108665,0.1581694226076083,0.9804686184279527,0.9929524253188298
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,7,0.05265886734183698,0.3196471756527035,0.1665375224629192,0.9777281249802618,0.991555123347573
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,8,0.022774987042293908,0.3424221626949974,0.16380334439620275,0.977918896660454,0.991293529991013
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,9,0.0570764636297965,0.39949862632479394,0.1712924966963896,0.9750441452013411,0.9896489983330246
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,10,0.08781130807804356,0.4873099344028375,0.1547288799001033,0.9739499121208901,0.985745562543997
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,11,0.09449696092998064,0.5818068953328182,0.11611920221454669,0.9747437354865359,0.981205706490835
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,12,0.08621551536529089,0.6680224106981091,0.13046488825060606,0.96922423457913,0.9774106216736536
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,13,0.08206657206123236,0.7500889827593414,0.18061985855245077,0.958126636124389,0.9739592399636628
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,14,0.0928008591210755,0.8428898418804169,0.1849934040984399,0.9533157779896508,0.9695280303616732
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,15,0.11149924920569647,0.9543890910861134,0.16659246145104256,0.9506198512681294,0.9630952803765322
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,16,0.1296611409520527,1.084050232038166,0.20024234382204653,0.9363350818579292,0.9543272539389007
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,17,0.14418915299845741,1.2282393850366233,0.2694826494316359,0.9107354688298309,0.9433716106435206
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,18,0.1548763528895285,1.3831157379261518,0.316610688354173,0.8876960832812513,0.9305714970295352
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,19,0.16206734987969487,1.5451830878058468,0.339383590323641,0.8712059700486371,0.9163500887688947
ER(0.5),14,1,20272013,small,0.1,0.4,0.4,0.1,20,0.1655098085189888,1.7106928963248356,0.3697251438522136,0.8513126665285418,0.9012790846739817
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,1,0.03318296497811353,0.03318296497811353,0.03318296497811353,0.9988988908352604,0.9994492937789605
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,2,0.07252108987010164,0.10570405484821517,0.09216961793470552,0.9925726445393653,0.9968147181694897
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,3,0.05184152667707197,0.15754558152528714,0.11959285135232049,0.9883292473973491,0.9954657394763078
