family,n,instance,seed,m,ceil_p1,ar_emp_p1,ar_paper_p1,sum_leakage_p1,overlap_p1,distance_p1,ceil_p3,ar_emp_p3,ar_paper_p3,sum_leakage_p3,overlap_p3,distance_p3
ER(0.5),10,1,20271612,25,0.8291203561676036,0.8162269815877048,0.47962295086028234,0.20788699485260628,0.9567829973711505,0.20788699485260628,0.9224399451790488,0.8264507270238611,0.7138560999134073,0.20395546032210582,0.9754580872803774,0.18072362398386937
ER(0.5),10,2,20271613,23,0.8543331415118044,0.8425775534435817,0.8425775534435817,0.18811791735000039,0.964611649171898,0.18811791735000039,0.9161745117561386,0.8518173822660513,0.7554197827484261,0.18326704636805372,0.9797331582025736,0.1650244872055897
ER(0.25),10,1,20281612,10,0.7733028772858347,0.757765396128019,0.7733028772858347,0.2500190934156339,0.937490452927624,0.2500190934156339,0.8689425222789565,0.8281190770847545,0.8259430044325748,0.4090244027084704,0.9357737947596341,0.2538812377048287
ER(0.25),10,2,20281613,9,0.7454446386409631,0.704585954673947,0.7425859917218808,0.20451198324184364,0.9581748487104864,0.20451198324184364,0.8208960347866237,0.777079342994321,0.8056913324622808,0.3641371700046202,0.9461205570016559,0.23819502696925626
BA(k=2),10,1,20291612,16,0.764315783551763,0.7362843700323134,0.7568524269571473,0.12402687252021583,0.9846173348928533,0.12402687252021583,0.8788412804239072,0.8104049240149117,0.8478223243929109,0.3472837256775761,0.9540306415927233,0.21550585737055047
BA(k=2),10,2,20291613,16,0.8552511869773533,0.8452109891838405,0.8548044668804743,0.23068042904649436,0.9467865396549239,0.23068042904649436,0.9328592880826428,0.893675850985541,0.9145249087597889,0.30674747596943214,0.9637859065734603,0.19124201133891286
BA(k=4),10,1,20301612,24,0.7889440340703954,0.7790069567955543,0.4955563748985184,0.19976518960015555,0.9600938690240135,0.19976518960015555,0.8743021084681717,0.7889184905051224,0.6852324809963795,0.19672152947566118,0.9770065510797044,0.1751228343675898
BA(k=4),10,2,20301613,24,0.7631027099585608,0.7476105762293195,0.47463089853342116,0.19938548859474667,0.9602454269378337,0.19938548859474667,0.8606545568937417,0.8098029553581293,0.6493087113478939,0.47730034277977673,0.9224586125790957,0.26703144996139244
WS(k=4;b=0.1),10,1,20311612,20,0.8214059700700221,0.7977374699585061,0.8054865228945853,0.12959290932028467,0.9832056778539029,0.12959290932028467,0.8719955781414553,0.8441913211992927,0.8069332471055743,0.35023237127858253,0.9288582675313645,0.3137011242016295
WS(k=4;b=0.1),10,2,20311613,20,0.8830016879751563,0.8564218259794526,0.8701980454593267,0.1337378873128087,0.9821141774971056,0.1337378873128087,0.9449762525700247,0.9202125591686192,0.8870011001153522,0.3315087619619115,0.957646312328134,0.2081348676211752
WS(k=4;b=0.5),10,1,20321612,20,0.7708994014109336,0.7481572530467326,0.7632394219890389,0.16452529746416764,0.9729314264943281,0.16452529746416764,0.8841801817298987,0.8239279625386384,0.8238080127444007,0.4211019620454228,0.9380966866802106,0.23958573316838555
WS(k=4;b=0.5),10,2,20321613,20,0.7756670158030848,0.7511679128345011,0.7672679143859709,0.15607117436761403,0.9756417885315133,0.15607117436761403,0.8806922428592965,0.8186077851200005,0.8027809338070458,0.41969545334190905,0.933988935376624,0.25581891049546174
3-regular,10,1,20331612,15,0.8122931391636959,0.7995475428623084,0.8026265571794586,0.19995656095015413,0.9600173737329859,0.19995656095015413,0.8900436383187514,0.8291222381275708,0.850682590856926,0.28419625627404,0.9518691742482449,0.259214704736812
3-regular,10,2,20331613,15,0.7681510331415417,0.7476753295394349,0.7681510331415417,0.21757304714215894,0.952661969157274,0.21757304714215894,0.8876937268057993,0.7943435920734359,0.8261985423975998,0.3292725305834811,0.9567694664687297,0.2113818428134426
