family,n,instance,seed,m,ceil_p1,ar_paper_raw_p1,ar_paper_strict_p1,ar_paper_loose_p1,frac_sane_p1,ceil_p3,ar_paper_raw_p3,ar_paper_strict_p3,ar_paper_loose_p3,frac_sane_p3
ER(0.5),12,1,20271812,38,0.8477289924229867,0.48612701840493766,0.8160196007727409,0.7540730901291399,0.46125,0.9247747897814202,0.7456387950169029,0.763138174861514,0.7558965522410728,0.110107421875
ER(0.5),12,2,20271813,37,0.8368529726753533,0.4934468033466249,0.7722055994112504,0.6874393553584409,0.533125,0.9322194925298259,0.731350930601192,0.7745929646762314,0.7196734230626223,0.396240234375
ER(0.5),12,3,20271814,35,0.8242754436579601,0.5328470641483745,0.7259155943236999,0.5328470641483745,0.7025,0.9258549961144368,0.7194869290270246,0.7998647802427417,0.7202268670810297,0.886962890625
ER(0.5),12,4,20271815,37,0.852769413054839,0.4979164748263099,0.7958534842635152,0.7146745878645947,0.533125,0.9162119658638054,0.7603801200243222,0.7877777055471836,0.7582752232668588,0.396240234375
ER(0.5),12,5,20271816,43,0.8671247452810639,0.46939693664187443,0.8489154297666417,0.8415535245858928,0.12625,0.9313422058849091,0.8028718974628288,0.4932878904944191,0.4932878904944191,0.0
ER(0.5),12,6,20271817,38,0.8174717361236622,0.47026896903574733,0.786091675269384,0.7261637916420175,0.46125,0.912566152383117,0.7186098417998247,0.733818642716116,0.7267808079617986,0.110107421875
ER(0.5),12,7,20271818,33,0.7847435940265335,0.7673415163678535,0.7673415163678535,0.7673415163678535,1.0,0.8772262950414403,0.793930219227438,0.793930219227438,0.793930219227438,1.0
ER(0.5),12,8,20271819,27,0.8184342735726784,0.8076779585555581,0.7164317168822594,0.7544704036921827,0.421875,0.8972310340786219,0.8155581408532495,0.6331446153252485,0.6331446153252485,0.0
ER(0.5),12,9,20271820,20,0.823532073741406,0.8135622961819252,0.523731781024591,0.6209886328100274,0.12625,0.922810663097481,0.8833267698414415,0.6183681031564139,0.6183681031564139,0.0
ER(0.5),12,10,20271821,41,0.8670515840008822,0.48381812540466645,0.8545760602805701,0.8548879484847693,0.26125,0.9371304822012282,0.771451547767481,0.4996472321072249,0.4996472321072249,0.0
ER(0.5),12,11,20271822,29,0.7659195615998123,0.7579181750220765,0.6359823424423378,0.7298856409378718,0.543125,0.8675138190995717,0.8085223266129864,0.6348589581668704,0.6379806387927284,0.013916015625
ER(0.5),12,12,20271823,35,0.7970735260153092,0.5157040246889849,0.6980941119415829,0.5157040246889849,0.7025,0.9104397973273154,0.6918583653283198,0.7766187317636365,0.6932530795863331,0.886962890625
ER(0.5),12,13,20271824,37,0.831708180219495,0.48955968128836314,0.7705547243418565,0.6873812628646848,0.533125,0.9160809489136265,0.731300221193628,0.7714504139878932,0.7228571138759873,0.396240234375
ER(0.5),12,14,20271825,24,0.8026514266511103,0.7990644385010967,0.6671209072241024,0.6792907675693115,0.276875,0.9229712068478261,0.8637362517756187,0.6177498708052002,0.6177498708052002,0.0
ER(0.5),12,15,20271826,34,0.7963952149165868,0.6800000000000002,0.6800000000000002,0.6800000000000002,0.89,0.887842168791486,0.6988774097121707,0.7104463162435525,0.6988774097121707,0.96728515625
ER(0.5),12,16,20271827,32,0.8250840237221323,0.8131169353963396,0.7976471844634049,0.8131169353963396,0.89125,0.9129688379343402,0.8298227324247912,0.8342455610222581,0.8897600045154618,0.4931640625
ER(0.5),12,17,20271828,23,0.7765560088548945,0.7662474565200902,0.49458341778075077,0.5425983147959449,0.236875,0.8951165353526761,0.8380772067966566,0.5982172875291631,0.5982172875291631,0.0
ER(0.5),12,18,20271829,30,0.8135763091887231,0.8084920701043945,0.7123070527764678,0.7976765794662692,0.614375,0.900162838337084,0.8430559931049757,0.7082351044988289,0.7299226720785676,0.070556640625
ER(0.5),12,19,20271830,25,0.7788714863498212,0.7725658628519632,0.6509947738838832,0.6599373488093844,0.3225,0.8731609143722003,0.790048943558228,0.606361252197782,0.606361252197782,0.0
ER(0.5),12,20,20271831,34,0.8138558890686385,0.6800000000000002,0.6800000000000002,0.6800000000000002,0.89,0.9089574339882925,0.6990528133167095,0.7078185152485106,0.6990528133167095,0.96728515625
ER(0.5),12,21,20271832,34,0.8438434542733733,0.7083333333333335,0.7083333333333335,0.7083333333333335,0.89,0.938035503106145,0.7281464304495779,0.7402956623710443,0.7281464304495779,0.96728515625
ER(0.5),12,22,20271833,32,0.8272470952617033,0.8155491912243399,0.8012434773843247,0.8155491912243399,0.89125,0.9100196889790071,0.831673536569526,0.8322293480571967,0.8886271377957127,0.4931640625
ER(0.5),12,23,20271834,35,0.8251931758394995,0.5334724610021088,0.7259508148408119,0.5334724610021088,0.7025,0.91297455677095,0.7195034084756711,0.8002701272202686,0.7204058698056229,0.886962890625
ER(0.5),12,24,20271835,39,0.8339434035478438,0.46592207192224677,0.8175670265865231,0.777299188065385,0.39125,0.9090244073542654,0.741888420713695,0.6057747522578154,0.6057747522578154,0.0
ER(0.5),12,25,20271836,28,0.7735666880312357,0.7648172297223949,0.6687318833360053,0.6678704652190556,0.479375,0.8740596554588987,0.7951864304528278,0.6039849784417743,0.633988439411058,0.000244140625
ER(0.5),12,26,20271837,36,0.8097318232544978,0.4938690265805971,0.7405584485632702,0.593261856267469,0.611875,0.9079532027272431,0.7115353780125275,0.7051998576857319,0.6997379996036279,0.728759765625
ER(0.5),12,27,20271838,40,0.8451098368951856,0.47337816516460735,0.8404674427842601,0.8164164981941722,0.325,0.9267914331062319,0.7664036243810778,0.5134107468708176,0.5134107468708176,0.0
ER(0.5),12,28,20271839,28,0.8026886417530738,0.7914286796776479,0.6911209986013819,0.6870579269265996,0.479375,0.8895754550797096,0.8151858967307908,0.6381446938580243,0.6586231173164997,0.000244140625
ER(0.5),12,29,20271840,37,0.7694442554808677,0.4528767278315117,0.7140659509637182,0.638229557295305,0.533125,0.8766455200383864,0.6790183119901118,0.7247265544801482,0.6760417364969626,0.396240234375
