family,n,instance,seed,m,gamma,beta,S,eta_exact,eta_sampled,relerr_eta,median_relerr_lambda
ER(0.5),12,1,20271812,38,0.2,0.15,2,2.023063143858609,2.1043016196494087,0.04015617408552686,0.10810906827274307
ER(0.5),12,1,20271812,38,0.2,0.15,5,2.023063143858609,1.9397384162697069,0.04118740823382116,0.12025877675521458
ER(0.5),12,1,20271812,38,0.2,0.15,10,2.023063143858609,2.029883630236661,0.0033713660390466598,0.034067025385050735
ER(0.5),12,1,20271812,38,0.2,0.15,25,2.023063143858609,2.0881385857031076,0.032166787300755964,0.04645088925322709
ER(0.5),12,1,20271812,38,0.2,0.15,0,2.023063143858609,2.0230631438586095,2.1951327184135574e-16,1.3869169377533717e-15
ER(0.5),12,1,20271812,38,0.4,0.3,2,3.4573704938586647,3.270065813817281,0.0541754724794735,0.1854263565098766
ER(0.5),12,1,20271812,38,0.4,0.3,5,3.4573704938586647,3.383572324562099,0.021345172415757452,0.12629932190721443
ER(0.5),12,1,20271812,38,0.4,0.3,10,3.4573704938586647,3.48761819302352,0.00874875840427994,0.0524808867724153
ER(0.5),12,1,20271812,38,0.4,0.3,25,3.4573704938586647,3.5078194865356775,0.014591723035360406,0.021800890951163675
ER(0.5),12,1,20271812,38,0.4,0.3,0,3.4573704938586647,3.4573704938586665,5.137883957058109e-16,8.358320044337483e-16
ER(0.5),12,1,20271812,38,0.8,0.6,2,4.416003487377124,4.46058995758745,0.010096565896692174,0.09857800460352065
ER(0.5),12,1,20271812,38,0.8,0.6,5,4.416003487377124,4.663602572921429,0.05606858922372954,0.07956942647667885
ER(0.5),12,1,20271812,38,0.8,0.6,10,4.416003487377124,4.452010238397779,0.0081536962376905,0.032096896844795664
ER(0.5),12,1,20271812,38,0.8,0.6,25,4.416003487377124,4.488588122656014,0.016436725081030543,0.021628299753239783
ER(0.5),12,1,20271812,38,0.8,0.6,0,4.416003487377124,4.416003487377128,8.045088028022884e-16,1.0527374740615686e-15
ER(0.5),14,1,20272012,43,0.2,0.15,2,2.427638557186747,2.3149338186553763,0.046425666703027564,0.1969691348747676
ER(0.5),14,1,20272012,43,0.2,0.15,5,2.427638557186747,2.3969249168709688,0.012651652868526882,0.09040462245347375
ER(0.5),14,1,20272012,43,0.2,0.15,10,2.427638557186747,2.4863728795278317,0.024194014453761462,0.06212200776915645
ER(0.5),14,1,20272012,43,0.2,0.15,25,2.427638557186747,2.4587341398257125,0.012808983671358609,0.04943988124903117
ER(0.5),14,1,20272012,43,0.4,0.3,2,4.050187505086996,3.920330764688655,0.03206190830307058,0.17700110789091197
ER(0.5),14,1,20272012,43,0.4,0.3,5,4.050187505086996,3.863008380218983,0.04621492823058638,0.08289082230113701
ER(0.5),14,1,20272012,43,0.4,0.3,10,4.050187505086996,4.064681904382617,0.0035786983386363594,0.04257668201916828
ER(0.5),14,1,20272012,43,0.4,0.3,25,4.050187505086996,4.07051295406981,0.005018397038972821,0.031047685645153852
ER(0.5),14,1,20272012,43,0.8,0.6,2,4.985080579655179,5.158718583717237,0.03483153407202666,0.09441788034770325
ER(0.5),14,1,20272012,43,0.8,0.6,5,4.985080579655179,5.293643915520565,0.061897361724638195,0.07786906440906725
ER(0.5),14,1,20272012,43,0.8,0.6,10,4.985080579655179,4.976588021207618,0.0017035950195509215,0.03712486758697458
ER(0.5),14,1,20272012,43,0.8,0.6,25,4.985080579655179,4.902297914133317,0.016606083733071302,0.03220906195774052
ER(0.5),12,2,20271813,37,0.2,0.15,2,2.006036152604422,2.454147613280816,0.22338154778248362,0.2776295223495217
ER(0.5),12,2,20271813,37,0.2,0.15,5,2.006036152604422,2.058727306849212,0.026266303414513022,0.1258108978999634
ER(0.5),12,2,20271813,37,0.2,0.15,10,2.006036152604422,2.031118394054053,0.012503384556189148,0.07426799394763459
ER(0.5),12,2,20271813,37,0.2,0.15,25,2.006036152604422,2.0007276403375127,0.0026462694902169145,0.021831304512006513
ER(0.5),12,2,20271813,37,0.2,0.15,0,2.006036152604422,2.0060361526044193,1.3282588430128886e-15,1.0797551378643823e-15
ER(0.5),12,2,20271813,37,0.4,0.3,2,3.418167811546037,3.5621680552697823,0.042127903503548,0.1316651024063471
ER(0.5),12,2,20271813,37,0.4,0.3,5,3.418167811546037,3.3841223824346938,0.009960139755673518,0.07134662362123918
ER(0.5),12,2,20271813,37,0.4,0.3,10,3.418167811546037,3.45216099650203,0.00994485549865903,0.056564638567340564
ER(0.5),12,2,20271813,37,0.4,0.3,25,3.418167811546037,3.4339198440559913,0.004608326266705329,0.02933960056436671
ER(0.5),12,2,20271813,37,0.4,0.3,0,3.418167811546037,3.418167811546035,5.196809920800245e-16,6.007901604534644e-16
ER(0.5),12,2,20271813,37,0.8,0.6,2,4.37385143512141,4.620073017515792,0.05629399764638947,0.11900505487192344
ER(0.5),12,2,20271813,37,0.8,0.6,5,4.37385143512141,4.375240137579128,0.0003175010578930678,0.05684426641753924
ER(0.5),12,2,20271813,37,0.8,0.6,10,4.37385143512141,4.3918294357192025,0.004110336362463412,0.04063197255702251
ER(0.5),12,2,20271813,37,0.8,0.6,25,4.37385143512141,4.366274033604062,0.0017324323035991331,0.01799826467061143
ER(0.5),12,2,20271813,37,0.8,0.6,0,4.37385143512141,4.373851435121411,2.030655208286632e-16,7.374889062847336e-16
ER(0.5),14,2,20272013,50,0.2,0.15,2,2.6368659133031986,2.751421279175178,0.043443758476317894,0.24336746048641286
