family,n,instance,seed,m,ramp,E_cc,k_match,k90,k99,rank_max
ER(0.5),12,1,20271812,38,small,0.9813607478971547,2,1,3,21
ER(0.5),14,1,20272012,43,small,0.9794706416737282,2,1,3,21
ER(0.5),12,2,20271813,37,small,0.9799110654971516,2,2,3,21
ER(0.5),14,2,20272013,50,small,0.9746750507309546,2,1,3,21
ER(0.5),12,3,20271814,35,small,0.9799731012261097,2,2,3,21
ER(0.5),14,3,20272014,47,small,0.9683736540253901,2,2,3,21
ER(0.5),12,4,20271815,37,small,0.9856912402733545,2,1,3,21
ER(0.5),14,4,20272015,42,small,0.9732540344200407,2,2,3,21
ER(0.5),12,5,20271816,43,small,0.9833206746515769,2,1,3,21
ER(0.5),14,5,20272016,40,small,0.9626116716071403,2,2,4,21
ER(0.5),12,6,20271817,38,small,0.9782602348085128,2,2,3,21
ER(0.5),14,6,20272017,52,small,0.9792732373292934,2,1,3,21
ER(0.5),12,7,20271818,33,small,0.97804532595507,2,2,3,21
ER(0.5),14,7,20272018,50,small,0.9777522231625817,2,1,3,21
ER(0.5),12,8,20271819,27,small,0.9905409599339349,2,1,2,21
ER(0.5),14,8,20272019,49,small,0.9650787824742576,2,2,4,21
ER(0.5),12,9,20271820,20,small,0.9900252782246323,2,1,2,21
ER(0.5),14,9,20272020,35,small,0.9824791390325629,2,1,3,21
ER(0.5),12,10,20271821,41,small,0.9853244896108082,2,1,3,21
ER(0.5),14,10,20272021,45,small,0.9801591778912192,2,1,3,21
ER(0.5),12,1,20271812,38,moderate,0.9574245391440587,2,2,3,21
ER(0.5),14,1,20272012,43,moderate,0.9561950895936829,2,2,4,21
ER(0.5),12,2,20271813,37,moderate,0.9550648276658681,2,2,3,21
ER(0.5),14,2,20272013,50,moderate,0.932702318019731,2,2,4,21
ER(0.5),12,3,20271814,35,moderate,0.9651651026379663,3,2,3,21
ER(0.5),14,3,20272014,47,moderate,0.9230046533418892,3,2,4,21
ER(0.5),12,4,20271815,37,moderate,0.9665453532690811,2,2,3,21
ER(0.5),14,4,20272015,42,moderate,0.9400846676735422,2,2,4,21
ER(0.5),12,5,20271816,43,moderate,0.9609665178501517,2,2,3,21
ER(0.5),14,5,20272016,40,moderate,0.9233878376914472,3,2,5,21
ER(0.5),12,6,20271817,38,moderate,0.9543891088952462,3,2,4,21
ER(0.5),14,6,20272017,52,moderate,0.9544231128792797,2,2,4,21
ER(0.5),12,7,20271818,33,moderate,0.9489510877985696,3,2,4,21
ER(0.5),14,7,20272018,50,moderate,0.9472186707671129,2,2,4,21
ER(0.5),12,8,20271819,27,moderate,0.9786940687386292,2,2,3,21
ER(0.5),14,8,20272019,49,moderate,0.9161502507616865,3,2,5,21
ER(0.5),12,9,20271820,20,moderate,0.9730294024566671,2,2,3,21
ER(0.5),14,9,20272020,35,moderate,0.9630214514057029,2,2,3,21
ER(0.5),12,10,20271821,41,moderate,0.9730231372370937,2,2,3,21
ER(0.5),14,10,20272021,45,moderate,0.9566978493795479,2,2,4,21
ER(0.5),12,1,20271812,38,large,0.8176929547770562,2,3,12,21
ER(0.5),14,1,20272012,43,large,0.8133976000779642,2,3,13,21
ER(0.5),12,2,20271813,37,large,0.8123491982560735,2,3,11,21
ER(0.5),14,2,20272013,50,large,0.7368381746105103,2,4,13,21
ER(0.5),12,3,20271814,35,large,0.8914374315279914,2,2,11,21
ER(0.5),14,3,20272014,47,large,0.7818047618613458,2,4,13,21
ER(0.5),12,4,20271815,37,large,0.8344583230308693,2,3,11,21
ER(0.5),14,4,20272015,42,large,0.8084539076014717,2,3,12,21
