family,n,instance,seed,m,ar_uniform,ar_balanced,ceil_p1,ar_samp_p1,ar_exact_p1,ceil_p3,ar_samp_p3,ar_exact_p3,sum_leakage_p3,overlap_p3,distance_p3
WS(k=4;b=0.5),16,1,20322212,32,0.6153846153846154,0.6564102564102564,0.7768439594473158,0.702990771404522,0.7334436036244096,0.8787195368580165,0.7566223606895014,0.7790390649999465,0.4428626413606194,0.9421653533491644,0.20890356706980767
WS(k=4;b=0.5),16,2,20322213,32,0.64,0.6826666666666666,0.8074990731115954,0.7380696952338588,0.7626393192978702,0.8906007832199175,0.8087696143333167,0.8065917339942896,0.650246116988614,0.8682393642727949,0.3306264608403295
WS(k=4;b=0.5),16,3,20322214,32,0.6153846153846154,0.6564102564102564,0.7872165725335625,0.7434564810168871,0.7364609381582589,0.8855889601016267,0.7841650672467816,0.7841650672467816,0.3068781605123565,0.949217074786892,0.2601387827626311
WS(k=4;b=0.5),16,4,20322215,32,0.64,0.6826666666666666,0.8051317851501512,0.7566270339349083,0.7620953617253033,0.9019607832572291,0.7974386683090634,0.8049908735857497,0.291414079365991,0.9471080841017296,0.27523840229027
WS(k=4;b=0.5),16,5,20322216,32,0.64,0.6826666666666666,0.8172582605595444,0.7732298194484375,0.780143892500606,0.9148992840258116,0.8368594540569267,0.8142560343286044,0.4377493594521626,0.9035126579933093,0.352402161310509
WS(k=4;b=0.5),16,6,20322217,32,0.64,0.6826666666666666,0.8040546251063156,0.7482023591097436,0.7615383875827831,0.8898923661099423,0.7985448358090299,0.8040364200592459,0.37660131198066593,0.9641404151693941,0.1475456260314666
WS(k=4;b=0.5),16,7,20322218,32,0.6666666666666666,0.7111111111111111,0.8384324023434525,0.8185608767414462,0.8014489023698547,0.9200259862846366,0.8701387345996171,0.8371586752178787,0.5655022070504133,0.8358840216007066,0.4630228229655748
WS(k=4;b=0.5),16,8,20322219,32,0.64,0.6826666666666666,0.8152148130147455,0.779184669845968,0.7651599372946944,0.9058672493650876,0.8344185654644701,0.8122672435828869,0.4360836652598315,0.9031256457365744,0.3540050551882014
WS(k=4;b=0.5),16,9,20322220,32,0.64,0.6826666666666666,0.8075359793897328,0.7809791696414788,0.7629266608456838,0.9030497645642253,0.8241802937487015,0.8078124965842031,0.59415074799744,0.791382422433169,0.539567664888654
WS(k=4;b=0.5),16,10,20322221,32,0.6153846153846154,0.6564102564102564,0.7806798227965301,0.7670137855323743,0.7346954052970834,0.8719381380900934,0.7931764510096524,0.7785246851987048,0.5915134705811202,0.7847510095485135,0.5479657005159225
WS(k=4;b=0.5),16,11,20322222,32,0.6153846153846154,0.6564102564102564,0.7793281785090229,0.7511021559990213,0.7336164010430313,0.8746935593631056,0.8096097193026026,0.7775547498403781,0.6311966033770102,0.7860059891341169,0.5333507619688906
WS(k=4;b=0.5),16,12,20322223,32,0.5925925925925926,0.6320987654320988,0.7505539798740819,0.6962042922662116,0.7074459057565242,0.8474437839380682,0.7560160979299579,0.749500353872694,0.47399382943645896,0.9270410864584796,0.24606060484524886
WS(k=4;b=0.5),16,13,20322224,32,0.6153846153846154,0.6564102564102564,0.7871954543317486,0.7232697886463806,0.7366503624641658,0.8880609244796458,0.7591476753043016,0.7849111610785877,0.4263314897153264,0.947838578324461,0.19420471180982496
WS(k=4;b=0.5),16,14,20322225,32,0.6153846153846154,0.6564102564102564,0.7863967350461754,0.7269074800014461,0.7502933885088605,0.883507679844259,0.7903568984704701,0.7831992733408123,0.45144343792950037,0.9371813492777915,0.22163430047117044
WS(k=4;b=0.5),16,15,20322226,32,0.64,0.6826666666666666,0.7988503729220581,0.7764205915339325,0.7593803810884916,0.8849143495329765,0.8315221096774624,0.7997370456365406,0.5833756310184048,0.8340694817624683,0.457681964205561
WS(k=4;b=0.5),16,16,20322227,32,0.64,0.6826666666666666,0.8049875951155105,0.7746994506369096,0.7689220017382904,0.8878667778163256,0.8248836545325484,0.803900230328957,0.4232749364039239,0.9076196111986583,0.3464561364576169
WS(k=4;b=0.5),16,17,20322228,32,0.64,0.6826666666666666,0.8151570479484004,0.767769023046191,0.7651587144757953,0.9128935114755271,0.830995774292252,0.8122910564847475,0.4200681467490498,0.9405614015662104,0.23195191252564995
WS(k=4;b=0.5),16,18,20322229,32,0.6153846153846154,0.6564102564102564,0.7793356030180516,0.7607256079014485,0.7347241166255276,0.8684587534608823,0.7855619629617555,0.7777815002901571,0.44358391567384164,0.8759411620919895,0.4190707966113736
WS(k=4;b=0.5),16,19,20322230,32,0.6153846153846154,0.6564102564102564,0.7877680687145687,0.7368357892174668,0.7368357892174668,0.8825422276079581,0.7842804061038429,0.7842804061038429,0.30734766017912624,0.9487337044917368,0.2618113284937199
WS(k=4;b=0.5),16,20,20322231,32,0.6666666666666666,0.7111111111111111,0.8430656586706093,0.8028064442999902,0.7953565471988681,0.9279920229475095,0.8634445627884119,0.8417853327483339,0.43327621336081446,0.9039723801283902,0.3526947759720854
