family,n,instance,seed,m,ramp,layer,leakage,cum_leakage,distance,overlap,compressed_norm
ER(0.5),18,1,20272412,79,small,1,0.03559772359089514,0.03559772359089514,0.03559772359089514,0.9987328020751568,0.9993662001864739
ER(0.5),18,1,20272412,79,small,2,0.07368417327495393,0.10928189686584908,0.09576863701055245,0.9920664850773268,0.9966460980126984
ER(0.5),18,1,20272412,79,small,3,0.04972797755210977,0.15900987441795883,0.12315267542487125,0.987836733912468,0.9954047282048221
ER(0.5),18,1,20272412,79,small,4,0.020329660431665803,0.17933953484962464,0.1316068799586201,0.9865505135834732,0.9951971050195264
ER(0.5),18,1,20272412,79,small,5,0.06086673812540433,0.24020627297502897,0.1653274351770127,0.9796898190969465,0.9933340415133348
ER(0.5),18,1,20272412,79,small,6,0.0775218672456562,0.3177281402206852,0.19647750923935156,0.9710606110351417,0.990304437093948
ER(0.5),18,1,20272412,79,small,7,0.052729215303322446,0.37045735552400766,0.19843694037612494,0.9693030241390683,0.9888996450507292
ER(0.5),18,1,20272412,79,small,8,0.01743418882427097,0.3878915443482786,0.19953894629595148,0.9689267106912429,0.9887459517193962
ER(0.5),18,1,20272412,79,small,9,0.06639251900568813,0.4542840633539667,0.19459979560847215,0.967728419482745,0.9865143640421936
ER(0.5),18,1,20272412,79,small,10,0.0926452161105162,0.546929279464483,0.16150251004410762,0.9693549506711826,0.9821544961936534
ER(0.5),18,1,20272412,79,small,11,0.08344630283566035,0.6303755823001433,0.15380066206599657,0.9670331276104723,0.9786031723515265
ER(0.5),18,1,20272412,79,small,12,0.057534120740353745,0.6879097030404971,0.18992108596668683,0.9591756891346281,0.9769104328888625
ER(0.5),18,1,20272412,79,small,13,0.0627132064750238,0.7506229095155209,0.177896910637763,0.9595049940489964,0.9748954034257857
ER(0.5),18,1,20272412,79,small,14,0.0941754317027103,0.8447983412182312,0.14831773481321248,0.9599080893734849,0.9703360426596196
ER(0.5),18,1,20272412,79,small,15,0.1144127041217515,0.9592110453399827,0.18659938845356108,0.9470078889585667,0.9635672103283076
ER(0.5),18,1,20272412,79,small,16,0.1165967239744142,1.0758077693143968,0.2063721843550446,0.9367345317149854,0.9564867865152706
ER(0.5),18,1,20272412,79,small,17,0.1098501943279863,1.1856579636423832,0.17778815856220462,0.9365208925828626,0.9501578329858754
ER(0.5),18,1,20272412,79,small,18,0.10847638448970175,1.2941343481320848,0.18961957891302308,0.9284792735927122,0.9439453276501011
ER(0.5),18,1,20272412,79,small,19,0.11899881325992429,1.413133161392009,0.23498852428463995,0.9124053764686274,0.9364144723546225
ER(0.5),18,1,20272412,79,small,20,0.13564691951266925,1.5487800809046783,0.2285984891041702,0.9061106004271214,0.9265376286270892
ER(0.5),18,1,20272412,79,small,21,0.15089370265207783,1.6996737835567561,0.21513591596515388,0.8986393515861749,0.914167964742724
ER(0.5),18,1,20272412,79,small,22,0.1616024151633448,1.861276198720101,0.26889588545719467,0.8736992396471452,0.8997709303901912
ER(0.5),18,1,20272412,79,small,23,0.16817376136854315,2.029449960088644,0.33421340949774625,0.8433794828262716,0.8839147657791373
ER(0.5),18,1,20272412,79,small,24,0.1724374522884903,2.201887412377135,0.3609924512028964,0.8247795613760007,0.8669317379186446
ER(0.5),18,1,20272412,79,small,25,0.1760734306712644,2.3779608430483994,0.38415434881258687,0.8055541105108919,0.8488632311640623
ER(0.5),18,1,20272412,79,small,26,0.17983543845650946,2.557796281504909,0.4398156234212745,0.772082058154741,0.8295950821319087
ER(0.5),18,1,20272412,79,small,27,0.1835052600207731,2.741301541525682,0.510437383428346,0.7320324559032408,0.8090450048311016
ER(0.5),18,1,20272412,79,small,28,0.18626232147808797,2.92756386300377,0.5712775399734923,0.6981687981787165,0.7873119886295081
ER(0.5),18,1,20272412,79,small,29,0.1871085720746995,3.1146724350784694,0.6226039937915955,0.6700640072086426,0.7647552220782263
ER(0.5),18,1,20272412,79,small,30,0.18516111480047545,3.2998335498789446,0.6749093202645687,0.6411755941567455,0.7420012879111211
ER(0.25),18,1,20282412,21,small,1,0.006427297857765213,0.006427297857765213,0.006427297857765213,0.9999586898422618,0.9999793447078037
ER(0.25),18,1,20282412,21,small,2,0.01494238087353649,0.021369678731301703,0.02010855418553649,0.9996655311957936,0.999867698796237
ER(0.25),18,1,20282412,21,small,3,0.01192635074629625,0.03329602947759795,0.02936132602531869,0.9993655542269213,0.9997965679346732
ER(0.25),18,1,20282412,21,small,4,0.0028032406241088603,0.03609927010170681,0.031442834638918726,0.9992983422768299,0.9997926380484837
ER(0.25),18,1,20282412,21,small,5,0.009365549903473205,0.04546482000518002,0.03662104296117408,0.9990782537682931,0.9997487712275259
ER(0.25),18,1,20282412,21,small,6,0.017779168647365166,0.06324398865254519,0.05160125820578877,0.9982594096601795,0.9995906695908944
ER(0.25),18,1,20282412,21,small,7,0.019641892992654217,0.08288588164519942,0.06492450259359814,0.99729036889522,0.9993976699857013
ER(0.25),18,1,20282412,21,small,8,0.010585707139120958,0.09347158878432038,0.06857983193443443,0.9969906496804267,0.9993416060473036
ER(0.25),18,1,20282412,21,small,9,0.005174358345918253,0.09864594713023864,0.06876352520341723,0.9969644565262775,0.9993282101456542
ER(0.25),18,1,20282412,21,small,10,0.01922033657297516,0.1178662837032138,0.07766948624804068,0.9961274715878914,0.9991433582098905
ER(0.25),18,1,20282412,21,small,11,0.027872767870842304,0.1457390515740561,0.09337368621573537,0.9943960825474917,0.9987545039028203
ER(0.25),18,1,20282412,21,small,12,0.02830703679264204,0.17404608836669813,0.10419150067314766,0.992928009455912,0.9983532795229304
ER(0.25),18,1,20282412,21,small,13,0.01968495287119594,0.19373104123789406,0.10624340966715981,0.99252015110918,0.9981591923959993
ER(0.25),18,1,20282412,21,small,14,0.009622870267814821,0.2033539115057089,0.1043273412144728,0.9926757052022548,0.9981128061158421
ER(0.25),18,1,20282412,21,small,15,0.02113177572247222,0.2244856872281811,0.10426468077448761,0.9924586174936224,0.9978890829081415
ER(0.25),18,1,20282412,21,small,16,0.03571550498609279,0.26020119221427385,0.10647952173900442,0.9915885677195501,0.9972497302535802
ER(0.25),18,1,20282412,21,small,17,0.044118917960057465,0.3043201101743313,0.10949296182301205,0.9902928173221367,0.9962733287451178
ER(0.25),18,1,20282412,21,small,18,0.0448422337376782,0.3491623439120095,0.11492921039965699,0.9886806695330268,0.9952636432836677
ER(0.25),18,1,20282412,21,small,19,0.03924933655507986,0.38841168046708935,0.12404404805780443,0.9868246533543081,0.9944894213727299
