family,n,inst,m,p,ceiling,ar_emp,regret,argmax_disp,robust_frac,overlap
ER(0.5),12,1,38,1,0.847729,0.826848,0.020881,0.072524,0.01375,0.972817
ER(0.5),12,1,38,3,0.924775,0.850504,0.074271,0.327327,0.004395,0.970067
ER(0.5),12,2,37,1,0.836853,0.809919,0.026934,0.074756,0.013125,0.973094
ER(0.5),12,2,37,3,0.932219,0.83772,0.094499,0.276642,0.007324,0.969594
ER(0.5),12,3,35,1,0.824275,0.796824,0.027452,0.09245,0.015,0.976839
ER(0.5),12,3,35,3,0.925855,0.84444,0.081415,0.349927,0.004883,0.926123
ER(0.5),12,4,37,1,0.852769,0.834434,0.018335,0.072524,0.01375,0.976175
ER(0.5),12,4,37,3,0.916212,0.855176,0.061036,0.303046,0.004639,0.974544
ER(0.5),12,5,43,1,0.867125,0.847611,0.019514,0.072524,0.013125,0.984539
ER(0.5),12,5,43,3,0.931342,0.875354,0.055988,0.327327,0.004883,0.964726
ER(0.5),12,6,38,1,0.817472,0.796764,0.020708,0.072524,0.01375,0.971107
ER(0.5),12,6,38,3,0.912566,0.821158,0.091408,0.349927,0.004883,0.96766
ER(0.5),12,7,33,1,0.784744,0.753611,0.031132,0.09245,0.01375,0.980259
ER(0.5),12,7,33,3,0.877226,0.801345,0.075881,0.357143,0.006104,0.932562
ER(0.5),12,8,27,1,0.818434,0.78736,0.031074,0.09245,0.0125,0.978552
ER(0.5),12,8,27,3,0.897231,0.826596,0.070635,0.397697,0.003662,0.95967
ER(0.5),12,9,20,1,0.823532,0.782662,0.04087,0.110286,0.0125,0.963807
ER(0.5),12,9,20,3,0.922811,0.833786,0.089025,0.397697,0.004883,0.940831
ER(0.5),12,10,41,1,0.867052,0.841617,0.025435,0.072524,0.011875,0.986083
ER(0.5),12,10,41,3,0.93713,0.873303,0.063827,0.327327,0.004395,0.967609
ER(0.5),14,1,43,1,0.83554,0.799584,0.035956,0.090655,0.01375,0.985998
ER(0.5),14,1,43,3,0.912856,0.837318,0.075539,0.327327,0.003418,0.966409
ER(0.5),14,2,50,1,0.833224,0.812635,0.02059,0.072524,0.013125,0.979682
ER(0.5),14,2,50,3,0.900858,0.841491,0.059367,0.327327,0.006104,0.9553
ER(0.5),14,3,47,1,0.800478,0.76986,0.030617,0.090655,0.01375,0.981978
ER(0.5),14,3,47,3,0.883452,0.805581,0.077871,0.327327,0.007568,0.958035
ER(0.5),14,4,42,1,0.824529,0.796938,0.027591,0.09245,0.015,0.971147
ER(0.5),14,4,42,3,0.908402,0.823106,0.085296,0.327327,0.006836,0.966806
ER(0.5),14,5,40,1,0.752189,0.717166,0.035023,0.09245,0.013125,0.972225
ER(0.5),14,5,40,3,0.869438,0.743586,0.125851,0.384655,0.001953,0.961927
ER(0.5),14,6,52,1,0.871042,0.847053,0.023989,0.072524,0.0125,0.979084
ER(0.5),14,6,52,3,0.93488,0.878995,0.055886,0.303046,0.004639,0.9577
ER(0.5),14,7,50,1,0.841932,0.81589,0.026042,0.090655,0.01375,0.980133
ER(0.5),14,7,50,3,0.913278,0.849038,0.064239,0.327327,0.003906,0.957578
ER(0.5),14,8,49,1,0.808292,0.779263,0.029029,0.090655,0.01375,0.98059
ER(0.5),14,8,49,3,0.892788,0.814615,0.078173,0.294508,0.006348,0.955238
ER(0.5),14,9,35,1,0.841415,0.80558,0.035834,0.108786,0.0125,0.97601
ER(0.5),14,9,35,3,0.929087,0.856039,0.073048,0.327327,0.005859,0.934608
ER(0.5),14,10,45,1,0.860966,0.832765,0.028201,0.090655,0.013125,0.984707
ER(0.5),14,10,45,3,0.930756,0.865864,0.064892,0.303046,0.00415,0.965783
ER(0.25),12,1,15,1,0.763325,0.73174,0.031585,0.110286,0.014375,0.966494
ER(0.25),12,1,15,3,0.86719,0.788139,0.079051,0.327327,0.005615,0.932413
ER(0.25),12,2,17,1,0.800817,0.770724,0.030093,0.09245,0.0125,0.956712
ER(0.25),12,2,17,3,0.902946,0.834921,0.068025,0.236902,0.004395,0.933035
ER(0.25),12,3,15,1,0.74323,0.705463,0.037767,0.11467,0.01375,0.949107
ER(0.25),12,3,15,3,0.888638,0.786917,0.101721,0.371154,0.003418,0.898156
ER(0.25),12,4,9,1,0.769267,0.739068,0.030199,0.128205,0.013125,0.932893
ER(0.25),12,4,9,3,0.856305,0.803627,0.052678,0.159719,0.001953,0.906663
ER(0.25),12,5,11,1,0.793687,0.763276,0.030412,0.110286,0.013125,0.951749
ER(0.25),12,5,11,3,0.879597,0.833542,0.046055,0.174964,0.002441,0.923031
ER(0.25),12,6,19,1,0.776228,0.741598,0.03463,0.110286,0.013125,0.961089
ER(0.25),12,6,19,3,0.896143,0.790971,0.105172,0.446071,0.007568,0.935615
ER(0.25),12,7,14,1,0.753861,0.731111,0.02275,0.108786,0.0175,0.963869
ER(0.25),12,7,14,3,0.868537,0.783357,0.08518,0.357143,0.005127,0.930426
ER(0.25),12,8,20,1,0.816208,0.779507,0.0367,0.110286,0.01125,0.96255
ER(0.25),12,8,20,3,0.925623,0.827869,0.097754,0.416497,0.00415,0.937918
ER(0.25),12,9,18,1,0.747486,0.706379,0.041107,0.110286,0.015,0.96472
ER(0.25),12,9,18,3,0.87312,0.75778,0.11534,0.440315,0.005859,0.938814
ER(0.25),12,10,11,1,0.75396,0.729303,0.024657,0.09245,0.01375,0.958339
ER(0.25),12,10,11,3,0.896164,0.795442,0.100723,0.276642,0.001953,0.928004
ER(0.25),14,1,22,1,0.795779,0.761841,0.033938,0.09245,0.0125,0.962187
ER(0.25),14,1,22,3,0.889005,0.804786,0.084219,0.416497,0.004639,0.93291
ER(0.25),14,2,24,1,0.763864,0.730313,0.033551,0.09245,0.0125,0.963643
ER(0.25),14,2,24,3,0.875046,0.784985,0.090061,0.416497,0.005127,0.916075
ER(0.25),14,3,23,1,0.752542,0.706107,0.046436,0.128205,0.014375,0.967856
ER(0.25),14,3,23,3,0.875442,0.76781,0.107633,0.446071,0.005127,0.91534
ER(0.25),14,4,23,1,0.763323,0.722835,0.040488,0.110286,0.014375,0.956611
ER(0.25),14,4,23,3,0.871641,0.773117,0.098524,0.446071,0.004883,0.924398
ER(0.25),14,5,26,1,0.810156,0.77798,0.032176,0.097638,0.015,0.964373
ER(0.25),14,5,26,3,0.914332,0.815739,0.098593,0.39123,0.006836,0.957158
ER(0.25),14,6,24,1,0.798255,0.76466,0.033595,0.110286,0.01375,0.963701
ER(0.25),14,6,24,3,0.893987,0.819785,0.074202,0.327327,0.008301,0.925964
ER(0.25),14,7,18,1,0.777343,0.751616,0.025728,0.110286,0.018125,0.958785
ER(0.25),14,7,18,3,0.882668,0.804219,0.078449,0.303046,0.003174,0.928675
