family,n,inst,m,p,ceiling,ar_emp,regret,argmax_disp,robust_frac,overlap
ER(0.5),10,1,25,1,0.824879,0.787967,0.036911,0.078567,0.02,0.990023
ER(0.5),10,1,25,3,0.92244,0.826451,0.095989,0.408248,0.003906,0.975458
ER(0.5),10,2,23,1,0.848965,0.814063,0.034902,0.078567,0.02,0.992073
ER(0.5),10,2,23,3,0.916175,0.851817,0.064357,0.372678,0.015625,0.979733
ER(0.25),10,1,10,1,0.778672,0.764173,0.014499,0.078567,0.01,0.935146
ER(0.25),10,1,10,3,0.868943,0.828119,0.040823,0.166667,0.011719,0.935774
ER(0.25),10,2,9,1,0.743534,0.711025,0.032509,0.157135,0.02,0.95684
ER(0.25),10,2,9,3,0.820896,0.777079,0.043817,0.235702,0.019531,0.946121
BA(k=2),10,1,16,1,0.768837,0.754685,0.014151,0.078567,0.02,0.95704
BA(k=2),10,1,16,3,0.878841,0.810405,0.068436,0.235702,0.011719,0.954031
BA(k=2),10,2,16,1,0.863715,0.837827,0.025888,0.078567,0.02,0.962841
BA(k=2),10,2,16,3,0.932859,0.893676,0.039183,0.235702,0.011719,0.963786
BA(k=4),10,1,24,1,0.784169,0.753683,0.030486,0.078567,0.02,0.99085
BA(k=4),10,1,24,3,0.874302,0.788918,0.085384,0.408248,0.007812,0.977007
BA(k=4),10,2,24,1,0.760346,0.719723,0.040623,0.157135,0.02,0.990879
BA(k=4),10,2,24,3,0.860655,0.809803,0.050852,0.235702,0.007812,0.922459
WS(k=4;b=0.1),10,1,20,1,0.821642,0.81509,0.006551,0.078567,0.02,0.951826
WS(k=4;b=0.1),10,1,20,3,0.871996,0.844191,0.027804,0.440959,0.015625,0.928858
WS(k=4;b=0.1),10,2,20,1,0.886197,0.876865,0.009332,0.078567,0.02,0.949492
WS(k=4;b=0.1),10,2,20,3,0.944976,0.920213,0.024764,0.166667,0.015625,0.957646
WS(k=4;b=0.5),10,1,20,1,0.776434,0.766302,0.010133,0.078567,0.01,0.92584
WS(k=4;b=0.5),10,1,20,3,0.88418,0.823928,0.060252,0.235702,0.007812,0.938097
WS(k=4;b=0.5),10,2,20,1,0.780224,0.770643,0.009582,0.078567,0.02,0.932157
WS(k=4;b=0.5),10,2,20,3,0.880692,0.818608,0.062084,0.235702,0.015625,0.933989
3-regular,10,1,15,1,0.817079,0.78955,0.027529,0.078567,0.02,0.973351
3-regular,10,1,15,3,0.890044,0.829122,0.060921,0.440959,0.011719,0.951869
3-regular,10,2,15,1,0.772105,0.738664,0.03344,0.078567,0.02,0.968018
3-regular,10,2,15,3,0.887694,0.794344,0.09335,0.235702,0.007812,0.956769
