family,n,inst,seed,m,V2,V2_from_s2,varT_uncond,varT_codegree,SA2,rho_cond,lambda1,lambda1_pred,lambda_ratio
ER(0.5),12,1,20271812,38,988.812242,988.812242,3180.000000,3180.000000,1590,0.310947,0.00049142,0.00049133,1.000170
ER(0.5),12,2,20271813,37,999.734532,999.734532,2740.000000,2740.000000,1370,0.364867,0.00049400,0.00049404,0.999917
ER(0.5),12,3,20271814,35,856.428576,856.428576,2396.000000,2396.000000,1198,0.357441,0.00045708,0.00045726,0.999604
ER(0.5),12,4,20271815,37,851.603131,851.603131,3216.000000,3216.000000,1608,0.264802,0.00045612,0.00045597,1.000318
ER(0.5),12,5,20271816,43,1204.097052,1204.097052,5624.000000,5624.000000,2812,0.214100,0.00054333,0.00054219,1.002107
ER(0.5),12,6,20271817,38,1047.255165,1047.255165,3308.000000,3308.000000,1654,0.316583,0.00050585,0.00050565,1.000402
ER(0.5),12,7,20271818,33,734.295100,734.295100,1920.000000,1920.000000,960,0.382445,0.00042309,0.00042340,0.999247
ER(0.5),12,8,20271819,27,411.325882,411.325882,1028.000000,1028.000000,514,0.400122,0.00031639,0.00031689,0.998410
ER(0.5),12,9,20271820,20,192.698979,192.698979,304.000000,304.000000,152,0.633878,0.00021642,0.00021690,0.997770
ER(0.5),12,10,20271821,41,1117.092810,1117.092810,4412.000000,4412.000000,2206,0.253194,0.00052291,0.00052223,1.001290
ER(0.5),14,1,20272012,43,1220.145498,1220.145498,3420.000000,3420.000000,1710,0.356768,0.00054553,0.00054579,0.999528
ER(0.5),14,2,20272013,50,1670.175617,1670.175617,6492.000000,6492.000000,3246,0.257267,0.00063938,0.00063856,1.001280
ER(0.5),14,3,20272014,47,1563.887755,1563.887755,4424.000000,4424.000000,2212,0.353501,0.00061791,0.00061791,1.000006
ER(0.5),14,4,20272015,42,1120.552908,1120.552908,2788.000000,2788.000000,1394,0.401920,0.00052256,0.00052304,0.999083
ER(0.5),14,5,20272016,40,1109.787544,1109.787544,2276.000000,2276.000000,1138,0.487604,0.00051980,0.00052052,0.998602
ER(0.5),14,6,20272017,52,1788.067272,1788.067272,6064.000000,6064.000000,3032,0.294866,0.00066119,0.00066071,1.000719
ER(0.5),14,7,20272018,50,1697.840988,1697.840988,5492.000000,5492.000000,2746,0.309148,0.00064415,0.00064383,1.000509
ER(0.5),14,8,20272019,49,1693.987051,1693.987051,4752.000000,4752.000000,2376,0.356479,0.00064312,0.00064309,1.000036
ER(0.5),14,9,20272020,35,734.172518,734.172518,1684.000000,1684.000000,842,0.435969,0.00042279,0.00042337,0.998628
ER(0.5),14,10,20272021,45,1296.992654,1296.992654,4412.000000,4412.000000,2206,0.293969,0.00056289,0.00056272,1.000309
ER(0.5),16,1,20272212,53,1815.385322,1815.385322,4120.000000,4120.000000,2060,0.440628,0.00066502,0.00066574,0.998914
ER(0.5),16,2,20272213,67,3146.251067,3146.251067,10200.000000,10200.000000,5100,0.308456,0.00087748,0.00087643,1.001196
ER(0.5),16,3,20272214,61,2743.849618,2743.849618,7016.000000,7016.000000,3508,0.391085,0.00081843,0.00081847,0.999953
ER(0.5),16,4,20272215,61,2583.121177,2583.121177,7196.000000,7196.000000,3598,0.358966,0.00079419,0.00079413,1.000080
ER(0.5),16,5,20272216,63,2911.305203,2911.305203,8176.000000,8176.000000,4088,0.356079,0.00084347,0.00084307,1.000475
ER(0.5),16,6,20272217,64,2962.829999,2962.829999,9248.000000,9248.000000,4624,0.320375,0.00085137,0.00085050,1.001020
ER(0.5),16,7,20272218,59,2456.159037,2456.159037,6000.000000,6000.000000,3000,0.409360,0.00077404,0.00077437,0.999579
ER(0.5),16,8,20272219,58,2365.808956,2365.808956,5940.000000,5940.000000,2970,0.398284,0.00075971,0.00075999,0.999632
ER(0.5),16,9,20272220,68,3313.189177,3313.189177,9984.000000,9984.000000,4992,0.331850,0.00090033,0.00089938,1.001054
ER(0.5),16,10,20272221,61,2564.483120,2564.483120,7256.000000,7256.000000,3628,0.353429,0.00079137,0.00079126,1.000135
ER(0.5),18,1,20272412,79,4329.402563,4329.402563,11876.000000,11876.000000,5938,0.364551,0.00102852,0.00102810,1.000413
ER(0.5),18,2,20272413,76,4411.647575,4411.647575,11548.000000,11548.000000,5774,0.382027,0.00103822,0.00103782,1.000386
ER(0.5),18,3,20272414,85,5261.701076,5261.701076,16368.000000,16368.000000,8184,0.321463,0.00113524,0.00113340,1.001619
ER(0.5),18,4,20272415,80,4792.006424,4792.006424,14136.000000,14136.000000,7068,0.338993,0.00108300,0.00108163,1.001271
ER(0.5),18,5,20272416,78,4437.051393,4437.051393,12468.000000,12468.000000,6234,0.355875,0.00104153,0.00104080,1.000705
ER(0.5),18,6,20272417,78,4228.297541,4228.297541,13016.000000,13016.000000,6508,0.324854,0.00101690,0.00101602,1.000860
ER(0.5),18,7,20272418,75,3835.382962,3835.382962,9348.000000,9348.000000,4674,0.410289,0.00096732,0.00096766,0.999643
ER(0.5),18,8,20272419,71,3622.470564,3622.470564,9600.000000,9600.000000,4800,0.377341,0.00094058,0.00094042,1.000168
ER(0.5),18,9,20272420,71,3469.577745,3469.577745,9204.000000,9204.000000,4602,0.376964,0.00092032,0.00092036,0.999955
ER(0.5),18,10,20272421,75,3991.223529,3991.223529,9900.000000,9900.000000,4950,0.403154,0.00098700,0.00098713,0.999866
ER(0.25),12,1,20281812,15,110.250607,110.250607,200.000000,200.000000,100,0.551253,0.00016372,0.00016406,0.997917
ER(0.25),12,2,20281813,17,147.812785,147.812785,256.000000,256.000000,128,0.577394,0.00018956,0.00018997,0.997880
ER(0.25),12,3,20281814,15,119.498601,119.498601,192.000000,192.000000,96,0.622389,0.00017043,0.00017081,0.997786
ER(0.25),12,4,20281815,9,24.888889,24.888889,32.000000,32.000000,16,0.777778,0.00007781,0.00007795,0.998127
ER(0.25),12,5,20281816,11,44.610028,44.610028,64.000000,64.000000,32,0.697032,0.00010413,0.00010436,0.997774
ER(0.25),12,6,20281817,19,206.646815,206.646815,356.000000,356.000000,178,0.580469,0.00022416,0.00022461,0.997968
ER(0.25),12,7,20281818,14,112.139321,112.139321,264.000000,264.000000,132,0.424770,0.00016521,0.00016546,0.998476
ER(0.25),12,8,20281819,20,195.851455,195.851455,324.000000,324.000000,162,0.604480,0.00021823,0.00021867,0.997982
ER(0.25),12,9,20281820,18,186.950207,186.950207,316.000000,316.000000,158,0.591615,0.00021318,0.00021364,0.997846
ER(0.25),12,10,20281821,11,62.239190,62.239190,116.000000,116.000000,58,0.536545,0.00012304,0.00012327,0.998134
ER(0.25),14,1,20282012,22,186.490089,186.490089,292.000000,292.000000,146,0.638665,0.00021301,0.00021338,0.998289
ER(0.25),14,2,20282013,24,324.169852,324.169852,572.000000,572.000000,286,0.566731,0.00028076,0.00028132,0.997981
ER(0.25),14,3,20282014,23,285.358697,285.358697,456.000000,456.000000,228,0.625787,0.00026334,0.00026395,0.997717
ER(0.25),14,4,20282015,23,235.880401,235.880401,340.000000,340.000000,170,0.693766,0.00023942,0.00023997,0.997679
ER(0.25),14,5,20282016,26,400.551672,400.551672,788.000000,788.000000,394,0.508314,0.00031213,0.00031272,0.998130
ER(0.25),14,6,20282017,24,324.234581,324.234581,612.000000,612.000000,306,0.529795,0.00028076,0.00028135,0.997892
ER(0.25),14,7,20282018,18,141.783135,141.783135,280.000000,280.000000,140,0.506368,0.00018563,0.00018605,0.997755
ER(0.25),14,8,20282019,24,319.411645,319.411645,540.000000,540.000000,270,0.591503,0.00027867,0.00027925,0.997901
ER(0.25),14,9,20282020,18,121.256445,121.256445,176.000000,176.000000,88,0.688957,0.00017163,0.00017206,0.997524
ER(0.25),14,10,20282021,22,251.521302,251.521302,400.000000,400.000000,200,0.628803,0.00024723,0.00024780,0.997671
ER(0.25),16,1,20282212,26,350.172159,350.172159,632.000000,632.000000,316,0.554070,0.00029177,0.00029239,0.997891
ER(0.25),16,2,20282213,25,259.910377,259.910377,368.000000,368.000000,184,0.706278,0.00025132,0.00025190,0.997673
ER(0.25),16,3,20282214,32,502.022045,502.022045,852.000000,852.000000,426,0.589228,0.00034935,0.00035009,0.997871
ER(0.25),16,4,20282215,26,271.256880,271.256880,368.000000,368.000000,184,0.737111,0.00025664,0.00025734,0.997291
ER(0.25),16,5,20282216,33,551.908234,551.908234,956.000000,956.000000,478,0.577310,0.00036627,0.00036707,0.997803
ER(0.25),16,6,20282217,33,522.270529,522.270529,872.000000,872.000000,436,0.598934,0.00035626,0.00035708,0.997696
ER(0.25),16,7,20282218,31,417.700403,417.700403,620.000000,620.000000,310,0.673710,0.00031849,0.00031934,0.997350
ER(0.25),16,8,20282219,39,950.113405,950.113405,2064.000000,2064.000000,1032,0.460326,0.00048082,0.00048162,0.998329
