family,n,inst,seed,m,ramp,P,K,d,E_cc,E_full_d,E_prefix_d,max_angle_deg
ER(0.5),12,1,20271812,38,small,20,5,4,0.98136,0.99687,0.96943,76.99
ER(0.5),12,1,20271812,38,moderate,20,5,4,0.95742,0.9947,0.88102,82.77
ER(0.5),12,1,20271812,38,large,20,5,4,0.81769,0.95355,0.68406,88.75
ER(0.5),12,2,20271813,37,small,20,5,4,0.97991,0.99691,0.96121,73.1
ER(0.5),12,2,20271813,37,moderate,20,5,4,0.95506,0.99457,0.85839,84.21
ER(0.5),12,2,20271813,37,large,20,5,4,0.81235,0.96278,0.67142,87.65
ER(0.5),12,3,20271814,35,small,20,5,4,0.97997,0.99679,0.95921,69.88
ER(0.5),12,3,20271814,35,moderate,20,5,4,0.96517,0.99477,0.84474,86.73
ER(0.5),12,3,20271814,35,large,20,5,4,0.89144,0.96247,0.68905,87.83
ER(0.5),12,4,20271815,37,small,20,5,4,0.98569,0.99733,0.98098,78.43
ER(0.5),12,4,20271815,37,moderate,20,5,4,0.96655,0.99568,0.91762,76.02
ER(0.5),12,4,20271815,37,large,20,5,4,0.83446,0.9451,0.7032,87.16
ER(0.5),12,5,20271816,43,small,20,5,4,0.98332,0.99724,0.9767,73.61
ER(0.5),12,5,20271816,43,moderate,20,5,4,0.96097,0.99506,0.90102,78.19
ER(0.5),12,5,20271816,43,large,20,5,4,0.80049,0.93316,0.68051,86.52
ER(0.5),14,1,20272012,43,small,20,5,4,0.97947,0.99606,0.96578,74.42
ER(0.5),14,1,20272012,43,moderate,20,5,4,0.9562,0.99371,0.87306,82.03
ER(0.5),14,1,20272012,43,large,20,5,4,0.8134,0.94264,0.66864,88.84
ER(0.5),14,2,20272013,50,small,20,5,4,0.97468,0.99551,0.95555,79.86
ER(0.5),14,2,20272013,50,moderate,20,5,4,0.9327,0.99187,0.83969,85.37
ER(0.5),14,2,20272013,50,large,20,5,4,0.73684,0.90965,0.60869,89.34
ER(0.5),14,3,20272014,47,small,20,5,4,0.96837,0.99473,0.92939,80.37
ER(0.5),14,3,20272014,47,moderate,20,5,4,0.923,0.99034,0.77088,89.14
ER(0.5),14,3,20272014,47,large,20,5,4,0.7818,0.91631,0.57435,88.79
ER(0.5),14,4,20272015,42,small,20,5,4,0.97325,0.99539,0.95146,69.92
ER(0.5),14,4,20272015,42,moderate,20,5,4,0.94008,0.99286,0.81935,88.05
ER(0.5),14,4,20272015,42,large,20,5,4,0.80845,0.94339,0.63474,89.38
ER(0.5),14,5,20272016,40,small,20,5,4,0.96261,0.99356,0.90479,70.29
ER(0.5),14,5,20272016,40,moderate,20,5,4,0.92339,0.98549,0.70765,88.45
ER(0.5),14,5,20272016,40,large,20,5,4,0.83086,0.93102,0.56313,89.47
ER(0.25),12,1,20281812,15,small,20,5,4,0.99212,0.99928,0.9923,77.42
ER(0.25),12,1,20281812,15,moderate,20,5,4,0.97442,0.99811,0.92974,83.8
ER(0.25),12,1,20281812,15,large,20,5,4,0.92071,0.98857,0.76269,87.37
ER(0.25),12,2,20281813,17,small,20,5,4,0.99206,0.99903,0.99141,77.67
ER(0.25),12,2,20281813,17,moderate,20,5,4,0.97546,0.99798,0.93622,77.16
ER(0.25),12,2,20281813,17,large,20,5,4,0.91988,0.988,0.77404,85.49
ER(0.25),12,3,20281814,15,small,20,5,4,0.9898,0.9992,0.9878,67.57
ER(0.25),12,3,20281814,15,moderate,20,5,4,0.96458,0.99812,0.88933,82.68
ER(0.25),12,3,20281814,15,large,20,5,4,0.89365,0.98797,0.72649,86.56
ER(0.25),12,4,20281815,9,small,20,5,4,0.99733,0.99991,0.99815,52.94
ER(0.25),12,4,20281815,9,moderate,20,5,4,0.98966,0.9994,0.97694,65.91
ER(0.25),12,4,20281815,9,large,20,5,4,0.95329,0.99509,0.82431,84.02
ER(0.25),12,5,20281816,11,small,20,5,4,0.99627,0.99977,0.99665,69.05
ER(0.25),12,5,20281816,11,moderate,20,5,4,0.98764,0.999,0.96654,75.75
ER(0.25),12,5,20281816,11,large,20,5,4,0.95072,0.99342,0.81132,84.06
ER(0.25),14,1,20282012,22,small,20,5,4,0.98773,0.99887,0.98602,71.68
ER(0.25),14,1,20282012,22,moderate,20,5,4,0.9647,0.9971,0.90352,86.14
ER(0.25),14,1,20282012,22,large,20,5,4,0.89433,0.98165,0.73078,88.98
ER(0.25),14,2,20282013,24,small,20,5,4,0.98604,0.99761,0.97663,73.35
ER(0.25),14,2,20282013,24,moderate,20,5,4,0.95867,0.99618,0.85071,87.43
ER(0.25),14,2,20282013,24,large,20,5,4,0.87348,0.97152,0.66755,88.48
ER(0.25),14,3,20282014,23,small,20,5,4,0.98206,0.99784,0.97159,74.66
ER(0.25),14,3,20282014,23,moderate,20,5,4,0.94721,0.99619,0.81451,88.25
ER(0.25),14,3,20282014,23,large,20,5,4,0.88556,0.97317,0.6602,88.62
ER(0.25),14,4,20282015,23,small,20,5,4,0.98249,0.99829,0.97621,73.16
ER(0.25),14,4,20282015,23,moderate,20,5,4,0.94541,0.99629,0.83353,88.23
ER(0.25),14,4,20282015,23,large,20,5,4,0.86387,0.96945,0.65994,89.37
ER(0.25),14,5,20282016,26,small,20,5,4,0.98656,0.99753,0.97931,64.32
ER(0.25),14,5,20282016,26,moderate,20,5,4,0.96715,0.9964,0.89093,83.66
ER(0.25),14,5,20282016,26,large,20,5,4,0.88183,0.97862,0.71853,88.71
BA(k=2),12,1,20291812,20,small,20,5,4,0.98654,0.99823,0.98166,61.64
BA(k=2),12,1,20291812,20,moderate,20,5,4,0.95816,0.99705,0.8577,88.45
BA(k=2),12,1,20291812,20,large,20,5,4,0.89318,0.97701,0.69776,89.49
BA(k=2),12,2,20291813,20,small,20,5,4,0.99224,0.99897,0.99123,79.45
BA(k=2),12,2,20291813,20,moderate,20,5,4,0.9797,0.99774,0.94497,77.62
