family,n,inst,seed,m,ramp,P,K,d,E_cc,E_full_d,E_prefix_d,max_angle_deg
ER(0.5),10,1,20271612,25,small,20,5,4,0.98886,0.99828,0.98223,60.62
ER(0.5),10,1,20271612,25,moderate,20,5,4,0.9753,0.99709,0.91081,80.27
ER(0.5),10,1,20271612,25,large,20,5,4,0.91099,0.97518,0.76529,87.94
ER(0.5),10,2,20271613,23,small,20,5,4,0.99215,0.99863,0.99031,63.96
ER(0.5),10,2,20271613,23,moderate,20,5,4,0.98222,0.99789,0.95299,71.25
ER(0.5),10,2,20271613,23,large,20,5,4,0.93665,0.97687,0.82179,85.44
ER(0.25),10,1,20281612,10,small,20,5,4,0.9963,0.99979,0.9972,70.36
ER(0.25),10,1,20281612,10,moderate,20,5,4,0.9879,0.99913,0.97184,73.36
ER(0.25),10,1,20281612,10,large,20,5,4,0.95312,0.99443,0.84226,80.79
ER(0.25),10,2,20281613,9,small,20,5,4,0.99697,0.99989,0.99766,62.12
ER(0.25),10,2,20281613,9,moderate,20,5,4,0.98912,0.99925,0.97243,73.25
ER(0.25),10,2,20281613,9,large,20,5,4,0.94937,0.99481,0.81524,86.2
BA(k=2),10,1,20291612,16,small,20,5,4,0.99251,0.99906,0.99118,49.38
BA(k=2),10,1,20291612,16,moderate,20,5,4,0.97478,0.99841,0.91362,77.88
BA(k=2),10,1,20291612,16,large,20,5,4,0.92516,0.98103,0.78127,79.71
BA(k=2),10,2,20291613,16,small,20,5,4,0.99443,0.9992,0.99412,80.04
BA(k=2),10,2,20291613,16,moderate,20,5,4,0.9862,0.99845,0.96226,68.59
BA(k=2),10,2,20291613,16,large,20,5,4,0.9489,0.99037,0.85621,74.12
BA(k=4),10,1,20301612,24,small,20,5,4,0.98927,0.99862,0.98335,65.19
BA(k=4),10,1,20301612,24,moderate,20,5,4,0.96942,0.99712,0.90042,81.14
BA(k=4),10,1,20301612,24,large,20,5,4,0.89216,0.96716,0.71989,88.2
BA(k=4),10,2,20301613,24,small,20,5,4,0.98738,0.99815,0.97533,64.86
BA(k=4),10,2,20301613,24,moderate,20,5,4,0.96511,0.9964,0.84887,87.94
BA(k=4),10,2,20301613,24,large,20,5,4,0.90881,0.96904,0.69575,88.06
WS(k=4;b=0.1),10,1,20311612,20,small,20,5,4,0.99344,0.99914,0.99288,87.8
WS(k=4;b=0.1),10,1,20311612,20,moderate,20,5,4,0.98452,0.99796,0.96042,78.8
WS(k=4;b=0.1),10,1,20311612,20,large,20,5,4,0.94347,0.98628,0.81151,85.6
WS(k=4;b=0.1),10,2,20311613,20,small,20,5,4,0.99362,0.99891,0.99182,82.97
WS(k=4;b=0.1),10,2,20311613,20,moderate,20,5,4,0.9857,0.99812,0.95995,75.0
WS(k=4;b=0.1),10,2,20311613,20,large,20,5,4,0.94644,0.9887,0.85935,67.07
WS(k=4;b=0.5),10,1,20321612,20,small,20,5,4,0.99082,0.99874,0.98672,58.87
WS(k=4;b=0.5),10,1,20321612,20,moderate,20,5,4,0.97558,0.99764,0.91517,81.26
WS(k=4;b=0.5),10,1,20321612,20,large,20,5,4,0.91683,0.98213,0.74582,88.55
WS(k=4;b=0.5),10,2,20321613,20,small,20,5,4,0.98821,0.99856,0.98329,66.16
WS(k=4;b=0.5),10,2,20321613,20,moderate,20,5,4,0.96921,0.99718,0.88021,88.72
WS(k=4;b=0.5),10,2,20321613,20,large,20,5,4,0.93264,0.98089,0.74011,86.95
3-regular,10,1,20331612,15,small,20,5,4,0.99568,0.9997,0.99672,59.64
3-regular,10,1,20331612,15,moderate,20,5,4,0.99027,0.99895,0.97432,68.23
3-regular,10,1,20331612,15,large,20,5,4,0.95929,0.99204,0.83239,82.35
3-regular,10,2,20331613,15,small,20,5,4,0.99208,0.99942,0.99125,67.14
3-regular,10,2,20331613,15,moderate,20,5,4,0.97631,0.99832,0.91679,84.05
3-regular,10,2,20331613,15,large,20,5,4,0.94677,0.98875,0.77817,86.74
