== p=1: mean regret per cell ==
family         n   transfer  best-of-3  exact-N   sampled-N
ER(0.5)        12  0.0034    0.0019     0.0278    --      
ER(0.5)        14  0.0016    0.0009     0.0301    --      
ER(0.5)        16  0.0033    0.0026     0.0323    0.0312  
ER(0.5)        18  0.0052    0.0044     0.033     0.0313  
ER(0.25)       12  0.0102    0.0043     0.0312    --      
ER(0.25)       14  0.0128    0.0056     0.036     --      
ER(0.25)       16  0.0198    0.0106     0.0394    0.0403  
ER(0.25)       18  0.0229    0.0129     0.0452    0.0437  
BA(k=2)        12  0.0008    0.0        0.0299    --      
BA(k=2)        14  0.0008    0.0        0.0381    --      
BA(k=2)        16  0.001     -0.0       0.041     0.0371  
BA(k=2)        18  0.001     -0.0       0.0477    0.0424  
BA(k=4)        12  0.0012    0.0007     0.0277    --      
BA(k=4)        14  0.0016    0.0011     0.0276    --      
BA(k=4)        16  0.002     0.0013     0.0382    0.0345  
BA(k=4)        18  0.0026    0.0015     0.0391    0.0369  
WS(k=4;b=0.1)  12  0.0       0.0        0.028     --      
WS(k=4;b=0.1)  14  0.0001    0.0001     0.031     --      
WS(k=4;b=0.1)  16  0.0001    0.0001     0.0343    0.0339  
WS(k=4;b=0.1)  18  0.0001    0.0001     0.0407    0.0358  
WS(k=4;b=0.5)  12  0.0008    0.0008     0.0312    --      
WS(k=4;b=0.5)  14  0.0012    0.0012     0.0346    --      
WS(k=4;b=0.5)  16  0.0014    0.0014     0.0442    0.0424  
WS(k=4;b=0.5)  18  0.0022    0.0022     0.0485    0.044   
3-regular      12  0.0021    0.0001     0.0369    --      
3-regular      14  0.0018    0.0001     0.0384    --      
3-regular      16  0.0027    0.0003     0.0463    0.0418  
3-regular      18  0.0029    0.0003     0.0546    0.0498  

== p=3: mean regret per cell ==
family         n   transfer  best-of-3  exact-N   sampled-N
ER(0.5)        12  0.0083    0.0024     0.0804    --      
ER(0.5)        14  0.0133    0.0055     0.0801    --      
ER(0.5)        16  0.0263    0.0135     0.0797    0.0766  
ER(0.5)        18  0.042     0.0244     0.0907    0.0799  
ER(0.25)       12  0.0174    0.006      0.0818    --      
ER(0.25)       14  0.0181    0.0076     0.0891    --      
ER(0.25)       16  0.0209    0.0114     0.0911    0.0895  
ER(0.25)       18  0.0249    0.0163     0.0918    0.0923  
BA(k=2)        12  0.0055    0.0035     0.0849    --      
BA(k=2)        14  0.0032    0.0017     0.0799    --      
BA(k=2)        16  0.0062    0.004      0.085     0.0796  
BA(k=2)        18  0.0055    0.003      0.0967    0.089   
BA(k=4)        12  0.007     0.0004     0.0686    --      
BA(k=4)        14  0.0078    0.0022     0.0868    --      
BA(k=4)        16  0.0128    0.0071     0.0895    0.0848  
BA(k=4)        18  0.0144    0.009      0.085     0.078   
WS(k=4;b=0.1)  12  0.0028    0.0003     0.0633    --      
WS(k=4;b=0.1)  14  0.0029    0.0002     0.0838    --      
WS(k=4;b=0.1)  16  0.0021    0.0001     0.0797    0.0726  
WS(k=4;b=0.1)  18  0.0019    0.0        0.0795    0.0724  
WS(k=4;b=0.5)  12  0.0061    0.0011     0.0769    --      
WS(k=4;b=0.5)  14  0.004     0.0004     0.0928    --      
WS(k=4;b=0.5)  16  0.0028    0.0006     0.0939    0.084   
WS(k=4;b=0.5)  18  0.0046    0.0017     0.0988    0.093   
3-regular      12  0.0145    0.0024     0.0821    --      
3-regular      14  0.011     0.003      0.0922    --      
3-regular      16  0.0142    0.0019     0.1049    0.0921  
3-regular      18  0.0151    0.0016     0.1067    0.1013  

pooled transfer regret: mean 0.0072, median 0.0026, max 0.1094
pooled exact-N proxy regret: mean 0.0606
