family,n,instance,seed,source_rep,p,ar_transfer,ar_ceiling,regret_transfer
ER(0.5),12,1,20271812,1,1,0.8470567770800816,0.8477289924229867,0.0006722153429050692
ER(0.5),12,1,20271812,1,3,0.9217770376658639,0.9247747897814202,0.002997752115556307
ER(0.5),12,1,20271812,2,1,0.8451303590979092,0.8477289924229867,0.002598633325077482
ER(0.5),12,1,20271812,2,3,0.9013573724891544,0.9247747897814202,0.023417417292265874
ER(0.5),12,1,20271812,3,1,0.8470567770800816,0.8477289924229867,0.0006722153429050692
ER(0.5),12,1,20271812,3,3,0.9219222634535497,0.9247747897814202,0.002852526327870586
ER(0.5),12,2,20271813,1,1,0.8362882839422121,0.8368529726753533,0.0005646887331411943
ER(0.5),12,2,20271813,1,3,0.9301198494445949,0.9322194925298259,0.002099643085231029
ER(0.5),12,2,20271813,2,1,0.836684429334418,0.8368529726753533,0.000168543340935301
ER(0.5),12,2,20271813,2,3,0.9178529579633113,0.9322194925298259,0.0143665345665146
ER(0.5),12,2,20271813,3,1,0.8362882839422121,0.8368529726753533,0.0005646887331411943
ER(0.5),12,2,20271813,3,3,0.9263755345749303,0.9322194925298259,0.005843957954895673
ER(0.5),12,3,20271814,1,1,0.8241462610631026,0.8242754436579601,0.00012918259485750205
ER(0.5),12,3,20271814,1,3,0.9213235760049736,0.9258549961144368,0.004531420109463169
ER(0.5),12,3,20271814,2,1,0.8242754436579601,0.8242754436579601,0.0
ER(0.5),12,3,20271814,2,3,0.9206404405494304,0.9258549961144368,0.005214555565006385
ER(0.5),12,3,20271814,3,1,0.8241462610631026,0.8242754436579601,0.00012918259485750205
ER(0.5),12,3,20271814,3,3,0.9175480770089299,0.9258549961144368,0.00830691910550685
ER(0.5),12,4,20271815,1,1,0.8517698566588288,0.852769413054839,0.0009995563960102372
ER(0.5),12,4,20271815,1,3,0.910857300827214,0.9162119658638054,0.005354665036591433
ER(0.5),12,4,20271815,2,1,0.8483438695320362,0.852769413054839,0.004425543522802777
ER(0.5),12,4,20271815,2,3,0.8831172216653179,0.9162119658638054,0.03309474419848746
ER(0.5),12,4,20271815,3,1,0.8517698566588288,0.852769413054839,0.0009995563960102372
ER(0.5),12,4,20271815,3,3,0.9152976728389105,0.9162119658638054,0.0009142930248948744
ER(0.5),12,5,20271816,1,1,0.8628679446258501,0.8671247452810639,0.004256800655213722
