family,n,instance,seed,m,p,method,ar,ceil,regret
3-regular,26,1,20273306,39,1,ceiling,0.7499047869922533,0.7499047869922533,0.0
3-regular,26,1,20273306,39,1,sampledN,0.6958693624936555,0.7499047869922533,0.05403542449859777
3-regular,26,1,20273306,39,1,paper_binP,0.7365307266262916,0.7499047869922533,0.01337406036596167
3-regular,26,1,20273306,39,1,paper_empP,0.7365307266262916,0.7499047869922533,0.01337406036596167
3-regular,26,1,20273306,39,1,transfer_1,0.7469637333724913,0.7499047869922533,0.0029410536197619352
3-regular,26,1,20273306,39,1,transfer_2,0.7403065257239345,0.7499047869922533,0.009598261268318753
3-regular,26,1,20273306,39,1,transfer_3,0.7485542828743983,0.7499047869922533,0.0013505041178549781
3-regular,26,1,20273306,39,1,universal,0.7367719080917873,0.7499047869922533,0.013132878900465994
3-regular,26,2,20273307,39,1,ceiling,0.7756263980376444,0.7756263980376444,0.0
3-regular,26,2,20273307,39,1,sampledN,0.7415051185052348,0.7756263980376444,0.03412127953240962
3-regular,26,2,20273307,39,1,paper_binP,0.7537324472603495,0.7756263980376444,0.021893950777294946
3-regular,26,2,20273307,39,1,paper_empP,0.7665937208962414,0.7756263980376444,0.00903267714140299
3-regular,26,2,20273307,39,1,transfer_1,0.7750681166298112,0.7756263980376444,0.0005582814078332055
3-regular,26,2,20273307,39,1,transfer_2,0.7708583372016468,0.7756263980376444,0.004768060835997678
3-regular,26,2,20273307,39,1,transfer_3,0.7756263980376444,0.7756263980376444,0.0
3-regular,26,2,20273307,39,1,universal,0.768170176904628,0.7756263980376444,0.007456221133016472
3-regular,26,3,20273308,39,1,ceiling,0.7713306380491749,0.7713306380491749,0.0
3-regular,26,3,20273308,39,1,sampledN,0.7005540705353508,0.7713306380491749,0.0707765675138241
3-regular,26,3,20273308,39,1,paper_binP,0.7575744616727571,0.7713306380491749,0.013756176376417795
3-regular,26,3,20273308,39,1,paper_empP,0.7575744616727571,0.7713306380491749,0.013756176376417795
3-regular,26,3,20273308,39,1,transfer_1,0.7683055543259911,0.7713306380491749,0.0030250837231837746
3-regular,26,3,20273308,39,1,transfer_2,0.7614581407446184,0.7713306380491749,0.009872497304556527
3-regular,26,3,20273308,39,1,transfer_3,0.7699415480993811,0.7713306380491749,0.0013890899497938092
3-regular,26,3,20273308,39,1,universal,0.7578225340372668,0.7713306380491749,0.013508104011908051
3-regular,26,4,20273309,39,1,ceiling,0.7575846198808435,0.7575846198808435,0.0
3-regular,26,4,20273309,39,1,sampledN,0.6950712401157044,0.7575846198808435,0.06251337976513904
3-regular,26,4,20273309,39,1,paper_binP,0.738541541279301,0.7575846198808435,0.019043078601542418
3-regular,26,4,20273309,39,1,paper_empP,0.738541541279301,0.7575846198808435,0.019043078601542418
3-regular,26,4,20273309,39,1,transfer_1,0.756768873554646,0.7575846198808435,0.0008157463261975195
3-regular,26,4,20273309,39,1,transfer_2,0.7519898951473543,0.7575846198808435,0.005594724733489209
3-regular,26,4,20273309,39,1,transfer_3,0.7575846198808435,0.7575846198808435,0.0
3-regular,26,4,20273309,39,1,universal,0.7491224766826885,0.7575846198808435,0.00846214319815497
3-regular,26,5,20273310,39,1,ceiling,0.7890014394148557,0.7890014394148557,0.0
3-regular,26,5,20273310,39,1,sampledN,0.6838011721828723,0.7890014394148557,0.10520026723198339
3-regular,26,5,20273310,39,1,paper_binP,0.7733251594300836,0.7890014394148557,0.015676279984772057
3-regular,26,5,20273310,39,1,paper_empP,0.7839506330403958,0.7890014394148557,0.005050806374459871
3-regular,26,5,20273310,39,1,transfer_1,0.7869441115414899,0.7890014394148557,0.0020573278733657663
3-regular,26,5,20273310,39,1,transfer_2,0.780605060610595,0.7890014394148557,0.008396378804260696
3-regular,26,5,20273310,39,1,transfer_3,0.7883467653214334,0.7890014394148557,0.0006546740934222361
3-regular,26,5,20273310,39,1,universal,0.777126118299047,0.7890014394148557,0.01187532111580869
3-regular,26,1,20273306,39,3,ceiling,0.859116271583701,0.859116271583701,0.0
3-regular,26,1,20273306,39,3,sampledN,0.7465976843967336,0.859116271583701,0.11251858718696739
3-regular,26,1,20273306,39,3,paper_binP,0.8050491394991268,0.859116271583701,0.05406713208457414
3-regular,26,1,20273306,39,3,paper_empP,0.6503641326207142,0.859116271583701,0.20875213896298672
3-regular,26,1,20273306,39,3,transfer_1,0.8262528605692081,0.859116271583701,0.03286341101449286
3-regular,26,1,20273306,39,3,transfer_2,0.8262528605692081,0.859116271583701,0.03286341101449286
3-regular,26,1,20273306,39,3,transfer_3,0.859116271583701,0.859116271583701,0.0
3-regular,26,1,20273306,39,3,universal,0.8413065687238016,0.859116271583701,0.017809702859899357
3-regular,26,2,20273307,39,3,ceiling,0.8766924909748778,0.8766924909748778,0.0
3-regular,26,2,20273307,39,3,sampledN,0.7935499477286421,0.8766924909748778,0.08314254324623571
3-regular,26,2,20273307,39,3,paper_binP,0.8336755718500891,0.8766924909748778,0.043016919124788666
3-regular,26,2,20273307,39,3,paper_empP,0.5249813845191764,0.8766924909748778,0.35171110645570136
3-regular,26,2,20273307,39,3,transfer_1,0.8598554511429868,0.8766924909748778,0.016837039831891
3-regular,26,2,20273307,39,3,transfer_2,0.8598554511429868,0.8766924909748778,0.016837039831891
3-regular,26,2,20273307,39,3,transfer_3,0.8748778241541122,0.8766924909748778,0.001814666820765587
3-regular,26,2,20273307,39,3,universal,0.8683743482033563,0.8766924909748778,0.00831814277152143
3-regular,26,3,20273308,39,3,ceiling,0.8743392335921595,0.8743392335921595,0.0
3-regular,26,3,20273308,39,3,sampledN,0.763672712929214,0.8743392335921595,0.11066652066294547
3-regular,26,3,20273308,39,3,paper_binP,0.8268379139067565,0.8743392335921595,0.04750131968540294
3-regular,26,3,20273308,39,3,paper_empP,0.6659482007916956,0.8743392335921595,0.2083910328004639
3-regular,26,3,20273308,39,3,transfer_1,0.8486459378632175,0.8743392335921595,0.025693295728941967
3-regular,26,3,20273308,39,3,transfer_2,0.8486459378632175,0.8743392335921595,0.025693295728941967
3-regular,26,3,20273308,39,3,transfer_3,0.8739535068076992,0.8743392335921595,0.00038572678446024966
3-regular,26,3,20273308,39,3,universal,0.8624637770988484,0.8743392335921595,0.01187545649331112
3-regular,26,4,20273309,39,3,ceiling,0.8510431440160389,0.8510431440160389,0.0
3-regular,26,4,20273309,39,3,sampledN,0.7550037293920777,0.8510431440160389,0.09603941462396115
3-regular,26,4,20273309,39,3,paper_binP,0.81232435712971,0.8510431440160389,0.038718786886328904
3-regular,26,4,20273309,39,3,paper_empP,0.634078858486935,0.8510431440160389,0.21696428552910385
3-regular,26,4,20273309,39,3,transfer_1,0.8374732682043385,0.8510431440160389,0.013569875811700327
3-regular,26,4,20273309,39,3,transfer_2,0.8374732682043385,0.8510431440160389,0.013569875811700327
3-regular,26,4,20273309,39,3,transfer_3,0.8489742488615204,0.8510431440160389,0.0020688951545184686
3-regular,26,4,20273309,39,3,universal,0.8445839523100837,0.8510431440160389,0.006459191705955214
3-regular,26,5,20273310,39,3,ceiling,0.8931761712220584,0.8931761712220584,0.0
3-regular,26,5,20273310,39,3,sampledN,0.7534386521033966,0.8931761712220584,0.13973751911866183
3-regular,26,5,20273310,39,3,paper_binP,0.8481308963361248,0.8931761712220584,0.04504527488593357
3-regular,26,5,20273310,39,3,paper_empP,0.5483511037437794,0.8931761712220584,0.344825067478279
3-regular,26,5,20273310,39,3,transfer_1,0.8710099534613702,0.8931761712220584,0.022166217760688167
3-regular,26,5,20273310,39,3,transfer_2,0.8710099534613702,0.8931761712220584,0.022166217760688167
3-regular,26,5,20273310,39,3,transfer_3,0.8918668029912269,0.8931761712220584,0.001309368230831498
3-regular,26,5,20273310,39,3,universal,0.884460321023111,0.8931761712220584,0.008715850198947384
