family,n,inst,m,tau,c4,varT,varE_exact,linproj,crude36,quadbound,capture_lin,capture_quad,rho_cond_exact,rho_cond_bound
ER(0.5),12,1,38,40,145,3180.0,2191.1878,1515.7895,1515.7895,2095.6627,0.6918,0.9564,0.3109,0.341
ER(0.5),12,2,37,31,122,2740.0,1740.2655,935.027,935.027,1634.6075,0.5373,0.9393,0.3649,0.4034
ER(0.5),12,3,35,30,105,2396.0,1539.5714,925.7143,925.7143,1469.646,0.6013,0.9546,0.3574,0.3866
ER(0.5),12,4,37,44,148,3216.0,2364.3969,1883.6757,1883.6757,2293.4068,0.7967,0.97,0.2648,0.2869
ER(0.5),12,5,43,66,280,5624.0,4419.9029,3646.8837,3646.8837,4231.6138,0.8251,0.9574,0.2141,0.2476
ER(0.5),12,6,38,39,153,3308.0,2260.7448,1440.9474,1440.9474,2132.1727,0.6374,0.9431,0.3166,0.3554
ER(0.5),12,7,33,25,80,1920.0,1185.7049,681.8182,681.8182,1139.4334,0.575,0.961,0.3824,0.4065
ER(0.5),12,8,27,17,36,1028.0,616.6741,385.3333,385.3333,604.7139,0.6249,0.9806,0.4001,0.4118
ER(0.5),12,9,20,3,6,304.0,111.301,16.2,16.2,109.4967,0.1456,0.9838,0.6339,0.6398
ER(0.5),12,10,41,54,212,4412.0,3294.9072,2560.3902,2560.3902,3150.7293,0.7771,0.9562,0.2532,0.2859
ER(0.5),14,1,43,42,152,3420.0,2199.8545,1476.8372,1476.8372,2129.7467,0.6713,0.9681,0.3568,0.3773
ER(0.5),14,2,50,73,320,6492.0,4821.8244,3836.88,3836.88,4643.1897,0.7957,0.963,0.2573,0.2848
ER(0.5),14,3,47,49,204,4424.0,2860.1122,1839.0638,1839.0638,2744.3548,0.643,0.9595,0.3535,0.3797
ER(0.5),14,4,42,35,118,2788.0,1667.4471,1050.0,1050.0,1628.0031,0.6297,0.9763,0.4019,0.4161
ER(0.5),14,5,40,22,93,2276.0,1166.2125,435.6,435.6,1124.5334,0.3735,0.9643,0.4876,0.5059
ER(0.5),14,6,52,69,291,6064.0,4275.9327,3296.0769,3296.0769,4148.108,0.7708,0.9701,0.2949,0.3159
ER(0.5),14,7,50,62,261,5492.0,3794.159,2767.68,2767.68,3651.6291,0.7295,0.9624,0.3091,0.3351
ER(0.5),14,8,49,52,220,4752.0,3058.0129,1986.6122,1986.6122,2942.8457,0.6496,0.9623,0.3565,0.3807
ER(0.5),14,9,35,23,65,1684.0,949.8275,544.1143,544.1143,926.7359,0.5729,0.9757,0.436,0.4497
ER(0.5),14,10,45,55,206,4412.0,3115.0073,2420.0,2420.0,3031.9778,0.7769,0.9733,0.294,0.3128
ER(0.25),12,1,15,3,3,200.0,89.7494,21.6,21.6,89.2585,0.2407,0.9945,0.5513,0.5537
ER(0.25),12,2,17,3,5,256.0,108.1872,19.0588,19.0588,106.1073,0.1762,0.9808,0.5774,0.5855
ER(0.25),12,3,15,0,4,192.0,72.5014,0.0,0.0,71.4419,0.0,0.9854,0.6224,0.6279
ER(0.25),12,4,9,0,0,32.0,7.1111,0.0,0.0,7.1111,0.0,1.0,0.7778,0.7778
ER(0.25),12,5,11,0,0,64.0,19.39,0.0,0.0,18.6182,0.0,0.9602,0.697,0.7091
ER(0.25),12,6,19,3,9,356.0,149.3532,17.0526,17.0526,147.1683,0.1142,0.9854,0.5805,0.5866
ER(0.25),12,7,14,5,8,264.0,151.8607,64.2857,64.2857,145.4015,0.4233,0.9575,0.4248,0.4492
ER(0.25),12,8,20,4,7,324.0,128.1485,28.8,28.8,125.7117,0.2247,0.981,0.6045,0.612
ER(0.25),12,9,18,2,8,316.0,129.0498,8.0,8.0,127.1759,0.062,0.9855,0.5916,0.5975
ER(0.25),12,10,11,1,2,116.0,53.7608,3.2727,3.2727,51.2747,0.0609,0.9538,0.5365,0.558
ER(0.25),14,1,22,5,5,292.0,105.5099,40.9091,40.9091,103.7615,0.3877,0.9834,0.6387,0.6447
ER(0.25),14,2,24,6,16,572.0,247.8301,54.0,54.0,241.1158,0.2179,0.9729,0.5667,0.5785
ER(0.25),14,3,23,3,11,456.0,170.6413,14.087,14.087,168.8418,0.0826,0.9895,0.6258,0.6297
ER(0.25),14,4,23,2,6,340.0,104.1196,6.2609,6.2609,103.1366,0.0601,0.9906,0.6938,0.6967
ER(0.25),14,5,26,10,25,788.0,387.4483,138.4615,138.4615,377.9682,0.3574,0.9755,0.5083,0.5203
ER(0.25),14,6,24,8,17,612.0,287.7654,96.0,96.0,284.0339,0.3336,0.987,0.5298,0.5359
ER(0.25),14,7,18,6,5,280.0,138.2169,72.0,72.0,137.5515,0.5209,0.9952,0.5064,0.5087
ER(0.25),14,8,24,5,14,540.0,220.5884,37.5,37.5,217.5401,0.17,0.9862,0.5915,0.5971
ER(0.25),14,9,18,2,1,176.0,54.7436,8.0,8.0,52.9427,0.1461,0.9671,0.689,0.6992
ER(0.25),14,10,22,3,9,400.0,148.4787,14.7273,14.7273,146.6376,0.0992,0.9876,0.6288,0.6334
BA(k=2),12,1,20,5,13,476.0,230.2125,45.0,45.0,225.8773,0.1955,0.9812,0.5164,0.5255
BA(k=2),12,2,20,6,4,296.0,134.1663,64.8,64.8,132.36,0.483,0.9865,0.5467,0.5528
BA(k=2),12,3,20,6,12,480.0,243.555,64.8,64.8,240.1367,0.2661,0.986,0.4926,0.4997
BA(k=2),12,4,20,7,11,460.0,242.7019,88.2,88.2,235.9188,0.3634,0.9721,0.4724,0.4871
BA(k=2),12,5,20,4,13,508.0,256.0627,28.8,28.8,248.9233,0.1125,0.9721,0.4959,0.51
BA(k=2),12,6,20,4,9,356.0,145.0305,28.8,28.8,141.8277,0.1986,0.9779,0.5926,0.6016
BA(k=2),12,7,20,8,11,472.0,260.0542,115.2,115.2,255.2817,0.443,0.9816,0.449,0.4591
BA(k=2),12,8,20,8,11,480.0,264.646,115.2,115.2,261.6338,0.4353,0.9886,0.4487,0.4549
BA(k=2),12,9,20,8,12,496.0,278.2862,115.2,115.2,270.6552,0.414,0.9726,0.4389,0.4543
BA(k=2),12,10,20,5,9,376.0,164.7935,45.0,45.0,162.681,0.2731,0.9872,0.5617,0.5673
BA(k=2),14,1,24,5,11,480.0,187.8994,37.5,37.5,184.6674,0.1996,0.9828,0.6085,0.6153
BA(k=2),14,2,24,6,18,700.0,346.7377,54.0,54.0,335.5897,0.1557,0.9678,0.5047,0.5206
BA(k=2),14,3,24,8,10,476.0,212.5967,96.0,96.0,211.7051,0.4516,0.9958,0.5534,0.5552
BA(k=2),14,4,24,8,10,480.0,216.555,96.0,96.0,214.1538,0.4433,0.9889,0.5488,0.5538
BA(k=2),14,5,24,5,11,480.0,188.2291,37.5,37.5,184.6674,0.1992,0.9811,0.6079,0.6153
BA(k=2),14,6,24,6,11,484.0,205.5518,54.0,54.0,194.7154,0.2627,0.9473,0.5753,0.5977
BA(k=2),14,7,24,6,13,524.0,221.9283,54.0,54.0,216.188,0.2433,0.9741,0.5765,0.5874
BA(k=2),14,8,24,8,10,464.0,206.3159,96.0,96.0,204.5128,0.4653,0.9913,0.5554,0.5592
BA(k=2),14,9,24,5,11,488.0,195.1551,37.5,37.5,190.0368,0.1922,0.9738,0.6001,0.6106
BA(k=2),14,10,24,8,13,552.0,256.4936,96.0,96.0,253.5273,0.3743,0.9884,0.5353,0.5407
BA(k=4),12,1,32,26,82,1952.0,1254.2913,760.5,760.5,1205.3292,0.6063,0.961,0.3574,0.3825
BA(k=4),12,2,32,31,107,2416.0,1689.901,1081.125,1081.125,1594.5089,0.6398,0.9436,0.3005,0.34
BA(k=4),12,3,32,29,86,2044.0,1381.5819,946.125,946.125,1334.7059,0.6848,0.9661,0.3241,0.347
BA(k=4),12,4,32,25,93,2140.0,1385.0251,703.125,703.125,1290.8515,0.5077,0.932,0.3528,0.3968
BA(k=4),12,5,32,22,72,1756.0,1051.2815,544.5,544.5,1007.8725,0.5179,0.9587,0.4013,0.426
BA(k=4),12,6,32,29,89,2084.0,1408.2862,946.125,946.125,1354.0678,0.6718,0.9615,0.3242,0.3503
BA(k=4),12,7,32,25,85,2008.0,1276.8222,703.125,703.125,1215.8509,0.5507,0.9522,0.3641,0.3945
BA(k=4),12,8,32,30,95,2192.0,1501.0001,1012.5,1012.5,1440.3703,0.6746,0.9596,0.3152,0.3429
