family,n,instance,seed,m,kind,K,p,value,ceil,regret
ER(0.5),14,1,20262107,42,ceiling,0,1,0.809359194848053,0.809359194848053,0.0
ER(0.5),14,1,20262107,42,ceiling,0,3,0.9003987099395357,0.9003987099395357,0.0
ER(0.5),14,1,20262107,42,leak_g0.2_b0.2,4,1,0.07864867712326504,,
ER(0.5),14,1,20262107,42,leak_g0.5_b0.3,4,1,0.20719856325225547,,
ER(0.5),14,1,20262107,42,leak_g1.0_b0.4,4,1,0.5371613710709363,,
ER(0.5),14,1,20262107,42,binned_proxy,4,1,0.72250781878864,0.809359194848053,0.08685137605941295
ER(0.5),14,1,20262107,42,binned_proxy,4,3,0.7561248759156107,0.9003987099395357,0.14427383402392502
ER(0.5),14,1,20262107,42,leak_g0.2_b0.2,8,1,0.0512942409419666,,
ER(0.5),14,1,20262107,42,leak_g0.5_b0.3,8,1,0.1534830479685039,,
ER(0.5),14,1,20262107,42,leak_g1.0_b0.4,8,1,0.4796751449678349,,
ER(0.5),14,1,20262107,42,binned_proxy,8,1,0.7545133690323055,0.809359194848053,0.054845825815747484
ER(0.5),14,1,20262107,42,binned_proxy,8,3,0.7718699463125043,0.9003987099395357,0.12852876362703147
ER(0.5),14,1,20262107,42,leak_g0.2_b0.2,16,1,0.03393099155357765,,
ER(0.5),14,1,20262107,42,leak_g0.5_b0.3,16,1,0.12490322089229441,,
ER(0.5),14,1,20262107,42,leak_g1.0_b0.4,16,1,0.4448415792187545,,
ER(0.5),14,1,20262107,42,binned_proxy,16,1,0.7710116777518932,0.809359194848053,0.0383475170961598
ER(0.5),14,1,20262107,42,binned_proxy,16,3,0.8121753490569483,0.9003987099395357,0.08822336088258742
ER(0.5),14,1,20262107,42,leak_g0.2_b0.2,32,1,0.023590755559540183,,
ER(0.5),14,1,20262107,42,leak_g0.5_b0.3,32,1,0.11232309049329771,,
ER(0.5),14,1,20262107,42,leak_g1.0_b0.4,32,1,0.4285908067123711,,
ER(0.5),14,1,20262107,42,binned_proxy,32,1,0.7755941242216371,0.809359194848053,0.03376507062641587
ER(0.5),14,1,20262107,42,binned_proxy,32,3,0.8121753490569483,0.9003987099395357,0.08822336088258742
ER(0.5),14,1,20262107,42,leak_g0.2_b0.2,64,1,0.017697014175214548,,
ER(0.5),14,1,20262107,42,leak_g0.5_b0.3,64,1,0.10685628172450848,,
ER(0.5),14,1,20262107,42,leak_g1.0_b0.4,64,1,0.42001387096028786,,
ER(0.5),14,1,20262107,42,binned_proxy,64,1,0.7755941242216371,0.809359194848053,0.03376507062641587
