family,n,inst,m,p,regret,bound,ratio,crude_bound,leakage_bound,argmax_moved
ER(0.5),10,1,25,1,0.003895,0.263007,67.52,3.144008,0.416631,1
ER(0.5),10,1,25,3,0.018491,0.43781,23.68,5.749612,1.124865,1
ER(0.5),10,2,23,1,0.00688,0.237481,34.52,3.020695,0.380647,1
ER(0.5),10,2,23,3,0.0,0.393377,3.933770278262e11,5.536196,0.957002,1
ER(0.25),10,1,10,1,0.079887,0.607177,7.6,3.70405,0.854338,1
ER(0.25),10,1,10,3,0.019462,0.371829,19.11,3.234846,0.930357,1
ER(0.25),10,2,9,1,0.075394,0.619997,8.22,3.669809,0.855523,1
ER(0.25),10,2,9,3,0.03886,0.561325,14.44,3.556029,1.326436,1
BA(k=2),10,1,16,1,0.018525,0.470604,25.4,3.483651,0.706133,1
BA(k=2),10,1,16,3,0.048858,0.685139,14.02,5.046245,1.638222,1
BA(k=2),10,2,16,1,0.10226,0.631132,6.17,4.791782,0.843516,1
BA(k=2),10,2,16,3,0.0,0.181795,1.8179507497812e11,2.988091,0.467627,1
BA(k=4),10,1,24,1,0.005485,0.255963,46.66,2.930593,0.407349,1
BA(k=4),10,1,24,3,0.011584,0.44533,38.44,5.318275,1.097442,1
BA(k=4),10,2,24,1,0.0,0.326308,3.263076163238e11,3.616234,0.501994,1
BA(k=4),10,2,24,3,0.015171,0.586142,38.63,5.517842,1.447292,1
WS(k=4;b=0.1),10,1,20,1,0.0,0.200135,2.0013512234617e11,2.72851,0.328135,1
WS(k=4;b=0.1),10,1,20,3,0.005613,0.224338,39.96,3.334638,0.601376,1
WS(k=4;b=0.1),10,2,20,1,0.024177,0.329386,13.62,3.676056,0.512358,1
WS(k=4;b=0.1),10,2,20,3,0.001946,0.145971,75.02,2.777184,0.390074,1
WS(k=4;b=0.5),10,1,20,1,0.017011,0.408654,24.02,3.701947,0.618525,1
WS(k=4;b=0.5),10,1,20,3,0.029669,0.42291,14.25,4.762814,1.028849,1
WS(k=4;b=0.5),10,2,20,1,0.022039,0.372299,16.89,3.702093,0.562646,1
WS(k=4;b=0.5),10,2,20,3,0.053498,0.629604,11.77,5.716795,1.453751,1
3-regular,10,1,15,1,0.009998,0.230059,23.01,2.576322,0.372436,1
3-regular,10,1,15,3,0.021196,0.259803,12.26,3.154064,0.673456,1
3-regular,10,2,15,1,0.003989,0.26841,67.29,2.523658,0.431039,1
3-regular,10,2,15,3,0.035331,0.496082,14.04,4.49763,1.212471,1
