family,n,instance,seed,m,method,p,ar,ceil,regret
ER(0.5),14,1,20262107,42,ceiling,1,0.809359194848053,0.809359194848053,0.0
ER(0.5),14,1,20262107,42,binned_exact,1,0.7755941242216371,0.809359194848053,0.03376507062641587
ER(0.5),14,1,20262107,42,binned_sampled,1,0.7755941242216371,0.809359194848053,0.03376507062641587
ER(0.5),14,1,20262107,42,transfer_1,1,0.8002185474902272,0.809359194848053,0.009140647357825715
ER(0.5),14,1,20262107,42,transfer_2,1,0.7920473616999562,0.809359194848053,0.01731183314809681
ER(0.5),14,1,20262107,42,transfer_3,1,0.8002185474902272,0.809359194848053,0.009140647357825715
ER(0.5),14,1,20262107,42,universal,1,0.7920473616999562,0.809359194848053,0.01731183314809681
ER(0.5),14,1,20262107,42,ceiling,3,0.9003987099395357,0.9003987099395357,0.0
ER(0.5),14,1,20262107,42,binned_exact,3,0.819120044726202,0.9003987099395357,0.08127866521333371
ER(0.5),14,1,20262107,42,binned_sampled,3,0.8232592605071838,0.9003987099395357,0.07713944943235196
ER(0.5),14,1,20262107,42,transfer_1,3,0.8863725907830924,0.9003987099395357,0.014026119156443362
ER(0.5),14,1,20262107,42,transfer_2,3,0.8717270425419923,0.9003987099395357,0.028671667397543454
ER(0.5),14,1,20262107,42,transfer_3,3,0.8632397448827641,0.9003987099395357,0.03715896505677163
ER(0.5),14,1,20262107,42,universal,3,0.8261273665825464,0.9003987099395357,0.07427134335698937
ER(0.5),14,2,20262108,44,ceiling,1,0.7671757343307806,0.7671757343307806,0.0
ER(0.5),14,2,20262108,44,binned_exact,1,0.7231773342733829,0.7671757343307806,0.043998400057397635
ER(0.5),14,2,20262108,44,binned_sampled,1,0.7344631088514321,0.7671757343307806,0.0327126254793485
ER(0.5),14,2,20262108,44,transfer_1,1,0.7656330500231417,0.7671757343307806,0.0015426843076388197
ER(0.5),14,2,20262108,44,transfer_2,1,0.7616696956938731,0.7671757343307806,0.005506038636907462
ER(0.5),14,2,20262108,44,transfer_3,1,0.7656330500231417,0.7671757343307806,0.0015426843076388197
ER(0.5),14,2,20262108,44,universal,1,0.7616696956938731,0.7671757343307806,0.005506038636907462
ER(0.5),14,2,20262108,44,ceiling,3,0.8631543169186919,0.8631543169186919,0.0
ER(0.5),14,2,20262108,44,binned_exact,3,0.7673244076820868,0.8631543169186919,0.09582990923660517
ER(0.5),14,2,20262108,44,binned_sampled,3,0.7673244076820868,0.8631543169186919,0.09582990923660517
ER(0.5),14,2,20262108,44,transfer_1,3,0.854447219367882,0.8631543169186919,0.008707097550809895
ER(0.5),14,2,20262108,44,transfer_2,3,0.8473062315673506,0.8631543169186919,0.0158480853513413
ER(0.5),14,2,20262108,44,transfer_3,3,0.8459751484166114,0.8631543169186919,0.017179168502080566
ER(0.5),14,2,20262108,44,universal,3,0.8188392682665334,0.8631543169186919,0.04431504865215852
ER(0.5),14,3,20262109,46,ceiling,1,0.7829355333176409,0.7829355333176409,0.0
ER(0.5),14,3,20262109,46,binned_exact,1,0.7531390261116934,0.7829355333176409,0.02979650720594751
ER(0.5),14,3,20262109,46,binned_sampled,1,0.7461722509788363,0.7829355333176409,0.03676328233880455
ER(0.5),14,3,20262109,46,transfer_1,1,0.7716745633302432,0.7829355333176409,0.011260969987397673
ER(0.5),14,3,20262109,46,transfer_2,1,0.7638403337796484,0.7829355333176409,0.019095199537992436
