family,n,instance,seed,m,law,method,p,ar,ceil,regret
3-regular,14,1,20262109,21,exp,ceiling,1,0.7317711540884974,0.7317711540884974,0.0
3-regular,14,1,20262109,21,exp,binned_exact,1,0.7304023868639182,0.7317711540884974,0.001368767224579126
3-regular,14,1,20262109,21,exp,binned_sampled,1,0.7236028780738509,0.7317711540884974,0.008168276014646425
3-regular,14,1,20262109,21,exp,transfer_1,1,0.7024857846521262,0.7317711540884974,0.029285369436371167
3-regular,14,1,20262109,21,exp,transfer_2,1,0.7013069442860632,0.7317711540884974,0.03046420980243414
3-regular,14,1,20262109,21,exp,transfer_3,1,0.7024857846521262,0.7317711540884974,0.029285369436371167
3-regular,14,1,20262109,21,exp,universal,1,0.7282784879463421,0.7317711540884974,0.003492666142155265
3-regular,14,1,20262109,21,exp,ceiling,3,0.8476721547727003,0.8476721547727003,0.0
3-regular,14,1,20262109,21,exp,binned_exact,3,0.8222284252008272,0.8476721547727003,0.02544372957187313
3-regular,14,1,20262109,21,exp,binned_sampled,3,0.8211541721752688,0.8476721547727003,0.026517982597431544
3-regular,14,1,20262109,21,exp,transfer_1,3,0.8364745636912571,0.8476721547727003,0.011197591081443248
3-regular,14,1,20262109,21,exp,transfer_2,3,0.8476721547727003,0.8476721547727003,0.0
3-regular,14,1,20262109,21,exp,transfer_3,3,0.8476721547727003,0.8476721547727003,0.0
3-regular,14,1,20262109,21,exp,universal,3,0.8317150578866254,0.8476721547727003,0.01595709688607494
3-regular,14,2,20262110,21,exp,ceiling,1,0.7718557208671667,0.7718557208671667,0.0
3-regular,14,2,20262110,21,exp,binned_exact,1,0.7323749593351497,0.7718557208671667,0.03948076153201696
3-regular,14,2,20262110,21,exp,binned_sampled,1,0.7323749593351497,0.7718557208671667,0.03948076153201696
3-regular,14,2,20262110,21,exp,transfer_1,1,0.7629475214612136,0.7718557208671667,0.00890819940595311
3-regular,14,2,20262110,21,exp,transfer_2,1,0.7619748882803834,0.7718557208671667,0.009880832586783295
3-regular,14,2,20262110,21,exp,transfer_3,1,0.7629475214612136,0.7718557208671667,0.00890819940595311
3-regular,14,2,20262110,21,exp,universal,1,0.7389244913144208,0.7718557208671667,0.032931229552745855
3-regular,14,2,20262110,21,exp,ceiling,3,0.8907724390680681,0.8907724390680681,0.0
3-regular,14,2,20262110,21,exp,binned_exact,3,0.8032239104858487,0.8907724390680681,0.0875485285822194
3-regular,14,2,20262110,21,exp,binned_sampled,3,0.7791870528363234,0.8907724390680681,0.11158538623174474
3-regular,14,2,20262110,21,exp,transfer_1,3,0.884310146959143,0.8907724390680681,0.006462292108925127
3-regular,14,2,20262110,21,exp,transfer_2,3,0.8877148818074441,0.8907724390680681,0.0030575572606240664
3-regular,14,2,20262110,21,exp,transfer_3,3,0.8877148818074441,0.8907724390680681,0.0030575572606240664
3-regular,14,2,20262110,21,exp,universal,3,0.8511757212752454,0.8907724390680681,0.0395967177928227
3-regular,14,3,20262111,21,exp,ceiling,1,0.7988524504171283,0.7988524504171283,0.0
3-regular,14,3,20262111,21,exp,binned_exact,1,0.7628193746559119,0.7988524504171283,0.03603307576121639
3-regular,14,3,20262111,21,exp,binned_sampled,1,0.7628193746559119,0.7988524504171283,0.03603307576121639
3-regular,14,3,20262111,21,exp,transfer_1,1,0.7981374367546078,0.7988524504171283,0.0007150136625204695
3-regular,14,3,20262111,21,exp,transfer_2,1,0.7988524504171283,0.7988524504171283,0.0
3-regular,14,3,20262111,21,exp,transfer_3,1,0.7981374367546078,0.7988524504171283,0.0007150136625204695
3-regular,14,3,20262111,21,exp,universal,1,0.7938878031944414,0.7988524504171283,0.004964647222686858
3-regular,14,3,20262111,21,exp,ceiling,3,0.8932809841207034,0.8932809841207034,0.0
3-regular,14,3,20262111,21,exp,binned_exact,3,0.802893229939426,0.8932809841207034,0.09038775418127742
3-regular,14,3,20262111,21,exp,binned_sampled,3,0.802893229939426,0.8932809841207034,0.09038775418127742
3-regular,14,3,20262111,21,exp,transfer_1,3,0.8932455334294569,0.8932809841207034,3.5450691246552424e-5
3-regular,14,3,20262111,21,exp,transfer_2,3,0.8932809841207034,0.8932809841207034,0.0
3-regular,14,3,20262111,21,exp,transfer_3,3,0.8932809841207034,0.8932809841207034,0.0
3-regular,14,3,20262111,21,exp,universal,3,0.8858447954239791,0.8932809841207034,0.007436188696724355
3-regular,14,4,20262112,21,exp,ceiling,1,0.8150814802647921,0.8150814802647921,0.0
3-regular,14,4,20262112,21,exp,binned_exact,1,0.7984235784925177,0.8150814802647921,0.01665790177227444
3-regular,14,4,20262112,21,exp,binned_sampled,1,0.800679056236923,0.8150814802647921,0.014402424027869065
3-regular,14,4,20262112,21,exp,transfer_1,1,0.790399993866409,0.8150814802647921,0.02468148639838308
3-regular,14,4,20262112,21,exp,transfer_2,1,0.8007564540654688,0.8150814802647921,0.014325026199323299
3-regular,14,4,20262112,21,exp,transfer_3,1,0.790399993866409,0.8150814802647921,0.02468148639838308
3-regular,14,4,20262112,21,exp,universal,1,0.8150814802647921,0.8150814802647921,0.0
3-regular,14,4,20262112,21,exp,ceiling,3,0.9028659860719463,0.9028659860719463,0.0
3-regular,14,4,20262112,21,exp,binned_exact,3,0.8257326594958754,0.9028659860719463,0.07713332657607097
3-regular,14,4,20262112,21,exp,binned_sampled,3,0.8267085464748745,0.9028659860719463,0.07615743959707189
3-regular,14,4,20262112,21,exp,transfer_1,3,0.8772713184644364,0.9028659860719463,0.025594667607509947
3-regular,14,4,20262112,21,exp,transfer_2,3,0.8769278031755938,0.9028659860719463,0.025938182896352524
3-regular,14,4,20262112,21,exp,transfer_3,3,0.8769278031755938,0.9028659860719463,0.025938182896352524
3-regular,14,4,20262112,21,exp,universal,3,0.8833126371051732,0.9028659860719463,0.019553348966773187
3-regular,14,5,20262113,21,exp,ceiling,1,0.7769535294115839,0.7769535294115839,0.0
3-regular,14,5,20262113,21,exp,binned_exact,1,0.749130851317824,0.7769535294115839,0.027822678093759934
3-regular,14,5,20262113,21,exp,binned_sampled,1,0.749130851317824,0.7769535294115839,0.027822678093759934
3-regular,14,5,20262113,21,exp,transfer_1,1,0.7711720802334882,0.7769535294115839,0.005781449178095754
3-regular,14,5,20262113,21,exp,transfer_2,1,0.7699379684577864,0.7769535294115839,0.007015560953797517
3-regular,14,5,20262113,21,exp,transfer_3,1,0.7711720802334882,0.7769535294115839,0.005781449178095754
3-regular,14,5,20262113,21,exp,universal,1,0.7755369887743493,0.7769535294115839,0.00141654063723462
3-regular,14,5,20262113,21,exp,ceiling,3,0.8867275162006749,0.8867275162006749,0.0
3-regular,14,5,20262113,21,exp,binned_exact,3,0.7913631266835129,0.8867275162006749,0.09536438951716197
3-regular,14,5,20262113,21,exp,binned_sampled,3,0.7705832102927748,0.8867275162006749,0.11614430590790015
3-regular,14,5,20262113,21,exp,transfer_1,3,0.8760705236224481,0.8867275162006749,0.010656992578226832
3-regular,14,5,20262113,21,exp,transfer_2,3,0.863583988686957,0.8867275162006749,0.023143527513717954
3-regular,14,5,20262113,21,exp,transfer_3,3,0.863583988686957,0.8867275162006749,0.023143527513717954
3-regular,14,5,20262113,21,exp,universal,3,0.8839732438854796,0.8867275162006749,0.0027542723151953163
3-regular,14,6,20262114,21,exp,ceiling,1,0.718209727034824,0.718209727034824,0.0
3-regular,14,6,20262114,21,exp,binned_exact,1,0.6802554574454718,0.718209727034824,0.03795426958935222
3-regular,14,6,20262114,21,exp,binned_sampled,1,0.6777378529583866,0.718209727034824,0.040471874076437375
3-regular,14,6,20262114,21,exp,transfer_1,1,0.718209727034824,0.718209727034824,0.0
3-regular,14,6,20262114,21,exp,transfer_2,1,0.7173705708046189,0.718209727034824,0.0008391562302051403
3-regular,14,6,20262114,21,exp,transfer_3,1,0.718209727034824,0.718209727034824,0.0
3-regular,14,6,20262114,21,exp,universal,1,0.7070575802271846,0.718209727034824,0.01115214680763943
3-regular,14,6,20262114,21,exp,ceiling,3,0.8367815122901257,0.8367815122901257,0.0
3-regular,14,6,20262114,21,exp,binned_exact,3,0.7172396684188456,0.8367815122901257,0.11954184387128008
3-regular,14,6,20262114,21,exp,binned_sampled,3,0.7495012768176087,0.8367815122901257,0.08728023547251695
3-regular,14,6,20262114,21,exp,transfer_1,3,0.8367815122901257,0.8367815122901257,0.0
3-regular,14,6,20262114,21,exp,transfer_2,3,0.8340444237527354,0.8367815122901257,0.0027370885373902976
3-regular,14,6,20262114,21,exp,transfer_3,3,0.8340444237527354,0.8367815122901257,0.0027370885373902976
3-regular,14,6,20262114,21,exp,universal,3,0.8168338837004394,0.8367815122901257,0.01994762858968624
3-regular,14,7,20262115,21,exp,ceiling,1,0.754649103080078,0.754649103080078,0.0
3-regular,14,7,20262115,21,exp,binned_exact,1,0.7488255208430987,0.754649103080078,0.005823582236979319
3-regular,14,7,20262115,21,exp,binned_sampled,1,0.7099850387936328,0.754649103080078,0.044664064286445204
3-regular,14,7,20262115,21,exp,transfer_1,1,0.7323441439810342,0.754649103080078,0.022304959099043842
3-regular,14,7,20262115,21,exp,transfer_2,1,0.7315557602716299,0.754649103080078,0.023093342808448103
3-regular,14,7,20262115,21,exp,transfer_3,1,0.7323441439810342,0.754649103080078,0.022304959099043842
3-regular,14,7,20262115,21,exp,universal,1,0.7537419556325324,0.754649103080078,0.0009071474475456087
3-regular,14,7,20262115,21,exp,ceiling,3,0.8744171758716506,0.8744171758716506,0.0
3-regular,14,7,20262115,21,exp,binned_exact,3,0.7912947313351713,0.8744171758716506,0.08312244453647932
3-regular,14,7,20262115,21,exp,binned_sampled,3,0.7994555804867839,0.8744171758716506,0.07496159538486669
3-regular,14,7,20262115,21,exp,transfer_1,3,0.8664573989909626,0.8744171758716506,0.007959776880687941
3-regular,14,7,20262115,21,exp,transfer_2,3,0.863601882557004,0.8744171758716506,0.01081529331464659
3-regular,14,7,20262115,21,exp,transfer_3,3,0.863601882557004,0.8744171758716506,0.01081529331464659
3-regular,14,7,20262115,21,exp,universal,3,0.8744171758716506,0.8744171758716506,0.0
3-regular,14,8,20262116,21,exp,ceiling,1,0.783798241095434,0.783798241095434,0.0
3-regular,14,8,20262116,21,exp,binned_exact,1,0.7248289576781478,0.783798241095434,0.058969283417286134
3-regular,14,8,20262116,21,exp,binned_sampled,1,0.7427066898222837,0.783798241095434,0.04109155127315023
3-regular,14,8,20262116,21,exp,transfer_1,1,0.783798241095434,0.783798241095434,0.0
3-regular,14,8,20262116,21,exp,transfer_2,1,0.7829645520121976,0.783798241095434,0.0008336890832363331
3-regular,14,8,20262116,21,exp,transfer_3,1,0.783798241095434,0.783798241095434,0.0
3-regular,14,8,20262116,21,exp,universal,1,0.7639810783027701,0.783798241095434,0.019817162792663878
3-regular,14,8,20262116,21,exp,ceiling,3,0.888199700737173,0.888199700737173,0.0
3-regular,14,8,20262116,21,exp,binned_exact,3,0.7661673329488573,0.888199700737173,0.12203236778831572
3-regular,14,8,20262116,21,exp,binned_sampled,3,0.7617884571279252,0.888199700737173,0.12641124360924783
3-regular,14,8,20262116,21,exp,transfer_1,3,0.8881937779412803,0.888199700737173,5.922795892732147e-6
3-regular,14,8,20262116,21,exp,transfer_2,3,0.8853642670439148,0.888199700737173,0.002835433693258227
3-regular,14,8,20262116,21,exp,transfer_3,3,0.8853642670439148,0.888199700737173,0.002835433693258227
3-regular,14,8,20262116,21,exp,universal,3,0.8707477632581948,0.888199700737173,0.01745193747897822
3-regular,14,9,20262117,21,exp,ceiling,1,0.8169490778902582,0.8169490778902582,0.0
3-regular,14,9,20262117,21,exp,binned_exact,1,0.7774869499344677,0.8169490778902582,0.039462127955790516
3-regular,14,9,20262117,21,exp,binned_sampled,1,0.7845242446962304,0.8169490778902582,0.03242483319402778
3-regular,14,9,20262117,21,exp,transfer_1,1,0.8100117274572779,0.8169490778902582,0.0069373504329802715
3-regular,14,9,20262117,21,exp,transfer_2,1,0.8098517242015151,0.8169490778902582,0.007097353688743091
