family,n,inst,m,p,regret,e_star,e_hat,delta_e,margin,cancel_factor
ER(0.5),12,1,38,1,0.027598,-0.017043,-0.06164,0.044597,0.016999,0.566799
ER(0.5),12,1,38,3,0.029402,-0.01282,-0.073014,0.060195,0.030792,0.701294
ER(0.5),12,2,37,1,0.021868,-0.021619,-0.067787,0.046168,0.0243,0.516384
ER(0.5),12,2,37,3,0.025315,-0.013542,-0.06196,0.048419,0.023104,0.641288
ER(0.5),12,3,35,1,0.026456,-0.024684,-0.06735,0.042666,0.01621,0.463592
ER(0.5),12,3,35,3,0.043432,-0.032825,-0.098365,0.06554,0.022108,0.499584
ER(0.5),12,4,37,1,0.01161,-0.015404,-0.035138,0.019733,0.008124,0.390441
ER(0.5),12,4,37,3,0.018577,-0.015236,-0.045851,0.030615,0.012038,0.50117
ER(0.5),12,5,43,1,0.004257,-0.012541,-0.021621,0.009079,0.004823,0.265775
ER(0.5),12,5,43,3,0.024356,-0.007681,-0.059016,0.051335,0.026978,0.769681
ER(0.5),12,6,38,1,0.02612,-0.016863,-0.059795,0.042932,0.016812,0.560052
ER(0.5),12,6,38,3,0.047839,-0.026356,-0.100887,0.07453,0.026691,0.585733
ER(0.5),12,7,33,1,0.02154,-0.02128,-0.058741,0.037461,0.015921,0.468139
ER(0.5),12,7,33,3,0.022452,-0.019922,-0.058382,0.03846,0.016008,0.491156
ER(0.5),12,8,27,1,0.036839,-0.022726,-0.082731,0.060006,0.023166,0.569005
ER(0.5),12,8,27,3,0.022632,-0.012971,-0.05355,0.040579,0.017948,0.610023
ER(0.5),12,9,20,1,0.069087,-0.036845,-0.148229,0.111384,0.042297,0.601835
ER(0.5),12,9,20,3,0.043094,-0.027265,-0.088405,0.061141,0.018047,0.528578
ER(0.5),12,10,41,1,0.015064,-0.013058,-0.040038,0.02698,0.011916,0.50814
ER(0.5),12,10,41,3,0.036327,-0.00668,-0.070085,0.063405,0.027078,0.82596
ER(0.5),14,1,43,1,0.041126,-0.018338,-0.087941,0.069603,0.028477,0.654908
ER(0.5),14,1,43,3,0.042299,-0.013349,-0.083425,0.070075,0.027777,0.724116
ER(0.5),14,2,50,1,0.01745,-0.014226,-0.040827,0.026601,0.009151,0.483185
ER(0.5),14,2,50,3,0.068354,-0.012686,-0.121077,0.10839,0.040036,0.810314
ER(0.5),14,3,47,1,0.038309,-0.01981,-0.082721,0.062911,0.024602,0.613581
ER(0.5),14,3,47,3,0.092985,-0.016756,-0.154365,0.137609,0.044625,0.804161
ER(0.5),14,4,42,1,0.039903,-0.026796,-0.086198,0.059402,0.019499,0.525707
ER(0.5),14,4,42,3,0.060034,-0.016325,-0.128265,0.11194,0.051907,0.774194
ER(0.5),14,5,40,1,0.033651,-0.024296,-0.089206,0.06491,0.031259,0.571886
ER(0.5),14,5,40,3,0.033171,-0.006341,-0.057824,0.051483,0.018313,0.802362
ER(0.5),14,6,52,1,0.016093,-0.016792,-0.048739,0.031947,0.015853,0.487505
ER(0.5),14,6,52,3,0.044289,-0.019658,-0.077653,0.057995,0.013706,0.595972
ER(0.5),14,7,50,1,0.030794,-0.021628,-0.067848,0.04622,0.015426,0.516561
ER(0.5),14,7,50,3,0.031298,-0.011758,-0.062077,0.050319,0.019021,0.681503
ER(0.5),14,8,49,1,0.028075,-0.020383,-0.070515,0.050132,0.022057,0.551516
ER(0.5),14,8,49,3,0.071077,-0.015435,-0.125272,0.109837,0.03876,0.780614
ER(0.5),14,9,35,1,0.053955,-0.030495,-0.115432,0.084936,0.030981,0.582049
ER(0.5),14,9,35,3,0.02178,-0.018274,-0.059231,0.040957,0.019177,0.528439
ER(0.5),14,10,45,1,0.017641,-0.018837,-0.047068,0.028231,0.01059,0.428362
ER(0.5),14,10,45,3,0.03589,-0.020056,-0.082785,0.062729,0.026839,0.609967
ER(0.25),12,1,15,1,0.062813,-0.028781,-0.127803,0.099022,0.03621,0.63239
ER(0.25),12,1,15,3,0.03499,-0.032624,-0.115666,0.083042,0.048051,0.559995
ER(0.25),12,2,17,1,0.119521,-0.032691,-0.204351,0.171659,0.052139,0.724173
ER(0.25),12,2,17,3,0.057341,-0.027548,-0.116774,0.089226,0.031885,0.618247
ER(0.25),12,3,15,1,0.083595,-0.043466,-0.178277,0.134811,0.051216,0.607959
ER(0.25),12,3,15,3,0.053773,-0.029648,-0.133063,0.103415,0.049641,0.635574
ER(0.25),12,4,9,1,0.060661,-0.045493,-0.142847,0.097354,0.036693,0.516907
ER(0.25),12,4,9,3,0.021567,-0.048187,-0.093922,0.045734,0.024167,0.321825
ER(0.25),12,5,11,1,0.061494,-0.040152,-0.133463,0.09331,0.031816,0.537456
ER(0.25),12,5,11,3,0.013204,-0.017918,-0.053022,0.035103,0.021899,0.494829
ER(0.25),12,6,19,1,0.064236,-0.035254,-0.132091,0.096837,0.032601,0.578667
ER(0.25),12,6,19,3,0.067386,-0.021726,-0.142914,0.121189,0.053803,0.736082
ER(0.25),12,7,14,1,0.02601,-0.025061,-0.07118,0.046119,0.020109,0.479197
ER(0.25),12,7,14,3,0.051133,-0.016491,-0.121112,0.104621,0.053489,0.760314
ER(0.25),12,8,20,1,0.067605,-0.035271,-0.137893,0.102623,0.035018,0.592634
ER(0.25),12,8,20,3,0.039068,-0.02748,-0.097421,0.06994,0.030873,0.559967
ER(0.25),12,9,18,1,0.059062,-0.031402,-0.136311,0.104909,0.045847,0.625529
ER(0.25),12,9,18,3,0.08981,-0.041328,-0.188257,0.14693,0.057119,0.639979
ER(0.25),12,10,11,1,0.077555,-0.028506,-0.139918,0.111413,0.033858,0.661499
