family,n,inst,m,p,regret,e_star,e_hat,delta_e,margin,cancel_factor
ER(0.5),10,1,25,1,0.003895,-0.012333,-0.03865,0.026317,0.022422,0.516188
ER(0.5),10,1,25,3,0.018491,-0.040794,-0.06602,0.025226,0.006735,0.236172
ER(0.5),10,2,23,1,0.00688,-0.01097,-0.033747,0.022778,0.015897,0.50937
ER(0.5),10,2,23,3,0.0,-0.043689,-0.043689,0.0,0.0,0.0
ER(0.25),10,1,10,1,0.079887,-0.03103,-0.135967,0.104937,0.02505,0.628374
ER(0.25),10,1,10,3,0.019462,0.001685,-0.081773,0.083458,0.063996,1.0
ER(0.25),10,2,9,1,0.075394,-0.036593,-0.147798,0.111205,0.035812,0.603095
ER(0.25),10,2,9,3,0.03886,0.016627,-0.111629,0.128256,0.089396,1.0
BA(k=2),10,1,16,1,0.018525,-0.018348,-0.056869,0.038521,0.019995,0.51213
BA(k=2),10,1,16,3,0.048858,-0.053873,-0.135816,0.081944,0.033086,0.431989
BA(k=2),10,2,16,1,0.10226,-0.024489,-0.152452,0.127963,0.025703,0.723194
BA(k=2),10,2,16,3,0.0,-0.025869,-0.025869,0.0,0.0,0.0
BA(k=4),10,1,24,1,0.005485,-0.009992,-0.030948,0.020956,0.01547,0.511862
BA(k=4),10,1,24,3,0.011584,-0.034947,-0.064457,0.02951,0.017926,0.296871
BA(k=4),10,2,24,1,0.0,-0.036584,-0.036584,0.0,0.0,0.0
BA(k=4),10,2,24,3,0.015171,-0.03704,-0.055934,0.018894,0.003723,0.203221
WS(k=4;b=0.1),10,1,20,1,0.0,-0.021625,-0.021625,0.0,0.0,0.0
WS(k=4;b=0.1),10,1,20,3,0.005613,0.00012,-0.024547,0.024667,0.019054,1.0
WS(k=4;b=0.1),10,2,20,1,0.024177,-0.026896,-0.051977,0.025081,0.000904,0.317987
WS(k=4;b=0.1),10,2,20,3,0.001946,-0.011285,-0.024625,0.013341,0.011395,0.371511
WS(k=4;b=0.5),10,1,20,1,0.017011,-0.032106,-0.059211,0.027105,0.010094,0.296828
WS(k=4;b=0.5),10,1,20,3,0.029669,-0.047905,-0.091044,0.04314,0.013471,0.31047
WS(k=4;b=0.5),10,2,20,1,0.022039,-0.028756,-0.05769,0.028934,0.006895,0.334702
WS(k=4;b=0.5),10,2,20,3,0.053498,-0.036674,-0.119294,0.08262,0.029123,0.529724
3-regular,10,1,15,1,0.009998,-0.016898,-0.042732,0.025834,0.015836,0.433238
3-regular,10,1,15,3,0.021196,0.015253,-0.050155,0.065408,0.044212,1.0
3-regular,10,2,15,1,0.003989,-0.017317,-0.043306,0.025989,0.022001,0.428706
3-regular,10,2,15,3,0.035331,-0.018003,-0.094735,0.076732,0.041401,0.680626
