family,n,inst,p,is_probe,ceiling,regret_normalized,regret_corrected
ER(0.5),10,1,1,1,0.824879,0.003895,0.030503
ER(0.5),10,1,3,1,0.92244,0.018491,0.018491
ER(0.5),10,2,1,0,0.848965,0.00688,0.00688
ER(0.5),10,2,3,0,0.916175,0.0,0.018008
ER(0.25),10,1,1,1,0.778672,0.079887,0.112696
ER(0.25),10,1,3,1,0.868943,0.019462,0.05281
ER(0.25),10,2,1,0,0.743534,0.075394,0.075394
ER(0.25),10,2,3,0,0.820896,0.03886,0.03886
BA(k=2),10,1,1,1,0.768837,0.018525,0.037778
BA(k=2),10,1,3,1,0.878841,0.048858,0.048858
BA(k=2),10,2,1,0,0.863715,0.10226,0.10226
BA(k=2),10,2,3,0,0.932859,0.0,0.02628
BA(k=4),10,1,1,1,0.784169,0.005485,0.028784
BA(k=4),10,1,3,1,0.874302,0.011584,0.035354
BA(k=4),10,2,1,0,0.760346,0.0,0.023225
BA(k=4),10,2,3,0,0.860655,0.015171,0.015171
WS(k=4;b=0.1),10,1,1,1,0.821642,0.0,0.023702
WS(k=4;b=0.1),10,1,3,1,0.871996,0.005613,0.033425
WS(k=4;b=0.1),10,2,1,0,0.886197,0.024177,0.024177
WS(k=4;b=0.1),10,2,3,0,0.944976,0.001946,0.035965
WS(k=4;b=0.5),10,1,1,1,0.776434,0.017011,0.076721
WS(k=4;b=0.5),10,1,3,1,0.88418,0.029669,0.029669
WS(k=4;b=0.5),10,2,1,0,0.780224,0.022039,0.022039
WS(k=4;b=0.5),10,2,3,0,0.880692,0.053498,0.053498
3-regular,10,1,1,1,0.817079,0.009998,0.009998
3-regular,10,1,3,1,0.890044,0.021196,0.052655
3-regular,10,2,1,0,0.772105,0.003989,0.079008
3-regular,10,2,3,0,0.887694,0.035331,0.09438
