family,n,instance,seed,m,law,method,p,ar,ceil,regret
3-regular,16,1,20262311,24,a1.2,ceiling,1,0.7825688926253836,0.7825688926253836,0.0
3-regular,16,1,20262311,24,a1.2,binned_exact,1,0.7794832528029,0.7825688926253836,0.0030856398224836656
3-regular,16,1,20262311,24,a1.2,binned_sampled,1,0.7794832528029,0.7825688926253836,0.0030856398224836656
3-regular,16,1,20262311,24,a1.2,transfer_1,1,0.7825688926253836,0.7825688926253836,0.0
3-regular,16,1,20262311,24,a1.2,transfer_2,1,0.5300789212229511,0.7825688926253836,0.25248997140243257
3-regular,16,1,20262311,24,a1.2,transfer_3,1,0.5295516717849236,0.7825688926253836,0.2530172208404601
3-regular,16,1,20262311,24,a1.2,universal,1,0.7794832528029,0.7825688926253836,0.0030856398224836656
3-regular,16,1,20262311,24,a1.2,ceiling,3,0.8509554326419538,0.8509554326419538,0.0
3-regular,16,1,20262311,24,a1.2,binned_exact,3,0.8178426166808034,0.8509554326419538,0.033112815961150455
3-regular,16,1,20262311,24,a1.2,binned_sampled,3,0.8162736275968905,0.8509554326419538,0.03468180504506335
3-regular,16,1,20262311,24,a1.2,transfer_1,3,0.5958334543941053,0.8509554326419538,0.25512197824784855
3-regular,16,1,20262311,24,a1.2,transfer_2,3,0.7857451448059902,0.8509554326419538,0.06521028783596361
3-regular,16,1,20262311,24,a1.2,transfer_3,3,0.7920898189944762,0.8509554326419538,0.058865613647477666
3-regular,16,1,20262311,24,a1.2,universal,3,0.8154533527195901,0.8509554326419538,0.03550207992236376
3-regular,16,2,20262312,24,a1.2,ceiling,1,0.7735074664521098,0.7735074664521098,0.0
3-regular,16,2,20262312,24,a1.2,binned_exact,1,0.7725643336061203,0.7735074664521098,0.0009431328459894583
3-regular,16,2,20262312,24,a1.2,binned_sampled,1,0.7652804716304287,0.7735074664521098,0.0082269948216811
3-regular,16,2,20262312,24,a1.2,transfer_1,1,0.7735074664521098,0.7735074664521098,0.0
3-regular,16,2,20262312,24,a1.2,transfer_2,1,0.6769474313818998,0.7735074664521098,0.09656003507020994
3-regular,16,2,20262312,24,a1.2,transfer_3,1,0.6772224518600102,0.7735074664521098,0.0962850145920996
3-regular,16,2,20262312,24,a1.2,universal,1,0.7354087601898608,0.7735074664521098,0.03809870626224898
3-regular,16,2,20262312,24,a1.2,ceiling,3,0.8574169741575627,0.8574169741575627,0.0
3-regular,16,2,20262312,24,a1.2,binned_exact,3,0.8118465132762657,0.8574169741575627,0.045570460881297015
3-regular,16,2,20262312,24,a1.2,binned_sampled,3,0.8118465132762657,0.8574169741575627,0.045570460881297015
3-regular,16,2,20262312,24,a1.2,transfer_1,3,0.6851803880895178,0.8574169741575627,0.17223658606804493
3-regular,16,2,20262312,24,a1.2,transfer_2,3,0.8051333613196939,0.8574169741575627,0.052283612837868754
3-regular,16,2,20262312,24,a1.2,transfer_3,3,0.8355084510860048,0.8574169741575627,0.021908523071557884
3-regular,16,2,20262312,24,a1.2,universal,3,0.8465137864354176,0.8574169741575627,0.010903187722145047
3-regular,16,3,20262313,24,a1.2,ceiling,1,0.7918200278346363,0.7918200278346363,0.0
3-regular,16,3,20262313,24,a1.2,binned_exact,1,0.7908160150865081,0.7918200278346363,0.0010040127481282246
3-regular,16,3,20262313,24,a1.2,binned_sampled,1,0.7908160150865081,0.7918200278346363,0.0010040127481282246
3-regular,16,3,20262313,24,a1.2,transfer_1,1,0.6840320558010337,0.7918200278346363,0.10778797203360269
3-regular,16,3,20262313,24,a1.2,transfer_2,1,0.4507146794134817,0.7918200278346363,0.34110534842115464
3-regular,16,3,20262313,24,a1.2,transfer_3,1,0.4483381593794863,0.7918200278346363,0.34348186845515005
3-regular,16,3,20262313,24,a1.2,universal,1,0.7918200278346363,0.7918200278346363,0.0
3-regular,16,3,20262313,24,a1.2,ceiling,3,0.8558941729171018,0.8558941729171018,0.0
3-regular,16,3,20262313,24,a1.2,binned_exact,3,0.7887579673619557,0.8558941729171018,0.0671362055551461
3-regular,16,3,20262313,24,a1.2,binned_sampled,3,0.7887579673619557,0.8558941729171018,0.0671362055551461
3-regular,16,3,20262313,24,a1.2,transfer_1,3,0.6073182010747166,0.8558941729171018,0.24857597184238522
3-regular,16,3,20262313,24,a1.2,transfer_2,3,0.5439335792220542,0.8558941729171018,0.3119605936950476
3-regular,16,3,20262313,24,a1.2,transfer_3,3,0.7345261133528335,0.8558941729171018,0.12136805956426833
3-regular,16,3,20262313,24,a1.2,universal,3,0.7844831201862807,0.8558941729171018,0.07141105273082105
3-regular,16,4,20262314,24,a1.2,ceiling,1,0.7833816586834063,0.7833816586834063,0.0
3-regular,16,4,20262314,24,a1.2,binned_exact,1,0.7382236470326641,0.7833816586834063,0.04515801165074218
3-regular,16,4,20262314,24,a1.2,binned_sampled,1,0.7382236470326641,0.7833816586834063,0.04515801165074218
3-regular,16,4,20262314,24,a1.2,transfer_1,1,0.7390692570432956,0.7833816586834063,0.04431240164011063
3-regular,16,4,20262314,24,a1.2,transfer_2,1,0.7788642180646641,0.7833816586834063,0.004517440618742152
3-regular,16,4,20262314,24,a1.2,transfer_3,1,0.7798465735786285,0.7833816586834063,0.0035350851047777354
3-regular,16,4,20262314,24,a1.2,universal,1,0.6909008087965706,0.7833816586834063,0.09248084988683569
3-regular,16,4,20262314,24,a1.2,ceiling,3,0.8810584578264331,0.8810584578264331,0.0
3-regular,16,4,20262314,24,a1.2,binned_exact,3,0.7718790163130852,0.8810584578264331,0.10917944151334791
3-regular,16,4,20262314,24,a1.2,binned_sampled,3,0.7718790163130852,0.8810584578264331,0.10917944151334791
3-regular,16,4,20262314,24,a1.2,transfer_1,3,0.6569659445769546,0.8810584578264331,0.22409251324947854
3-regular,16,4,20262314,24,a1.2,transfer_2,3,0.8700705690071123,0.8810584578264331,0.010987888819320779
3-regular,16,4,20262314,24,a1.2,transfer_3,3,0.8777913370172832,0.8810584578264331,0.003267120809149926
3-regular,16,4,20262314,24,a1.2,universal,3,0.8281205880222766,0.8810584578264331,0.05293786980415649
3-regular,16,5,20262315,24,a1.2,ceiling,1,0.8456724547881699,0.8456724547881699,0.0
3-regular,16,5,20262315,24,a1.2,binned_exact,1,0.7874389331283511,0.8456724547881699,0.058233521659818765
3-regular,16,5,20262315,24,a1.2,binned_sampled,1,0.7874389331283511,0.8456724547881699,0.058233521659818765
3-regular,16,5,20262315,24,a1.2,transfer_1,1,0.7141424721831576,0.8456724547881699,0.13152998260501225
3-regular,16,5,20262315,24,a1.2,transfer_2,1,0.4172995008884669,0.8456724547881699,0.428372953899703
3-regular,16,5,20262315,24,a1.2,transfer_3,1,0.4165962456104396,0.8456724547881699,0.42907620917773026
3-regular,16,5,20262315,24,a1.2,universal,1,0.7874389331283511,0.8456724547881699,0.058233521659818765
3-regular,16,5,20262315,24,a1.2,ceiling,3,0.8865932372682545,0.8865932372682545,0.0
3-regular,16,5,20262315,24,a1.2,binned_exact,3,0.8124201784595687,0.8865932372682545,0.07417305880868574
3-regular,16,5,20262315,24,a1.2,binned_sampled,3,0.80954946887343,0.8865932372682545,0.07704376839482441
3-regular,16,5,20262315,24,a1.2,transfer_1,3,0.689728077964731,0.8865932372682545,0.19686515930352344
3-regular,16,5,20262315,24,a1.2,transfer_2,3,0.6112642654683739,0.8865932372682545,0.2753289717998806
3-regular,16,5,20262315,24,a1.2,transfer_3,3,0.7676300920636908,0.8865932372682545,0.11896314520456364
3-regular,16,5,20262315,24,a1.2,universal,3,0.770138678130614,0.8865932372682545,0.11645455913764047
3-regular,16,6,20262316,24,a1.2,ceiling,1,0.7813542935285059,0.7813542935285059,0.0
3-regular,16,6,20262316,24,a1.2,binned_exact,1,0.7304383462879023,0.7813542935285059,0.050915947240603665
3-regular,16,6,20262316,24,a1.2,binned_sampled,1,0.7304383462879023,0.7813542935285059,0.050915947240603665
3-regular,16,6,20262316,24,a1.2,transfer_1,1,0.7318309706147267,0.7813542935285059,0.049523322913779255
3-regular,16,6,20262316,24,a1.2,transfer_2,1,0.7705134037613,0.7813542935285059,0.010840889767205986
3-regular,16,6,20262316,24,a1.2,transfer_3,1,0.7721676267818167,0.7813542935285059,0.00918666674668922
3-regular,16,6,20262316,24,a1.2,universal,1,0.6740235674097471,0.7813542935285059,0.10733072611875882
3-regular,16,6,20262316,24,a1.2,ceiling,3,0.8685638910245121,0.8685638910245121,0.0
3-regular,16,6,20262316,24,a1.2,binned_exact,3,0.7667688198825157,0.8685638910245121,0.10179507114199648
3-regular,16,6,20262316,24,a1.2,binned_sampled,3,0.789005662059179,0.8685638910245121,0.07955822896533316
3-regular,16,6,20262316,24,a1.2,transfer_1,3,0.5919713828121232,0.8685638910245121,0.2765925082123889
3-regular,16,6,20262316,24,a1.2,transfer_2,3,0.8411437947573136,0.8685638910245121,0.027420096267198546
3-regular,16,6,20262316,24,a1.2,transfer_3,3,0.8674928391276182,0.8685638910245121,0.0010710518968939375
3-regular,16,6,20262316,24,a1.2,universal,3,0.822611242885842,0.8685638910245121,0.04595264813867017
3-regular,16,7,20262317,24,a1.2,ceiling,1,0.7885603614878236,0.7885603614878236,0.0
3-regular,16,7,20262317,24,a1.2,binned_exact,1,0.7817637551423267,0.7885603614878236,0.006796606345496947
3-regular,16,7,20262317,24,a1.2,binned_sampled,1,0.7833612946215343,0.7885603614878236,0.005199066866289348
3-regular,16,7,20262317,24,a1.2,transfer_1,1,0.7833612946215343,0.7885603614878236,0.005199066866289348
3-regular,16,7,20262317,24,a1.2,transfer_2,1,0.6969228590689309,0.7885603614878236,0.09163750241889268
3-regular,16,7,20262317,24,a1.2,transfer_3,1,0.6979665810620567,0.7885603614878236,0.09059378042576693
3-regular,16,7,20262317,24,a1.2,universal,1,0.73405129213276,0.7885603614878236,0.05450906935506361
3-regular,16,7,20262317,24,a1.2,ceiling,3,0.8664901090362929,0.8664901090362929,0.0
3-regular,16,7,20262317,24,a1.2,binned_exact,3,0.8058906514154457,0.8664901090362929,0.060599457620847175
3-regular,16,7,20262317,24,a1.2,binned_sampled,3,0.8058906514154457,0.8664901090362929,0.060599457620847175
3-regular,16,7,20262317,24,a1.2,transfer_1,3,0.76317468055723,0.8664901090362929,0.10331542847906283
3-regular,16,7,20262317,24,a1.2,transfer_2,3,0.831787697722297,0.8664901090362929,0.03470241131399587
3-regular,16,7,20262317,24,a1.2,transfer_3,3,0.8273677415054846,0.8664901090362929,0.03912236753080822
3-regular,16,7,20262317,24,a1.2,universal,3,0.8374678720361163,0.8664901090362929,0.029022237000176587
3-regular,16,8,20262318,24,a1.2,ceiling,1,0.8497471239940257,0.8497471239940257,0.0
3-regular,16,8,20262318,24,a1.2,binned_exact,1,0.837251138573704,0.8497471239940257,0.012495985420321709
3-regular,16,8,20262318,24,a1.2,binned_sampled,1,0.8497471239940257,0.8497471239940257,0.0
3-regular,16,8,20262318,24,a1.2,transfer_1,1,0.8497471239940257,0.8497471239940257,0.0
3-regular,16,8,20262318,24,a1.2,transfer_2,1,0.4262260969486892,0.8497471239940257,0.42352102704533656
3-regular,16,8,20262318,24,a1.2,transfer_3,1,0.42559744125898374,0.8497471239940257,0.424149682735042
3-regular,16,8,20262318,24,a1.2,universal,1,0.837251138573704,0.8497471239940257,0.012495985420321709
3-regular,16,8,20262318,24,a1.2,ceiling,3,0.8695513636704589,0.8695513636704589,0.0
3-regular,16,8,20262318,24,a1.2,binned_exact,3,0.8664869744231315,0.8695513636704589,0.003064389247327437
3-regular,16,8,20262318,24,a1.2,binned_sampled,3,0.8664869744231315,0.8695513636704589,0.003064389247327437
3-regular,16,8,20262318,24,a1.2,transfer_1,3,0.8452311755406912,0.8695513636704589,0.024320188129767772
3-regular,16,8,20262318,24,a1.2,transfer_2,3,0.7510868337783897,0.8695513636704589,0.11846452989206924
3-regular,16,8,20262318,24,a1.2,transfer_3,3,0.7317520733663286,0.8695513636704589,0.1377992903041303
3-regular,16,8,20262318,24,a1.2,universal,3,0.8237827475276166,0.8695513636704589,0.04576861614284233
3-regular,16,9,20262319,24,a1.2,ceiling,1,0.8210656112592624,0.8210656112592624,0.0
3-regular,16,9,20262319,24,a1.2,binned_exact,1,0.8210656112592624,0.8210656112592624,0.0
3-regular,16,9,20262319,24,a1.2,binned_sampled,1,0.8210656112592624,0.8210656112592624,0.0
3-regular,16,9,20262319,24,a1.2,transfer_1,1,0.8081360337832573,0.8210656112592624,0.012929577476005094
3-regular,16,9,20262319,24,a1.2,transfer_2,1,0.4940735548432302,0.8210656112592624,0.3269920564160322
3-regular,16,9,20262319,24,a1.2,transfer_3,1,0.49349897362321454,0.8210656112592624,0.3275666376360478
3-regular,16,9,20262319,24,a1.2,universal,1,0.8210656112592624,0.8210656112592624,0.0
3-regular,16,9,20262319,24,a1.2,ceiling,3,0.8831491653489597,0.8831491653489597,0.0
3-regular,16,9,20262319,24,a1.2,binned_exact,3,0.8570415748376852,0.8831491653489597,0.026107590511274537
3-regular,16,9,20262319,24,a1.2,binned_sampled,3,0.851370825680897,0.8831491653489597,0.03177833966806276
