family,n,instance,seed,m,alpha,method,ar,ceil,regret
ER(0.5),26,1,20563313,150,3.0,ceiling,0.8204970637937851,0.8204970637937851,0.0
ER(0.5),26,1,20563313,150,3.0,binned_sampled,0.7762181836785756,0.8204970637937851,0.04427888011520942
ER(0.5),26,1,20563313,150,3.0,transfer_1,0.7967430802189148,0.8204970637937851,0.02375398357487024
ER(0.5),26,1,20563313,150,3.0,transfer_2,0.774602813217936,0.8204970637937851,0.04589425057584906
ER(0.5),26,1,20563313,150,3.0,transfer_3,0.774602813217936,0.8204970637937851,0.04589425057584906
ER(0.5),26,1,20563313,150,3.0,universal,0.774602813217936,0.8204970637937851,0.04589425057584906
ER(0.5),26,2,20563314,166,3.0,ceiling,0.8307994690168322,0.8307994690168322,0.0
ER(0.5),26,2,20563314,166,3.0,binned_sampled,0.7949248731562087,0.8307994690168322,0.03587459586062347
ER(0.5),26,2,20563314,166,3.0,transfer_1,0.8120959805306364,0.8307994690168322,0.01870348848619585
ER(0.5),26,2,20563314,166,3.0,transfer_2,0.7924966559771807,0.8307994690168322,0.03830281303965155
ER(0.5),26,2,20563314,166,3.0,transfer_3,0.7924966559771807,0.8307994690168322,0.03830281303965155
ER(0.5),26,2,20563314,166,3.0,universal,0.7924966559771807,0.8307994690168322,0.03830281303965155
ER(0.5),26,3,20563315,181,3.0,ceiling,0.8442482679143741,0.8442482679143741,0.0
ER(0.5),26,3,20563315,181,3.0,binned_sampled,0.786904681313911,0.8442482679143741,0.057343586600463126
ER(0.5),26,3,20563315,181,3.0,transfer_1,0.8119214527761396,0.8442482679143741,0.032326815138234544
ER(0.5),26,3,20563315,181,3.0,transfer_2,0.7896366122754177,0.8442482679143741,0.054611655638956424
ER(0.5),26,3,20563315,181,3.0,transfer_3,0.7896366122754177,0.8442482679143741,0.054611655638956424
ER(0.5),26,3,20563315,181,3.0,universal,0.7896366122754177,0.8442482679143741,0.054611655638956424
ER(0.5),26,4,20563316,171,3.0,ceiling,0.830039623014854,0.830039623014854,0.0
ER(0.5),26,4,20563316,171,3.0,binned_sampled,0.7978179098195626,0.830039623014854,0.032221713195291435
ER(0.5),26,4,20563316,171,3.0,transfer_1,0.8043056487947179,0.830039623014854,0.025733974220136124
ER(0.5),26,4,20563316,171,3.0,transfer_2,0.7838435614601381,0.830039623014854,0.046196061554715895
ER(0.5),26,4,20563316,171,3.0,transfer_3,0.7838435614601381,0.830039623014854,0.046196061554715895
ER(0.5),26,4,20563316,171,3.0,universal,0.7838435614601381,0.830039623014854,0.046196061554715895
ER(0.5),26,5,20563317,156,3.0,ceiling,0.8124579489719969,0.8124579489719969,0.0
ER(0.5),26,5,20563317,156,3.0,binned_sampled,0.7668216333984728,0.8124579489719969,0.0456363155735241
ER(0.5),26,5,20563317,156,3.0,transfer_1,0.793817743878601,0.8124579489719969,0.018640205093395812
ER(0.5),26,5,20563317,156,3.0,transfer_2,0.7744934801786917,0.8124579489719969,0.03796446879330517
ER(0.5),26,5,20563317,156,3.0,transfer_3,0.7744934801786917,0.8124579489719969,0.03796446879330517
ER(0.5),26,5,20563317,156,3.0,universal,0.7744934801786917,0.8124579489719969,0.03796446879330517
