family,n,inst,m,p,ceiling,regret_norm,regret_raw,argmax_disp,fidelity_deficit,e_star,e_hat,margin
ER(0.5),10,1,25,1,0.824879,0.003895,0.036911,0.078567,0.316601,-0.012333,-0.03865,0.022422
ER(0.5),10,1,25,3,0.92244,0.018491,0.095989,0.166667,0.598861,-0.040794,-0.06602,0.006735
ER(0.25),10,1,10,1,0.778672,0.079887,0.014499,0.175682,0.628533,-0.03103,-0.135967,0.02505
ER(0.25),10,1,10,3,0.868943,0.019462,0.040823,0.235702,0.474911,0.001685,-0.081773,0.063996
BA(k=2),10,1,16,1,0.768837,0.018525,0.014151,0.157135,0.469377,-0.018348,-0.056869,0.019995
BA(k=2),10,1,16,3,0.878841,0.048858,0.068436,0.333333,0.686451,-0.053873,-0.135816,0.033086
BA(k=4),10,1,24,1,0.784169,0.005485,0.030486,0.078567,0.304221,-0.009992,-0.030948,0.01547
BA(k=4),10,1,24,3,0.874302,0.011584,0.085384,0.166667,0.549966,-0.034947,-0.064457,0.017926
WS(k=4;b=0.1),10,1,20,1,0.821642,0.0,0.006551,0.0,0.175895,-0.021625,-0.021625,0.0
WS(k=4;b=0.1),10,1,20,3,0.871996,0.005613,0.027804,0.235702,0.252148,0.00012,-0.024547,0.019054
WS(k=4;b=0.5),10,1,20,1,0.776434,0.017011,0.010133,0.078567,0.409474,-0.032106,-0.059211,0.010094
WS(k=4;b=0.5),10,1,20,3,0.88418,0.029669,0.060252,0.166667,0.542414,-0.047905,-0.091044,0.013471
3-regular,10,1,15,1,0.817079,0.009998,0.027529,0.078567,0.255346,-0.016898,-0.042732,0.015836
3-regular,10,1,15,3,0.890044,0.021196,0.060921,0.372678,0.344201,0.015253,-0.050155,0.044212
