family,n,instance,seed,m,law,method,p,ar,ceil,regret
3-regular,16,1,20262315,24,s2.5,ceiling,1,0.9391932678166329,0.9391932678166329,0.0
3-regular,16,1,20262315,24,s2.5,binned_exact,1,0.9391932678166329,0.9391932678166329,0.0
3-regular,16,1,20262315,24,s2.5,binned_sampled,1,0.9391932678166329,0.9391932678166329,0.0
3-regular,16,1,20262315,24,s2.5,transfer_1,1,0.28300762310483923,0.9391932678166329,0.6561856447117937
3-regular,16,1,20262315,24,s2.5,transfer_2,1,0.7847394672656814,0.9391932678166329,0.15445380055095148
3-regular,16,1,20262315,24,s2.5,transfer_3,1,0.9391932678166329,0.9391932678166329,0.0
3-regular,16,1,20262315,24,s2.5,universal,1,0.7490195402497692,0.9391932678166329,0.19017372756686368
3-regular,16,1,20262315,24,s2.5,ceiling,3,0.9368918931347568,0.9368918931347568,0.0
3-regular,16,1,20262315,24,s2.5,binned_exact,3,0.9118534951595,0.9368918931347568,0.025038397975256865
3-regular,16,1,20262315,24,s2.5,binned_sampled,3,0.9368730814640124,0.9368918931347568,1.8811670744467435e-5
3-regular,16,1,20262315,24,s2.5,transfer_1,3,0.8140543721061506,0.9368918931347568,0.12283752102860623
3-regular,16,1,20262315,24,s2.5,transfer_2,3,0.8140543721061506,0.9368918931347568,0.12283752102860623
3-regular,16,1,20262315,24,s2.5,transfer_3,3,0.6011453732703088,0.9368918931347568,0.33574651986444803
3-regular,16,1,20262315,24,s2.5,universal,3,0.7084994269524989,0.9368918931347568,0.22839246618225795
3-regular,16,2,20262316,24,s2.5,ceiling,1,0.8244213327482575,0.8244213327482575,0.0
3-regular,16,2,20262316,24,s2.5,binned_exact,1,0.8244213327482575,0.8244213327482575,0.0
3-regular,16,2,20262316,24,s2.5,binned_sampled,1,0.8244213327482575,0.8244213327482575,0.0
3-regular,16,2,20262316,24,s2.5,transfer_1,1,0.5864795731669635,0.8244213327482575,0.23794175958129393
3-regular,16,2,20262316,24,s2.5,transfer_2,1,0.44261528186634946,0.8244213327482575,0.381806050881908
3-regular,16,2,20262316,24,s2.5,transfer_3,1,0.5080530323492931,0.8244213327482575,0.31636830039896435
