density,n,instance,seed,m,method,p,ar,ceil,regret
4n,14,1,20262119,56,leak_g0.2_b0.2,1,0.0396762227281254,,
4n,14,1,20262119,56,leak_g0.5_b0.3,1,0.294297680324496,,
4n,14,1,20262119,56,leak_g1.0_b0.4,1,0.8082455739385308,,
4n,14,1,20262119,56,ceiling,1,0.8186656171755262,0.8186656171755262,0.0
4n,14,1,20262119,56,exactN,1,0.7848376691208984,0.8186656171755262,0.033827948054627854
4n,14,1,20262119,56,sampledN,1,0.8014417922660708,0.8186656171755262,0.0172238249094554
4n,14,1,20262119,56,transfer_1,1,0.8186656171755262,0.8186656171755262,0.0
4n,14,1,20262119,56,transfer_2,1,0.810380212048883,0.8186656171755262,0.00828540512664322
4n,14,1,20262119,56,transfer_3,1,0.8186656171755262,0.8186656171755262,0.0
4n,14,1,20262119,56,universal,1,0.8186656171755262,0.8186656171755262,0.0
4n,14,1,20262119,56,ceiling,3,0.8806595537775825,0.8806595537775825,0.0
4n,14,1,20262119,56,exactN,3,0.8291133855013613,0.8806595537775825,0.05154616827622127
4n,14,1,20262119,56,sampledN,3,0.8134624378759829,0.8806595537775825,0.0671971159015996
4n,14,1,20262119,56,transfer_1,3,0.8804942956491739,0.8806595537775825,0.00016525812840861853
4n,14,1,20262119,56,transfer_2,3,0.8806595537775825,0.8806595537775825,0.0
4n,14,1,20262119,56,transfer_3,3,0.8806595537775825,0.8806595537775825,0.0
4n,14,1,20262119,56,universal,3,0.8804942956491739,0.8806595537775825,0.00016525812840861853
4n,14,2,20262120,56,leak_g0.2_b0.2,1,0.04807760843727992,,
4n,14,2,20262120,56,leak_g0.5_b0.3,1,0.34185043843148816,,
4n,14,2,20262120,56,leak_g1.0_b0.4,1,0.8507588485279828,,
4n,14,2,20262120,56,ceiling,1,0.7881492037322465,0.7881492037322465,0.0
4n,14,2,20262120,56,exactN,1,0.7590679457044169,0.7881492037322465,0.02908125802782957
4n,14,2,20262120,56,sampledN,1,0.7590679457044169,0.7881492037322465,0.02908125802782957
