family,n,instance,seed,m,law,method,p,ar,ceil,regret
ER(0.5),16,1,20262321,58,logn2.5,ceiling,10,0.8700862107270881,0.8700862107270881,0.0
ER(0.5),16,1,20262321,58,logn2.5,binned_exact,10,0.7462495625577967,0.8700862107270881,0.12383664816929141
ER(0.5),16,1,20262321,58,logn2.5,binned_sampled,10,0.7462495625577967,0.8700862107270881,0.12383664816929141
ER(0.5),16,1,20262321,58,logn2.5,transfer_1,10,0.5631795230523169,0.8700862107270881,0.30690668767477125
ER(0.5),16,1,20262321,58,logn2.5,transfer_2,10,0.862391296688981,0.8700862107270881,0.007694914038107181
ER(0.5),16,1,20262321,58,logn2.5,transfer_3,10,0.7021529480625336,0.8700862107270881,0.16793326266455455
ER(0.5),16,1,20262321,58,logn2.5,universal,10,0.8700862107270881,0.8700862107270881,0.0
ER(0.5),16,1,20262321,58,logn2.5,ceiling,20,0.8915528897594078,0.8915528897594078,0.0
ER(0.5),16,1,20262321,58,logn2.5,binned_exact,20,0.7627027197669705,0.8915528897594078,0.12885016999243737
ER(0.5),16,1,20262321,58,logn2.5,binned_sampled,20,0.7627027197669705,0.8915528897594078,0.12885016999243737
ER(0.5),16,1,20262321,58,logn2.5,transfer_1,20,0.5282759720435111,0.8915528897594078,0.36327691771589676
ER(0.5),16,1,20262321,58,logn2.5,transfer_2,20,0.8915528897594078,0.8915528897594078,0.0
ER(0.5),16,1,20262321,58,logn2.5,transfer_3,20,0.7663967630273945,0.8915528897594078,0.12515612673201337
ER(0.5),16,1,20262321,58,logn2.5,universal,20,0.8710579831030552,0.8915528897594078,0.020494906656352674
ER(0.5),16,2,20262322,65,logn2.5,ceiling,10,0.9232285470411595,0.9232285470411595,0.0
ER(0.5),16,2,20262322,65,logn2.5,binned_exact,10,0.8056000272579399,0.9232285470411595,0.11762851978321964
ER(0.5),16,2,20262322,65,logn2.5,binned_sampled,10,0.8056000272579399,0.9232285470411595,0.11762851978321964
ER(0.5),16,2,20262322,65,logn2.5,transfer_1,10,0.520877095254142,0.9232285470411595,0.4023514517870175
ER(0.5),16,2,20262322,65,logn2.5,transfer_2,10,0.9117036571125245,0.9232285470411595,0.011524889928634985
ER(0.5),16,2,20262322,65,logn2.5,transfer_3,10,0.6634237080671561,0.9232285470411595,0.2598048389740034
ER(0.5),16,2,20262322,65,logn2.5,universal,10,0.9232285470411595,0.9232285470411595,0.0
ER(0.5),16,2,20262322,65,logn2.5,ceiling,20,0.938338148324761,0.938338148324761,0.0
ER(0.5),16,2,20262322,65,logn2.5,binned_exact,20,0.8249518283218563,0.938338148324761,0.11338632000290472
ER(0.5),16,2,20262322,65,logn2.5,binned_sampled,20,0.8311060675622868,0.938338148324761,0.10723208076247426
ER(0.5),16,2,20262322,65,logn2.5,transfer_1,20,0.518145078204033,0.938338148324761,0.42019307012072804
ER(0.5),16,2,20262322,65,logn2.5,transfer_2,20,0.9298270380828916,0.938338148324761,0.008511110241869457
ER(0.5),16,2,20262322,65,logn2.5,transfer_3,20,0.5696488204084118,0.938338148324761,0.36868932791634923
ER(0.5),16,2,20262322,65,logn2.5,universal,20,0.938338148324761,0.938338148324761,0.0
ER(0.5),16,3,20262323,70,logn2.5,ceiling,10,0.8889109592831329,0.8889109592831329,0.0
ER(0.5),16,3,20262323,70,logn2.5,binned_exact,10,0.8889109592831329,0.8889109592831329,0.0
ER(0.5),16,3,20262323,70,logn2.5,binned_sampled,10,0.8889109592831329,0.8889109592831329,0.0
ER(0.5),16,3,20262323,70,logn2.5,transfer_1,10,0.5905036611485561,0.8889109592831329,0.2984072981345768
ER(0.5),16,3,20262323,70,logn2.5,transfer_2,10,0.8196639682466992,0.8889109592831329,0.06924699103643372
ER(0.5),16,3,20262323,70,logn2.5,transfer_3,10,0.5519426660790085,0.8889109592831329,0.33696829320412436
ER(0.5),16,3,20262323,70,logn2.5,universal,10,0.7880030252875613,0.8889109592831329,0.10090793399557163
ER(0.5),16,3,20262323,70,logn2.5,ceiling,20,0.8948237085110075,0.8948237085110075,0.0
ER(0.5),16,3,20262323,70,logn2.5,binned_exact,20,0.8823720107175155,0.8948237085110075,0.012451697793491978
ER(0.5),16,3,20262323,70,logn2.5,binned_sampled,20,0.8823720107175155,0.8948237085110075,0.012451697793491978
ER(0.5),16,3,20262323,70,logn2.5,transfer_1,20,0.5865974727133899,0.8948237085110075,0.30822623579761754
ER(0.5),16,3,20262323,70,logn2.5,transfer_2,20,0.8011624546823137,0.8948237085110075,0.09366125382869372
ER(0.5),16,3,20262323,70,logn2.5,transfer_3,20,0.2677716296526183,0.8948237085110075,0.6270520788583891
ER(0.5),16,3,20262323,70,logn2.5,universal,20,0.6197482782007457,0.8948237085110075,0.2750754303102617
ER(0.5),16,4,20262324,63,logn2.5,ceiling,10,0.8214254936566712,0.8214254936566712,0.0
ER(0.5),16,4,20262324,63,logn2.5,binned_exact,10,0.8043141123119888,0.8214254936566712,0.017111381344682375
