family,n,instance,seed,m,law,start,stage,ar,ar_vstar,regret_vstar
3-regular,16,1,20262321,24,logn2.5,grid_ceiling,grid,0.9648283165093215,0.9770879090234811,0.012259592514159512
3-regular,16,1,20262321,24,logn2.5,universal,ramp4,0.9684360821717323,0.9770879090234811,0.008651826851748822
3-regular,16,1,20262321,24,logn2.5,best_transfer,grid,0.9595876230244599,0.9770879090234811,0.01750028599902121
3-regular,16,1,20262321,24,logn2.5,binned_sampled,full2p,0.977087909023477,0.9770879090234811,4.094464815167328e-15
3-regular,16,1,20262321,24,logn2.5,universal,full2p,0.9763926078077817,0.9770879090234811,0.0006953012156993879
3-regular,16,1,20262321,24,logn2.5,best_transfer,full2p,0.9763926078077817,0.9770879090234811,0.0006953012156993879
3-regular,16,1,20262321,24,logn2.5,grid_ceiling,ramp4,0.9718256582469609,0.9770879090234811,0.00526225077652023
3-regular,16,1,20262321,24,logn2.5,best_transfer,ramp4,0.9684360821717323,0.9770879090234811,0.008651826851748822
3-regular,16,1,20262321,24,logn2.5,grid_ceiling,full2p,0.9770879090234811,0.9770879090234811,0.0
3-regular,16,1,20262321,24,logn2.5,binned_sampled,grid,0.7490281172144577,0.9770879090234811,0.22805979180902333
3-regular,16,1,20262321,24,logn2.5,universal,grid,0.9595876230244599,0.9770879090234811,0.01750028599902121
3-regular,16,1,20262321,24,logn2.5,binned_sampled,ramp4,0.97182565824696,0.9770879090234811,0.005262250776521126
3-regular,16,2,20262322,24,logn2.5,grid_ceiling,grid,0.9047915943146521,0.9853048811302877,0.08051328681563566
3-regular,16,2,20262322,24,logn2.5,universal,ramp4,0.9583137558029944,0.9853048811302877,0.026991125327293336
3-regular,16,2,20262322,24,logn2.5,best_transfer,grid,0.7758455554301328,0.9853048811302877,0.2094593257001549
3-regular,16,2,20262322,24,logn2.5,binned_sampled,full2p,0.9757498389143322,0.9853048811302877,0.009555042215955453
3-regular,16,2,20262322,24,logn2.5,universal,full2p,0.9853048811302877,0.9853048811302877,0.0
3-regular,16,2,20262322,24,logn2.5,best_transfer,full2p,0.9830285335150075,0.9853048811302877,0.002276347615280192
3-regular,16,2,20262322,24,logn2.5,grid_ceiling,ramp4,0.9557493974891238,0.9853048811302877,0.029555483641163924
3-regular,16,2,20262322,24,logn2.5,best_transfer,ramp4,0.8864996859316605,0.9853048811302877,0.09880519519862722
3-regular,16,2,20262322,24,logn2.5,grid_ceiling,full2p,0.9757498389143322,0.9853048811302877,0.009555042215955453
3-regular,16,2,20262322,24,logn2.5,binned_sampled,grid,0.844793861164886,0.9853048811302877,0.14051101996540172
3-regular,16,2,20262322,24,logn2.5,universal,grid,0.6314879010534818,0.9853048811302877,0.3538169800768059
3-regular,16,2,20262322,24,logn2.5,binned_sampled,ramp4,0.9557493974891238,0.9853048811302877,0.029555483641163924
3-regular,16,3,20262323,24,logn2.5,grid_ceiling,grid,0.9436143776413999,0.981385109375711,0.037770731734311176
3-regular,16,3,20262323,24,logn2.5,universal,ramp4,0.9653995063128354,0.981385109375711,0.015985603062875626
3-regular,16,3,20262323,24,logn2.5,best_transfer,grid,0.5509733249447191,0.981385109375711,0.43041178443099193
3-regular,16,3,20262323,24,logn2.5,binned_sampled,full2p,0.976488294782251,0.981385109375711,0.004896814593460104
3-regular,16,3,20262323,24,logn2.5,universal,full2p,0.9805381289948116,0.981385109375711,0.0008469803808993655
3-regular,16,3,20262323,24,logn2.5,best_transfer,full2p,0.974039743597208,0.981385109375711,0.007345365778503077
3-regular,16,3,20262323,24,logn2.5,grid_ceiling,ramp4,0.9705870470839197,0.981385109375711,0.010798062291791343
3-regular,16,3,20262323,24,logn2.5,best_transfer,ramp4,0.9163730831832697,0.981385109375711,0.06501202619244129
3-regular,16,3,20262323,24,logn2.5,grid_ceiling,full2p,0.981385109375711,0.981385109375711,0.0
3-regular,16,3,20262323,24,logn2.5,binned_sampled,grid,0.9366406800695231,0.981385109375711,0.04474442930618799
3-regular,16,3,20262323,24,logn2.5,universal,grid,0.3749054283586421,0.981385109375711,0.606479681017069
3-regular,16,3,20262323,24,logn2.5,binned_sampled,ramp4,0.9727634709119409,0.981385109375711,0.008621638463770112
3-regular,16,4,20262324,24,logn2.5,grid_ceiling,grid,0.9642970246433861,0.9754421903853207,0.01114516574193463
3-regular,16,4,20262324,24,logn2.5,universal,ramp4,0.970500017877842,0.9754421903853207,0.004942172507478653
3-regular,16,4,20262324,24,logn2.5,best_transfer,grid,0.9492401012748467,0.9754421903853207,0.026202089110473968
3-regular,16,4,20262324,24,logn2.5,binned_sampled,full2p,0.973122280524316,0.9754421903853207,0.0023199098610046523
3-regular,16,4,20262324,24,logn2.5,universal,full2p,0.9729518765619137,0.9754421903853207,0.0024903138234069265
3-regular,16,4,20262324,24,logn2.5,best_transfer,full2p,0.9729518765619137,0.9754421903853207,0.0024903138234069265
3-regular,16,4,20262324,24,logn2.5,grid_ceiling,ramp4,0.9684018259097369,0.9754421903853207,0.007040364475583757
3-regular,16,4,20262324,24,logn2.5,best_transfer,ramp4,0.970500017877842,0.9754421903853207,0.004942172507478653
3-regular,16,4,20262324,24,logn2.5,grid_ceiling,full2p,0.9754421903853207,0.9754421903853207,0.0
3-regular,16,4,20262324,24,logn2.5,binned_sampled,grid,0.7192104722156676,0.9754421903853207,0.256231718169653
3-regular,16,4,20262324,24,logn2.5,universal,grid,0.9492401012748467,0.9754421903853207,0.026202089110473968
3-regular,16,4,20262324,24,logn2.5,binned_sampled,ramp4,0.9703964518748619,0.9754421903853207,0.005045738510458758
3-regular,16,5,20262325,24,logn2.5,grid_ceiling,grid,0.9642368330234826,0.9815842508873024,0.0173474178638198
3-regular,16,5,20262325,24,logn2.5,universal,ramp4,0.9764116615394614,0.9815842508873024,0.005172589347841082
3-regular,16,5,20262325,24,logn2.5,best_transfer,grid,0.958505200228173,0.9815842508873024,0.023079050659129456
3-regular,16,5,20262325,24,logn2.5,binned_sampled,full2p,0.9815842508872956,0.9815842508873024,6.7947425510814604e-15
3-regular,16,5,20262325,24,logn2.5,universal,full2p,0.981584250887292,0.9815842508873024,1.0453450078586862e-14
3-regular,16,5,20262325,24,logn2.5,best_transfer,full2p,0.981584250887298,0.9815842508873024,4.442716283399417e-15
3-regular,16,5,20262325,24,logn2.5,grid_ceiling,ramp4,0.9764116615394729,0.9815842508873024,0.005172589347829584
3-regular,16,5,20262325,24,logn2.5,best_transfer,ramp4,0.9764116615394635,0.9815842508873024,0.005172589347838992
3-regular,16,5,20262325,24,logn2.5,grid_ceiling,full2p,0.9815842508873024,0.9815842508873024,0.0
3-regular,16,5,20262325,24,logn2.5,binned_sampled,grid,0.7454055465119439,0.9815842508873024,0.23617870437535854
3-regular,16,5,20262325,24,logn2.5,universal,grid,0.9574906238977356,0.9815842508873024,0.024093626989566772
3-regular,16,5,20262325,24,logn2.5,binned_sampled,ramp4,0.9764116615394666,0.9815842508873024,0.005172589347835856
