family,n,instance,seed,m,law,stage,ar,regret_vs_gridceil
3-regular,16,1,20262321,24,logn2.5,grid,0.7490281172144577,0.21580019929486383
3-regular,16,1,20262321,24,logn2.5,proxy_ramp4,0.8878777186037589,0.07695059790556269
3-regular,16,1,20262321,24,logn2.5,proxy_full2p,0.8815972797271083,0.08323103678221322
3-regular,16,2,20262322,24,logn2.5,grid,0.844793861164886,0.059997733149766086
3-regular,16,2,20262322,24,logn2.5,proxy_ramp4,0.9309783361666243,-0.02618674185197223
3-regular,16,2,20262322,24,logn2.5,proxy_full2p,0.9457741902614237,-0.04098259594677167
3-regular,16,3,20262323,24,logn2.5,grid,0.9366406800695231,0.006973697571876825
3-regular,16,3,20262323,24,logn2.5,proxy_ramp4,0.9669982204188666,-0.023383842777466746
3-regular,16,3,20262323,24,logn2.5,proxy_full2p,0.9683781765099276,-0.024763798868527753
3-regular,16,4,20262324,24,logn2.5,grid,0.7192104722156676,0.24508655242771848
3-regular,16,4,20262324,24,logn2.5,proxy_ramp4,0.9168887168471662,0.04740830779621985
3-regular,16,4,20262324,24,logn2.5,proxy_full2p,0.9096305948198843,0.05466642982350178
3-regular,16,5,20262325,24,logn2.5,grid,0.7454055465119439,0.21883128651153871
3-regular,16,5,20262325,24,logn2.5,proxy_ramp4,0.8721307718238644,0.09210606119961817
3-regular,16,5,20262325,24,logn2.5,proxy_full2p,0.8685075363240408,0.09572929669944186
