family,n,instance,seed,m,law,init,stage,ar,regret_vs_gridceil
ER(0.5),16,1,20262321,58,pareto15,universal,init,0.8600830094627578,0.03262491472567908
ER(0.5),16,1,20262321,58,pareto15,universal,polished,0.8229756538391707,0.06973227034926621
ER(0.5),16,1,20262321,58,pareto15,transfer_1,init,0.8634774070826964,0.02923051710574054
ER(0.5),16,1,20262321,58,pareto15,transfer_1,polished,0.8229756538391719,0.06973227034926499
ER(0.5),16,2,20262322,65,pareto15,universal,init,0.7737675973617198,0.10817630868454897
ER(0.5),16,2,20262322,65,pareto15,universal,polished,0.8269832403956944,0.05496066565057445
ER(0.5),16,2,20262322,65,pareto15,transfer_1,init,0.7894440093160202,0.09249989673024861
ER(0.5),16,2,20262322,65,pareto15,transfer_1,polished,0.8269832403956919,0.05496066565057689
ER(0.5),16,3,20262323,70,pareto15,universal,init,0.723126405458468,0.15418872260732774
ER(0.5),16,3,20262323,70,pareto15,universal,polished,0.7907658467108869,0.0865492813549088
ER(0.5),16,3,20262323,70,pareto15,transfer_1,init,0.7448844485187117,0.13243067954708398
ER(0.5),16,3,20262323,70,pareto15,transfer_1,polished,0.7907658467108849,0.0865492813549108
ER(0.5),16,4,20262324,63,pareto15,universal,init,0.8236765387242782,0.0736295787224287
ER(0.5),16,4,20262324,63,pareto15,universal,polished,0.8254242146798195,0.07188190276688733
ER(0.5),16,4,20262324,63,pareto15,transfer_1,init,0.8455002903898942,0.05180582705681269
ER(0.5),16,4,20262324,63,pareto15,transfer_1,polished,0.8254242146798197,0.0718819027668871
ER(0.5),16,5,20262325,60,pareto15,universal,init,0.6826156593154642,0.17834379037695414
ER(0.5),16,5,20262325,60,pareto15,universal,polished,0.6929113027766103,0.16804814691580805
ER(0.5),16,5,20262325,60,pareto15,transfer_1,init,0.6915705608736165,0.16938888881880187
ER(0.5),16,5,20262325,60,pareto15,transfer_1,polished,0.6929113027766087,0.1680481469158096
ER(0.5),16,6,20262326,59,pareto15,universal,init,0.7993156379255149,0.07805812227648057
ER(0.5),16,6,20262326,59,pareto15,universal,polished,0.8191351271725656,0.058238633029429776
ER(0.5),16,6,20262326,59,pareto15,transfer_1,init,0.8089439590439722,0.06842980115802322
ER(0.5),16,6,20262326,59,pareto15,transfer_1,polished,0.8191351271725668,0.058238633029428666
ER(0.5),16,7,20262327,68,pareto15,universal,init,0.8341935160013862,0.05533080074894747
ER(0.5),16,7,20262327,68,pareto15,universal,polished,0.8156730915960722,0.07385122515426157
ER(0.5),16,7,20262327,68,pareto15,transfer_1,init,0.8518628911482854,0.037661425602048326
ER(0.5),16,7,20262327,68,pareto15,transfer_1,polished,0.8156730915960727,0.07385122515426101
ER(0.5),16,8,20262328,57,pareto15,universal,init,0.8166753385697066,0.0823272295087053
ER(0.5),16,8,20262328,57,pareto15,universal,polished,0.8325874697121677,0.06641509836624426
ER(0.5),16,8,20262328,57,pareto15,transfer_1,init,0.8335440899869849,0.06545847809142702
ER(0.5),16,8,20262328,57,pareto15,transfer_1,polished,0.8325874697121682,0.06641509836624371
ER(0.5),16,9,20262329,66,pareto15,universal,init,0.5395491114716886,0.37586031653698126
ER(0.5),16,9,20262329,66,pareto15,universal,polished,0.9111023195114969,0.004307108497172973
ER(0.5),16,9,20262329,66,pareto15,transfer_1,init,0.4722218841559573,0.4431875438527126
ER(0.5),16,9,20262329,66,pareto15,transfer_1,polished,0.9111023195114977,0.004307108497172196
ER(0.5),16,10,20262330,68,pareto15,universal,init,0.7867045198838493,0.1013400364969741
ER(0.5),16,10,20262330,68,pareto15,universal,polished,0.8494206715121032,0.03862388486872015
ER(0.5),16,10,20262330,68,pareto15,transfer_1,init,0.7957134730756481,0.09233108330517525
ER(0.5),16,10,20262330,68,pareto15,transfer_1,polished,0.8494206715121012,0.03862388486872215
