family,n,inst,m,p,regret,bound,ratio,crude_bound,leakage_bound,argmax_moved
ER(0.5),12,1,38,1,0.027598,0.340309,12.33,4.610558,0.492457,1
ER(0.5),12,1,38,3,0.029402,0.335575,11.41,5.892929,0.82084,1
ER(0.5),12,2,37,1,0.021868,0.368444,16.85,4.553553,0.53754,1
ER(0.5),12,2,37,3,0.025315,0.302692,11.96,5.40744,0.777787,1
ER(0.5),12,3,35,1,0.026456,0.401786,15.19,4.787785,0.577722,1
ER(0.5),12,3,35,3,0.043432,0.485206,11.17,6.639039,1.154738,1
ER(0.5),12,4,37,1,0.01161,0.223593,19.26,3.815061,0.345833,1
ER(0.5),12,4,37,3,0.018577,0.266597,14.35,5.267454,0.675139,1
ER(0.5),12,5,43,1,0.004257,0.181084,42.54,3.570418,0.288535,1
ER(0.5),12,5,43,3,0.024356,0.342024,14.04,6.182916,0.84893,1
ER(0.5),12,6,38,1,0.02612,0.365956,14.01,4.486384,0.528877,1
ER(0.5),12,6,38,3,0.047839,0.520724,10.88,6.805075,1.21635,1
ER(0.5),12,7,33,1,0.02154,0.357605,16.6,4.308051,0.520238,1
ER(0.5),12,7,33,3,0.022452,0.436599,19.45,5.500409,1.083674,1
ER(0.5),12,8,27,1,0.036839,0.385362,10.46,4.469039,0.54861,1
ER(0.5),12,8,27,3,0.022632,0.268836,11.88,4.37774,0.709043,1
ER(0.5),12,9,20,1,0.069087,0.579744,8.39,4.89999,0.781579,1
ER(0.5),12,9,20,3,0.043094,0.373639,8.67,4.847292,0.873156,1
ER(0.5),12,10,41,1,0.015064,0.247184,16.41,4.107194,0.374441,1
ER(0.5),12,10,41,3,0.036327,0.356208,9.81,5.925481,0.878416,1
ER(0.5),14,1,43,1,0.041126,0.416846,10.14,5.293882,0.565305,1
ER(0.5),14,1,43,3,0.042299,0.369849,8.74,6.341695,0.851191,1
ER(0.5),14,2,50,1,0.01745,0.26989,15.47,4.589838,0.395412,1
ER(0.5),14,2,50,3,0.068354,0.565777,8.28,7.744084,1.165696,1
ER(0.5),14,3,47,1,0.038309,0.431655,11.27,5.291605,0.58423,1
ER(0.5),14,3,47,3,0.092985,0.678505,7.3,7.422597,1.311509,1
ER(0.5),14,4,42,1,0.039903,0.45366,11.37,5.630179,0.612584,1
ER(0.5),14,4,42,3,0.060034,0.521506,8.69,6.973912,1.111396,1
ER(0.5),14,5,40,1,0.033651,0.456491,13.57,4.946951,0.621004,1
ER(0.5),14,5,40,3,0.033171,0.528128,15.92,5.594736,1.290395,1
ER(0.5),14,6,52,1,0.016093,0.254958,15.84,4.704822,0.375434,1
ER(0.5),14,6,52,3,0.044289,0.383118,8.65,7.183358,0.853992,1
ER(0.5),14,7,50,1,0.030794,0.363527,11.81,5.368875,0.507132,1
ER(0.5),14,7,50,3,0.031298,0.333715,10.66,6.450676,0.799414,1
ER(0.5),14,8,49,1,0.028075,0.376,13.39,5.145482,0.522859,1
ER(0.5),14,8,49,3,0.071077,0.63168,8.89,7.520882,1.276594,1
ER(0.5),14,9,35,1,0.053955,0.522663,9.69,5.764295,0.693655,1
ER(0.5),14,9,35,3,0.02178,0.281854,12.94,5.547175,0.701899,1
ER(0.5),14,10,45,1,0.017641,0.281203,15.94,4.657961,0.414563,1
ER(0.5),14,10,45,3,0.03589,0.388802,10.83,6.753108,0.889231,1
ER(0.25),12,1,15,1,0.062813,0.605842,9.65,4.465766,0.810066,1
ER(0.25),12,1,15,3,0.03499,0.505933,14.46,4.63758,1.190025,1
ER(0.25),12,2,17,1,0.119521,0.763977,6.39,5.152418,0.962139,1
