family,n,inst,W,nclasses,maxclass,varT,varE_exact,capture_quad,V2,cubic_ratio
ER(0.5),12,1,55.0,33,402,14956.0,9801.8575,0.9521,5154.1425,0.9992
ER(0.5),12,2,59.0,40,390,19024.0,11194.2764,0.9335,7829.7236,0.9986
ER(0.5),12,3,47.0,32,436,8764.0,5582.0934,0.9626,3181.9066,0.9989
ER(0.5),12,4,58.0,37,384,20392.0,14053.6427,0.9635,6338.3573,0.9993
ER(0.5),12,5,59.0,36,412,19428.0,14266.1375,0.9678,5161.8625,1.0007
ER(0.5),12,6,59.0,39,410,19180.0,12102.5614,0.9497,7077.4386,0.9991
ER(0.5),12,7,46.0,32,462,9372.0,6048.5675,0.9614,3323.4325,0.9987
ER(0.5),12,8,38.0,28,434,4980.0,2993.1662,0.9728,1986.8338,0.9976
ER(0.5),12,9,29.0,25,482,1500.0,508.1664,0.9812,991.8336,0.997
ER(0.5),12,10,56.0,33,440,17304.0,12573.367,0.9622,4730.633,1.0004
ER(0.5),14,1,58.0,41,1652,13464.0,8179.6661,0.9569,5284.3339,0.9986
ER(0.5),14,2,76.0,49,1398,34132.0,23078.6363,0.9637,11053.3637,0.9996
ER(0.5),14,3,73.0,49,1390,29480.0,18236.2144,0.9495,11243.7856,0.9986
ER(0.5),14,4,67.0,45,1356,20120.0,12221.2876,0.9835,7898.7124,0.9976
ER(0.5),14,5,53.0,40,1552,7720.0,3669.7113,0.97,4050.2887,0.9974
ER(0.5),14,6,80.0,47,1280,32556.0,21161.4502,0.9769,11394.5498,0.9991
ER(0.5),14,7,79.0,52,1308,36704.0,23716.8442,0.9615,12987.1558,0.9992
ER(0.5),14,8,71.0,47,1414,21188.0,12008.2256,0.9601,9179.7744,0.9983
ER(0.5),14,9,59.0,40,1408,13432.0,7259.6094,0.9811,6172.3906,0.9974
ER(0.5),14,10,69.0,47,1418,26000.0,17082.9572,0.9707,8917.0428,0.9989
ER(0.25),12,1,22.0,20,550,884.0,364.8731,0.9959,519.1269,0.9976
ER(0.25),12,2,26.0,23,528,1884.0,902.6566,0.9689,981.3434,0.997
