family,n,inst,p,is_probe,ceiling,regret_normalized,regret_corrected
ER(0.5),12,1,1,1,0.847729,0.027598,0.034048
ER(0.5),12,1,3,1,0.924775,0.029402,0.042886
ER(0.5),12,2,1,0,0.836853,0.021868,0.036699
ER(0.5),12,2,3,0,0.932219,0.025315,0.025707
ER(0.5),12,3,1,0,0.824275,0.026456,0.04821
ER(0.5),12,3,3,0,0.925855,0.043432,0.060923
ER(0.5),12,4,1,0,0.852769,0.01161,0.022765
ER(0.5),12,4,3,0,0.916212,0.018577,0.050254
ER(0.5),12,5,1,0,0.867125,0.004257,0.014166
ER(0.5),12,5,3,0,0.931342,0.024356,0.037119
ER(0.5),12,6,1,0,0.817472,0.02612,0.032624
ER(0.5),12,6,3,0,0.912566,0.047839,0.047839
ER(0.5),12,7,1,0,0.784744,0.02154,0.041265
ER(0.5),12,7,3,0,0.877226,0.022452,0.04811
ER(0.5),12,8,1,0,0.818434,0.036839,0.057749
ER(0.5),12,8,3,0,0.897231,0.022632,0.039586
ER(0.5),12,9,1,0,0.823532,0.069087,0.091076
ER(0.5),12,9,3,0,0.922811,0.043094,0.066132
ER(0.5),12,10,1,0,0.867052,0.015064,0.02083
ER(0.5),12,10,3,0,0.93713,0.036327,0.036327
ER(0.5),14,1,1,1,0.83554,0.041126,0.056547
ER(0.5),14,1,3,1,0.912856,0.042299,0.042299
ER(0.5),14,2,1,0,0.833224,0.01745,0.023397
ER(0.5),14,2,3,0,0.900858,0.068354,0.068354
ER(0.5),14,3,1,0,0.800478,0.038309,0.044235
ER(0.5),14,3,3,0,0.883452,0.092985,0.092985
ER(0.5),14,4,1,0,0.824529,0.039903,0.039903
ER(0.5),14,4,3,0,0.908402,0.060034,0.09647
ER(0.5),14,5,1,0,0.752189,0.033651,0.048253
ER(0.5),14,5,3,0,0.869438,0.033171,0.111996
ER(0.5),14,6,1,0,0.871042,0.016093,0.036418
ER(0.5),14,6,3,0,0.93488,0.044289,0.044289
ER(0.5),14,7,1,0,0.841932,0.030794,0.051631
ER(0.5),14,7,3,0,0.913278,0.031298,0.046271
ER(0.5),14,8,1,0,0.808292,0.028075,0.042646
ER(0.5),14,8,3,0,0.892788,0.071077,0.071077
ER(0.5),14,9,1,0,0.841415,0.053955,0.060534
ER(0.5),14,9,3,0,0.929087,0.02178,0.057009
ER(0.5),14,10,1,0,0.860966,0.017641,0.037234
ER(0.5),14,10,3,0,0.930756,0.03589,0.053243
