family,n,inst,p,ceiling,regret_exact_raw,regret_exact_norm,regret_samp_raw,regret_samp_norm
ER(0.5),12,1,1,0.847729,0.020881,0.027598,0.031836,0.009497
ER(0.5),12,1,3,0.924775,0.074271,0.029402,0.075123,0.025445
ER(0.5),12,2,1,0.836853,0.026934,0.021868,0.037775,0.005954
ER(0.5),12,2,3,0.932219,0.094499,0.025315,0.044704,0.018958
ER(0.5),12,3,1,0.824275,0.027452,0.026456,0.033416,0.004806
ER(0.5),12,3,3,0.925855,0.081415,0.043432,0.079557,0.016061
ER(0.5),12,4,1,0.852769,0.018335,0.01161,0.028436,0.003624
ER(0.5),12,4,3,0.916212,0.061036,0.018577,0.061036,0.006925
ER(0.5),12,5,1,0.867125,0.019514,0.004257,0.019514,0.004257
ER(0.5),12,5,3,0.931342,0.055988,0.024356,0.059894,0.010273
ER(0.5),12,6,1,0.817472,0.020708,0.02612,0.00566,0.02612
ER(0.5),12,6,3,0.912566,0.091408,0.047839,0.05402,0.049253
ER(0.5),12,7,1,0.784744,0.031132,0.02154,0.031132,0.01582
ER(0.5),12,7,3,0.877226,0.075881,0.022452,0.09741,0.01413
ER(0.5),12,8,1,0.818434,0.031074,0.036839,0.031753,0.018392
ER(0.5),12,8,3,0.897231,0.070635,0.022632,0.034952,0.045977
ER(0.5),12,9,1,0.823532,0.04087,0.069087,0.04087,0.032007
ER(0.5),12,9,3,0.922811,0.089025,0.043094,0.089025,0.012785
ER(0.5),12,10,1,0.867052,0.025435,0.015064,0.010185,0.010226
ER(0.5),12,10,3,0.93713,0.063827,0.036327,0.055836,0.002927
ER(0.5),14,1,1,0.83554,0.035956,0.041126,0.05107,0.02125
ER(0.5),14,1,3,0.912856,0.075539,0.042299,0.060215,0.029426
ER(0.5),14,2,1,0.833224,0.02059,0.01745,0.014269,0.01745
ER(0.5),14,2,3,0.900858,0.059367,0.068354,0.063438,0.020153
ER(0.5),14,3,1,0.800478,0.030617,0.038309,0.018867,0.018929
ER(0.5),14,3,3,0.883452,0.077871,0.092985,0.060097,0.028862
ER(0.5),14,4,1,0.824529,0.027591,0.039903,0.053567,0.019527
ER(0.5),14,4,3,0.908402,0.085296,0.060034,0.093912,0.011784
ER(0.5),14,5,1,0.752189,0.035023,0.033651,0.019698,0.014926
ER(0.5),14,5,3,0.869438,0.125851,0.033171,0.076015,0.05012
ER(0.5),14,6,1,0.871042,0.023989,0.016093,0.028359,0.006762
ER(0.5),14,6,3,0.93488,0.055886,0.044289,0.094316,0.012014
ER(0.5),14,7,1,0.841932,0.026042,0.030794,0.026042,0.007976
ER(0.5),14,7,3,0.913278,0.064239,0.031298,0.064239,0.023166
ER(0.5),14,8,1,0.808292,0.029029,0.028075,0.017405,0.010667
ER(0.5),14,8,3,0.892788,0.078173,0.071077,0.060931,0.026873
ER(0.5),14,9,1,0.841415,0.035834,0.053955,0.035834,0.018207
ER(0.5),14,9,3,0.929087,0.073048,0.02178,0.102472,0.011798
ER(0.5),14,10,1,0.860966,0.028201,0.017641,0.062425,0.004432
ER(0.5),14,10,3,0.930756,0.064892,0.03589,0.050466,0.036143
ER(0.25),12,1,1,0.763325,0.031585,0.062813,0.053109,0.018503
ER(0.25),12,1,3,0.86719,0.079051,0.03499,0.107852,0.023401
ER(0.25),12,2,1,0.800817,0.030093,0.119521,0.020778,0.012585
ER(0.25),12,2,3,0.902946,0.068025,0.057341,0.068025,0.028579
ER(0.25),12,3,1,0.74323,0.037767,0.083595,0.020874,0.042575
ER(0.25),12,3,3,0.888638,0.101721,0.053773,0.104244,0.044553
ER(0.25),12,4,1,0.769267,0.030199,0.060661,0.073651,0.006494
ER(0.25),12,4,3,0.856305,0.052678,0.021567,0.08076,0.001185
ER(0.25),12,5,1,0.793687,0.030412,0.061494,0.037328,0.028952
ER(0.25),12,5,3,0.879597,0.046055,0.013204,0.085681,0.002425
ER(0.25),12,6,1,0.776228,0.03463,0.064236,0.024131,0.046532
ER(0.25),12,6,3,0.896143,0.105172,0.067386,0.087399,0.071726
ER(0.25),12,7,1,0.753861,0.02275,0.02601,0.034105,0.015842
ER(0.25),12,7,3,0.868537,0.08518,0.051133,0.046592,0.051133
ER(0.25),12,8,1,0.816208,0.0367,0.067605,0.046808,0.048659
ER(0.25),12,8,3,0.925623,0.097754,0.039068,0.085105,0.023834
ER(0.25),12,9,1,0.747486,0.041107,0.059062,0.021117,0.051787
ER(0.25),12,9,3,0.87312,0.11534,0.08981,0.097116,0.030026
ER(0.25),12,10,1,0.75396,0.024657,0.077555,0.034013,0.049402
ER(0.25),12,10,3,0.896164,0.100723,0.026356,0.12676,0.005961
ER(0.25),14,1,1,0.795779,0.033938,0.030491,0.045475,0.010488
ER(0.25),14,1,3,0.889005,0.084219,0.028406,0.06065,0.022244
ER(0.25),14,2,1,0.763864,0.033551,0.067287,0.007893,0.020481
ER(0.25),14,2,3,0.875046,0.090061,0.070009,0.039427,0.035898
ER(0.25),14,3,1,0.752542,0.046436,0.061929,0.032233,0.01497
ER(0.25),14,3,3,0.875442,0.107633,0.094194,0.109785,0.03314
ER(0.25),14,4,1,0.763323,0.040488,0.080925,0.024927,0.015139
ER(0.25),14,4,3,0.871641,0.098524,0.047471,0.063626,0.060814
ER(0.25),14,5,1,0.810156,0.032176,0.061245,0.022393,0.037824
ER(0.25),14,5,3,0.914332,0.098593,0.031845,0.076757,0.009505
ER(0.25),14,6,1,0.798255,0.033595,0.057852,0.046523,0.010336
ER(0.25),14,6,3,0.893987,0.074202,0.029872,0.078646,0.028751
ER(0.25),14,7,1,0.777343,0.025728,0.086978,0.006783,0.037792
ER(0.25),14,7,3,0.882668,0.078449,0.029296,0.041823,0.038444
ER(0.25),14,8,1,0.732014,0.034907,0.062529,0.030788,0.018277
ER(0.25),14,8,3,0.842164,0.090731,0.053493,0.104523,0.01902
ER(0.25),14,9,1,0.810979,0.030532,0.10175,0.037068,0.033107
ER(0.25),14,9,3,0.905964,0.070613,0.032932,0.066354,0.05015
ER(0.25),14,10,1,0.758722,0.035069,0.104306,0.048313,0.049601
ER(0.25),14,10,3,0.871116,0.098694,0.048308,0.075155,0.025719
BA(k=2),12,1,1,0.755404,0.027973,0.05317,0.038986,0.014674
BA(k=2),12,1,3,0.868111,0.094387,0.091319,0.107149,0.030949
BA(k=2),12,2,1,0.852018,0.028384,0.030279,0.01835,0.017713
BA(k=2),12,2,3,0.927055,0.060904,0.010004,0.046824,0.005052
BA(k=2),12,3,1,0.845851,0.026094,0.044838,0.037199,0.02423
BA(k=2),12,3,3,0.936066,0.070134,0.032607,0.050112,0.025848
BA(k=2),12,4,1,0.845212,0.027094,0.063002,0.038444,0.035889
BA(k=2),12,4,3,0.932323,0.067426,0.013079,0.063719,0.006109
BA(k=2),12,5,1,0.754022,0.026818,0.029157,0.034648,0.015496
BA(k=2),12,5,3,0.865165,0.084229,0.026827,0.073429,0.01859
BA(k=2),12,6,1,0.765477,0.032202,0.036392,0.007974,0.014505
BA(k=2),12,6,3,0.877914,0.098894,0.077358,0.064801,0.015959
BA(k=2),12,7,1,0.837216,0.022816,0.062296,0.022816,0.007099
BA(k=2),12,7,3,0.920371,0.06247,0.01861,0.0834,0.025152
BA(k=2),12,8,1,0.741367,0.032173,0.041692,0.044011,0.011394
BA(k=2),12,8,3,0.853263,0.093858,0.043424,0.081103,0.067234
BA(k=2),12,9,1,0.785087,0.021902,0.038948,0.013585,0.059887
BA(k=2),12,9,3,0.871211,0.065789,0.030632,0.068103,0.019059
BA(k=2),12,10,1,0.760134,0.030318,0.059928,0.020166,0.024384
BA(k=2),12,10,3,0.863135,0.089535,0.027177,0.070008,0.022019
BA(k=2),14,1,1,0.774731,0.041689,0.084835,0.02995,0.044362
BA(k=2),14,1,3,0.878564,0.08729,0.052179,0.073269,0.029306
BA(k=2),14,2,1,0.760801,0.033857,0.03126,0.031284,0.026923
BA(k=2),14,2,3,0.868262,0.07828,0.102222,0.051675,0.051293
BA(k=2),14,3,1,0.803716,0.037737,0.04382,0.024775,0.023161
BA(k=2),14,3,3,0.89081,0.070619,0.02974,0.038608,0.025055
BA(k=2),14,4,1,0.803383,0.037547,0.079787,0.03563,0.018747
BA(k=2),14,4,3,0.89529,0.075206,0.017331,0.082069,0.017331
BA(k=2),14,5,1,0.817184,0.045342,0.087279,0.030488,0.024162
BA(k=2),14,5,3,0.91672,0.082851,0.03731,0.088626,0.012054
BA(k=2),14,6,1,0.734673,0.038172,0.067313,0.041734,0.013923
BA(k=2),14,6,3,0.839505,0.089606,0.012501,0.056958,0.018615
BA(k=2),14,7,1,0.773695,0.042405,0.083556,0.03092,0.030997
BA(k=2),14,7,3,0.880303,0.09026,0.01815,0.055046,0.015697
BA(k=2),14,8,1,0.802907,0.036652,0.069129,0.031537,0.014789
BA(k=2),14,8,3,0.893369,0.073114,0.066412,0.073114,0.007831
BA(k=2),14,9,1,0.776151,0.043238,0.078632,0.066084,0.005926
BA(k=2),14,9,3,0.866993,0.075464,0.033686,0.096942,0.0141
BA(k=2),14,10,1,0.799887,0.035175,0.081867,0.047631,0.029
BA(k=2),14,10,3,0.891638,0.071782,0.024436,0.073633,0.006609
BA(k=4),12,1,1,0.758882,0.029192,0.019228,0.039051,0.019228
BA(k=4),12,1,3,0.854515,0.079804,0.13334,0.11654,0.047043
BA(k=4),12,2,1,0.780236,0.023842,0.025845,0.033707,0.011562
BA(k=4),12,2,3,0.877347,0.078389,0.061872,0.102238,0.019237
BA(k=4),12,3,1,0.784795,0.026782,0.025119,0.026782,0.010343
BA(k=4),12,3,3,0.870328,0.070034,0.039282,0.07428,0.021732
BA(k=4),12,4,1,0.790761,0.030306,0.033209,0.019511,0.033209
BA(k=4),12,4,3,0.891425,0.080721,0.054869,0.045101,0.03164
BA(k=4),12,5,1,0.797834,0.031616,0.020233,0.035023,0.020233
BA(k=4),12,5,3,0.897432,0.082947,0.052855,0.112614,0.053157
BA(k=4),12,6,1,0.784602,0.026546,0.025925,0.014446,0.00329
BA(k=4),12,6,3,0.869112,0.068599,0.03614,0.066231,0.021502
BA(k=4),12,7,1,0.79191,0.031322,0.03714,0.031322,0.019022
BA(k=4),12,7,3,0.896344,0.086409,0.065334,0.082349,0.017601
BA(k=4),12,8,1,0.817061,0.026774,0.021433,0.009035,0.016724
BA(k=4),12,8,3,0.904681,0.067993,0.057172,0.068136,0.034767
BA(k=4),12,9,1,0.783083,0.025669,0.021268,0.015835,0.044645
BA(k=4),12,9,3,0.863869,0.062764,0.038325,0.070566,0.045339
BA(k=4),12,10,1,0.79517,0.030012,0.037551,0.03326,0.013815
BA(k=4),12,10,3,0.884731,0.073341,0.046765,0.046432,0.027
BA(k=4),14,1,1,0.840825,0.028433,0.035996,0.025726,0.007954
BA(k=4),14,1,3,0.929698,0.090536,0.032104,0.069314,0.007376
BA(k=4),14,2,1,0.81141,0.027208,0.033789,0.037601,0.007751
BA(k=4),14,2,3,0.898292,0.087664,0.034011,0.074088,0.035483
BA(k=4),14,3,1,0.806631,0.024608,0.052235,0.013222,0.014368
BA(k=4),14,3,3,0.88898,0.082542,0.075173,0.059122,0.035404
BA(k=4),14,4,1,0.83703,0.026077,0.059042,0.015838,0.029407
BA(k=4),14,4,3,0.922881,0.086006,0.030874,0.072832,0.020469
BA(k=4),14,5,1,0.837276,0.026116,0.055169,0.036735,0.02248
BA(k=4),14,5,3,0.920489,0.083659,0.05341,0.08911,0.014984
BA(k=4),14,6,1,0.801958,0.037478,0.048055,0.033493,0.008704
BA(k=4),14,6,3,0.901342,0.079413,0.059048,0.079413,0.02783
BA(k=4),14,7,1,0.831935,0.023091,0.041063,0.060477,0.004163
BA(k=4),14,7,3,0.917862,0.084481,0.068986,0.054988,0.038809
BA(k=4),14,8,1,0.830593,0.022144,0.026383,0.034624,0.006232
BA(k=4),14,8,3,0.908045,0.076387,0.033976,0.081183,0.029082
BA(k=4),14,9,1,0.78022,0.023877,0.039364,0.012871,0.010499
BA(k=4),14,9,3,0.869185,0.088955,0.129004,0.066407,0.017442
BA(k=4),14,10,1,0.789166,0.029044,0.048228,0.016936,0.028229
BA(k=4),14,10,3,0.888665,0.101273,0.072709,0.062757,0.028879
WS(k=4;b=0.1),12,1,1,0.833172,0.028676,0.038759,0.010089,0.016312
WS(k=4;b=0.1),12,1,3,0.907038,0.055503,0.020827,0.045379,0.020827
WS(k=4;b=0.1),12,2,1,0.827806,0.025795,0.041019,0.015885,0.001267
WS(k=4;b=0.1),12,2,3,0.904593,0.056546,0.019401,0.045617,0.009153
WS(k=4;b=0.1),12,3,1,0.832641,0.028427,0.03806,0.033712,0.010121
WS(k=4;b=0.1),12,3,3,0.924028,0.069955,0.025681,0.09793,0.006401
WS(k=4;b=0.1),12,4,1,0.877542,0.027782,0.020136,0.003718,0.004608
WS(k=4;b=0.1),12,4,3,0.956469,0.059451,0.01672,0.049773,0.01672
WS(k=4;b=0.1),12,5,1,0.786067,0.025693,0.022752,0.0206,0.016229
WS(k=4;b=0.1),12,5,3,0.865869,0.061368,0.020049,0.064887,0.017132
