family,n,inst,p,ceiling,regret_exact_raw,regret_exact_norm,regret_samp_raw,regret_samp_norm
ER(0.5),10,1,1,0.824879,0.036911,0.003895,0.027363,0.003895
ER(0.5),10,1,3,0.92244,0.095989,0.018491,0.095989,0.0
ER(0.5),10,2,1,0.848965,0.034902,0.00688,0.024179,0.00688
ER(0.5),10,2,3,0.916175,0.064357,0.0,0.034855,0.0
ER(0.25),10,1,1,0.778672,0.014499,0.079887,0.059624,0.079887
ER(0.25),10,1,3,0.868943,0.040823,0.019462,0.066393,0.007276
ER(0.25),10,2,1,0.743534,0.032509,0.075394,0.032509,0.0
ER(0.25),10,2,3,0.820896,0.043817,0.03886,0.054689,0.003093
BA(k=2),10,1,1,0.768837,0.014151,0.018525,0.014151,0.018525
BA(k=2),10,1,3,0.878841,0.068436,0.048858,0.068436,0.010381
BA(k=2),10,2,1,0.863715,0.025888,0.10226,0.025888,0.008442
BA(k=2),10,2,3,0.932859,0.039183,0.0,0.051055,0.0
BA(k=4),10,1,1,0.784169,0.030486,0.005485,0.030486,0.005485
BA(k=4),10,1,3,0.874302,0.085384,0.011584,0.041923,0.035354
BA(k=4),10,2,1,0.760346,0.040623,0.0,0.000793,0.0
BA(k=4),10,2,3,0.860655,0.050852,0.015171,0.0676,0.015171
WS(k=4;b=0.1),10,1,1,0.821642,0.006551,0.0,0.006551,0.0
WS(k=4;b=0.1),10,1,3,0.871996,0.027804,0.005613,0.016914,0.005613
WS(k=4;b=0.1),10,2,1,0.886197,0.009332,0.024177,0.009332,0.0
WS(k=4;b=0.1),10,2,3,0.944976,0.024764,0.001946,0.054451,0.001946
WS(k=4;b=0.5),10,1,1,0.776434,0.010133,0.017011,0.010133,0.017011
WS(k=4;b=0.5),10,1,3,0.88418,0.060252,0.029669,0.078147,0.029669
WS(k=4;b=0.5),10,2,1,0.780224,0.009582,0.022039,0.062102,0.022039
WS(k=4;b=0.5),10,2,3,0.880692,0.062084,0.053498,0.062084,0.008452
3-regular,10,1,1,0.817079,0.027529,0.009998,0.027529,0.009998
3-regular,10,1,3,0.890044,0.060921,0.021196,0.060921,0.055882
3-regular,10,2,1,0.772105,0.03344,0.003989,0.03344,0.079008
3-regular,10,2,3,0.887694,0.09335,0.035331,0.107359,0.0
