family,n,inst,p,ceiling,kind,param,regret_raw,regret_norm
ER(0.5),12,1,1,0.847729,exact,0,0.020881,0.027598
ER(0.5),12,1,1,0.847729,rep,1,0.010522,0.014757
ER(0.5),12,1,1,0.847729,rep,2,0.03122,0.009497
ER(0.5),12,1,1,0.847729,rep,3,0.009701,0.016797
ER(0.5),12,1,1,0.847729,rep,4,0.046418,0.014757
ER(0.5),12,1,1,0.847729,rep,5,0.061855,0.014757
ER(0.5),12,1,1,0.847729,rep,6,0.009701,0.021812
ER(0.5),12,1,1,0.847729,rep,7,0.026089,0.016797
ER(0.5),12,1,1,0.847729,rep,8,0.03122,0.009497
ER(0.5),12,1,1,0.847729,rep,9,0.019142,0.014757
ER(0.5),12,1,1,0.847729,rep,10,0.031836,0.034048
ER(0.5),12,1,1,0.847729,avg,10,0.020881,0.027598
ER(0.5),12,1,1,0.847729,sweep,3,0.004971,0.000672
ER(0.5),12,1,1,0.847729,sweep,10,0.016498,0.021812
ER(0.5),12,1,1,0.847729,sweep,30,0.020881,0.014757
ER(0.5),12,1,1,0.847729,sweep,100,0.03122,0.014757
ER(0.5),12,1,1,0.847729,sweep,300,0.03122,0.014757
ER(0.5),12,1,3,0.924775,exact,0,0.074271,0.029402
ER(0.5),12,1,3,0.924775,rep,1,0.05394,0.022517
ER(0.5),12,1,3,0.924775,rep,2,0.066836,0.022517
ER(0.5),12,1,3,0.924775,rep,3,0.05394,0.022517
ER(0.5),12,1,3,0.924775,rep,4,0.058577,0.029402
ER(0.5),12,1,3,0.924775,rep,5,0.085285,0.013165
ER(0.5),12,1,3,0.924775,rep,6,0.05394,0.019548
ER(0.5),12,1,3,0.924775,rep,7,0.079177,0.013814
ER(0.5),12,1,3,0.924775,rep,8,0.066836,0.038242
ER(0.5),12,1,3,0.924775,rep,9,0.066836,0.022517
ER(0.5),12,1,3,0.924775,rep,10,0.068504,0.042886
ER(0.5),12,1,3,0.924775,avg,10,0.074271,0.029402
ER(0.5),12,1,3,0.924775,sweep,3,0.053285,0.011935
ER(0.5),12,1,3,0.924775,sweep,10,0.06156,0.013814
ER(0.5),12,1,3,0.924775,sweep,30,0.057379,0.029402
ER(0.5),12,1,3,0.924775,sweep,100,0.054243,0.029402
ER(0.5),12,1,3,0.924775,sweep,300,0.074271,0.029402
ER(0.5),12,2,1,0.836853,exact,0,0.026934,0.021868
ER(0.5),12,2,1,0.836853,rep,1,0.022427,0.030489
ER(0.5),12,2,1,0.836853,rep,2,0.026934,0.010821
ER(0.5),12,2,1,0.836853,rep,3,0.037569,0.011103
ER(0.5),12,2,1,0.836853,rep,4,0.037569,0.011103
