family,n,inst,p,ceiling,kind,param,regret_raw,regret_norm
ER(0.5),12,1,1,0.842806,exact,0,0.022172,0.014026
ER(0.5),12,1,1,0.842806,rep,1,0.022172,0.014026
ER(0.5),12,1,1,0.842806,rep,2,0.022172,0.014026
ER(0.5),12,1,1,0.842806,rep,3,0.016079,0.014026
ER(0.5),12,1,1,0.842806,avg,3,0.022172,0.014026
ER(0.5),12,1,1,0.842806,sweep,3,0.022172,0.0
ER(0.5),12,1,1,0.842806,sweep,30,0.022172,0.014026
ER(0.5),12,1,3,0.907526,exact,0,0.052944,0.019415
ER(0.5),12,1,3,0.907526,rep,1,0.033093,0.019415
ER(0.5),12,1,3,0.907526,rep,2,0.056126,0.019415
ER(0.5),12,1,3,0.907526,rep,3,0.052944,0.019415
ER(0.5),12,1,3,0.907526,avg,3,0.052944,0.019415
ER(0.5),12,1,3,0.907526,sweep,3,0.033093,0.021801
ER(0.5),12,1,3,0.907526,sweep,30,0.052944,0.019415
ER(0.5),12,2,1,0.834427,exact,0,0.030107,0.011311
ER(0.5),12,2,1,0.834427,rep,1,0.030107,0.011311
ER(0.5),12,2,1,0.834427,rep,2,0.030107,0.011311
ER(0.5),12,2,1,0.834427,rep,3,0.030107,0.011311
ER(0.5),12,2,1,0.834427,avg,3,0.030107,0.011311
ER(0.5),12,2,1,0.834427,sweep,3,0.030107,0.011311
ER(0.5),12,2,1,0.834427,sweep,30,0.030107,0.011311
ER(0.5),12,2,3,0.918077,exact,0,0.075159,0.007132
ER(0.5),12,2,3,0.918077,rep,1,0.082994,0.000864
ER(0.5),12,2,3,0.918077,rep,2,0.075159,0.02841
ER(0.5),12,2,3,0.918077,rep,3,0.09267,0.000864
ER(0.5),12,2,3,0.918077,avg,3,0.075159,0.000864
ER(0.5),12,2,3,0.918077,sweep,3,0.075159,0.02841
ER(0.5),12,2,3,0.918077,sweep,30,0.082994,0.000864
ER(0.25),12,1,1,0.760727,exact,0,0.02994,0.074448
ER(0.25),12,1,1,0.760727,rep,1,0.02994,0.016479
ER(0.25),12,1,1,0.760727,rep,2,0.02994,0.0
