family,n,inst,p,ceiling,kind,sigma,rep,regret_raw,regret_norm
ER(0.5),12,1,1,0.847729,exact,0.0,0,0.020881,0.027598
ER(0.5),12,1,1,0.847729,samp10,0.0,1,0.010522,0.014757
ER(0.5),12,1,1,0.847729,iid,0.05,1,0.117406,0.014757
ER(0.5),12,1,1,0.847729,iid,0.05,2,0.11696,0.021812
ER(0.5),12,1,1,0.847729,iid,0.05,3,0.123022,0.014757
ER(0.5),12,1,1,0.847729,iid,0.05,4,0.11696,0.014757
ER(0.5),12,1,1,0.847729,iid,0.05,5,0.11696,0.014757
ER(0.5),12,1,1,0.847729,iid,0.1,1,0.11696,0.000672
ER(0.5),12,1,1,0.847729,iid,0.1,2,0.11696,0.007095
ER(0.5),12,1,1,0.847729,iid,0.1,3,0.11696,0.014757
ER(0.5),12,1,1,0.847729,iid,0.1,4,0.109042,0.007095
ER(0.5),12,1,1,0.847729,iid,0.1,5,0.11696,0.009497
ER(0.5),12,1,1,0.847729,iid,0.2,1,0.182057,0.005379
ER(0.5),12,1,1,0.847729,iid,0.2,2,0.194548,0.003118
ER(0.5),12,1,1,0.847729,iid,0.2,3,0.204234,0.009654
ER(0.5),12,1,1,0.847729,iid,0.2,4,0.117406,0.007095
ER(0.5),12,1,1,0.847729,iid,0.2,5,0.145472,0.000672
ER(0.5),12,1,1,0.847729,iid,0.4,1,0.128169,0.029261
ER(0.5),12,1,1,0.847729,iid,0.4,2,0.132004,0.009701
ER(0.5),12,1,1,0.847729,iid,0.4,3,0.11696,0.020997
ER(0.5),12,1,1,0.847729,iid,0.4,4,0.293965,0.01207
ER(0.5),12,1,1,0.847729,iid,0.4,5,0.139578,0.005946
ER(0.5),12,1,1,0.847729,iid,0.8,1,0.138167,0.038463
ER(0.5),12,1,1,0.847729,iid,0.8,2,0.11696,0.031709
ER(0.5),12,1,1,0.847729,iid,0.8,3,0.117143,0.031709
ER(0.5),12,1,1,0.847729,iid,0.8,4,0.295834,0.005489
ER(0.5),12,1,1,0.847729,iid,0.8,5,0.11696,0.017107
ER(0.5),12,1,3,0.924775,exact,0.0,0,0.074271,0.029402
ER(0.5),12,1,3,0.924775,samp10,0.0,1,0.05394,0.022517
ER(0.5),12,1,3,0.924775,iid,0.05,1,0.213266,0.022517
ER(0.5),12,1,3,0.924775,iid,0.05,2,0.193504,0.013814
ER(0.5),12,1,3,0.924775,iid,0.05,3,0.213266,0.031214
ER(0.5),12,1,3,0.924775,iid,0.05,4,0.198732,0.029402
ER(0.5),12,1,3,0.924775,iid,0.05,5,0.198732,0.022517
ER(0.5),12,1,3,0.924775,iid,0.1,1,0.290209,0.023403
ER(0.5),12,1,3,0.924775,iid,0.1,2,0.161861,0.025445
ER(0.5),12,1,3,0.924775,iid,0.1,3,0.198732,0.029402
ER(0.5),12,1,3,0.924775,iid,0.1,4,0.191678,0.022517
ER(0.5),12,1,3,0.924775,iid,0.1,5,0.185157,0.019548
ER(0.5),12,1,3,0.924775,iid,0.2,1,0.183717,0.044528
ER(0.5),12,1,3,0.924775,iid,0.2,2,0.213266,0.025835
ER(0.5),12,1,3,0.924775,iid,0.2,3,0.261937,0.028684
ER(0.5),12,1,3,0.924775,iid,0.2,4,0.4135,0.021341
ER(0.5),12,1,3,0.924775,iid,0.2,5,0.27349,0.034919
ER(0.5),12,1,3,0.924775,iid,0.4,1,0.198732,0.075904
ER(0.5),12,1,3,0.924775,iid,0.4,2,0.242359,0.054354
ER(0.5),12,1,3,0.924775,iid,0.4,3,0.314954,0.087421
ER(0.5),12,1,3,0.924775,iid,0.4,4,0.265462,0.025413
ER(0.5),12,1,3,0.924775,iid,0.4,5,0.22807,0.034919
ER(0.5),12,1,3,0.924775,iid,0.8,1,0.316634,0.083492
ER(0.5),12,1,3,0.924775,iid,0.8,2,0.314954,0.085869
ER(0.5),12,1,3,0.924775,iid,0.8,3,0.187549,0.072887
ER(0.5),12,1,3,0.924775,iid,0.8,4,0.198732,0.025835
ER(0.5),12,1,3,0.924775,iid,0.8,5,0.213266,0.054869
ER(0.5),12,2,1,0.836853,exact,0.0,0,0.026934,0.021868
ER(0.5),12,2,1,0.836853,samp10,0.0,1,0.022427,0.030489
ER(0.5),12,2,1,0.836853,iid,0.05,1,0.13201,0.005954
