family,n,inst,p,ceiling,kind,sigma,rep,regret_raw,regret_norm
ER(0.5),12,1,1,0.842806,exact,0.0,0,0.022172,0.014026
ER(0.5),12,1,1,0.842806,samp10,0.0,1,0.022172,0.014026
ER(0.5),12,1,1,0.842806,iid,0.2,1,0.112036,0.0
ER(0.5),12,1,1,0.842806,iid,0.2,2,0.209974,0.014026
ER(0.5),12,1,3,0.907526,exact,0.0,0,0.052944,0.019415
ER(0.5),12,1,3,0.907526,samp10,0.0,1,0.033093,0.019415
ER(0.5),12,1,3,0.907526,iid,0.2,1,0.17048,0.044287
ER(0.5),12,1,3,0.907526,iid,0.2,2,0.181483,0.00052
ER(0.5),12,2,1,0.834427,exact,0.0,0,0.030107,0.011311
ER(0.5),12,2,1,0.834427,samp10,0.0,1,0.030107,0.011311
ER(0.5),12,2,1,0.834427,iid,0.2,1,0.122889,0.0
ER(0.5),12,2,1,0.834427,iid,0.2,2,0.129437,0.011311
ER(0.5),12,2,3,0.918077,exact,0.0,0,0.075159,0.007132
ER(0.5),12,2,3,0.918077,samp10,0.0,1,0.082994,0.000864
ER(0.5),12,2,3,0.918077,iid,0.2,1,0.21061,0.034971
ER(0.5),12,2,3,0.918077,iid,0.2,2,0.200056,0.000864
ER(0.25),12,1,1,0.760727,exact,0.0,0,0.02994,0.074448
ER(0.25),12,1,1,0.760727,samp10,0.0,1,0.02994,0.016479
ER(0.25),12,1,1,0.760727,iid,0.2,1,0.183804,0.041118
ER(0.25),12,1,1,0.760727,iid,0.2,2,0.183804,0.0
ER(0.25),12,1,3,0.852162,exact,0.0,0,0.067001,0.021456
ER(0.25),12,1,3,0.852162,samp10,0.0,1,0.028215,0.021456
ER(0.25),12,1,3,0.852162,iid,0.2,1,0.268905,0.058629
ER(0.25),12,1,3,0.852162,iid,0.2,2,0.212833,0.058629
ER(0.25),12,2,1,0.798845,exact,0.0,0,0.028869,0.09858
ER(0.25),12,2,1,0.798845,samp10,0.0,1,0.028869,0.066965
ER(0.25),12,2,1,0.798845,iid,0.2,1,0.191703,0.005673
ER(0.25),12,2,1,0.798845,iid,0.2,2,0.191703,0.005673
ER(0.25),12,2,3,0.889275,exact,0.0,0,0.061399,0.039706
ER(0.25),12,2,3,0.889275,samp10,0.0,1,0.026028,0.039706
ER(0.25),12,2,3,0.889275,iid,0.2,1,0.284265,0.041891
ER(0.25),12,2,3,0.889275,iid,0.2,2,0.284265,0.019125
BA(k=2),12,1,1,0.755192,exact,0.0,0,0.019425,0.063289
BA(k=2),12,1,1,0.755192,samp10,0.0,1,0.019425,0.009252
BA(k=2),12,1,1,0.755192,iid,0.2,1,0.166956,0.0
BA(k=2),12,1,1,0.755192,iid,0.2,2,0.27062,0.057316
BA(k=2),12,1,3,0.858768,exact,0.0,0,0.065387,0.050908
BA(k=2),12,1,3,0.858768,samp10,0.0,1,0.03437,0.050908
BA(k=2),12,1,3,0.858768,iid,0.2,1,0.26763,0.029576
BA(k=2),12,1,3,0.858768,iid,0.2,2,0.321477,0.029576
BA(k=2),12,2,1,0.852466,exact,0.0,0,0.020074,0.013843
BA(k=2),12,2,1,0.852466,samp10,0.0,1,0.020074,0.013843
BA(k=2),12,2,1,0.852466,iid,0.2,1,0.240133,0.051793
BA(k=2),12,2,1,0.852466,iid,0.2,2,0.303676,0.060393
BA(k=2),12,2,3,0.908862,exact,0.0,0,0.039229,0.021768
BA(k=2),12,2,3,0.908862,samp10,0.0,1,0.039229,0.002139
BA(k=2),12,2,3,0.908862,iid,0.2,1,0.375457,0.036031
BA(k=2),12,2,3,0.908862,iid,0.2,2,0.38929,0.039897
BA(k=4),12,1,1,0.755427,exact,0.0,0,0.03092,0.004683
BA(k=4),12,1,1,0.755427,samp10,0.0,1,0.03092,0.004683
BA(k=4),12,1,1,0.755427,iid,0.2,1,0.117898,0.004683
BA(k=4),12,1,1,0.755427,iid,0.2,2,0.115427,0.004683
BA(k=4),12,1,3,0.839777,exact,0.0,0,0.081126,0.067779
BA(k=4),12,1,3,0.839777,samp10,0.0,1,0.095356,0.049373
BA(k=4),12,1,3,0.839777,iid,0.2,1,0.225499,0.026336
BA(k=4),12,1,3,0.839777,iid,0.2,2,0.203417,0.006367
BA(k=4),12,2,1,0.776403,exact,0.0,0,0.025588,0.027616
BA(k=4),12,2,1,0.776403,samp10,0.0,1,0.025588,0.006636
BA(k=4),12,2,1,0.776403,iid,0.2,1,0.121962,0.022069
BA(k=4),12,2,1,0.776403,iid,0.2,2,0.109736,0.0
BA(k=4),12,2,3,0.865658,exact,0.0,0,0.081008,0.111122
BA(k=4),12,2,3,0.865658,samp10,0.0,1,0.081008,0.030921
BA(k=4),12,2,3,0.865658,iid,0.2,1,0.238282,0.000591
BA(k=4),12,2,3,0.865658,iid,0.2,2,0.203126,0.054007
WS(k=4;b=0.1),12,1,1,0.831641,exact,0.0,0,0.01029,0.022967
WS(k=4;b=0.1),12,1,1,0.831641,samp10,0.0,1,0.01029,0.022967
WS(k=4;b=0.1),12,1,1,0.831641,iid,0.2,1,0.164974,0.0
WS(k=4;b=0.1),12,1,1,0.831641,iid,0.2,2,0.225552,0.022967
WS(k=4;b=0.1),12,1,3,0.891618,exact,0.0,0,0.038457,0.036276
WS(k=4;b=0.1),12,1,3,0.891618,samp10,0.0,1,0.038457,0.036276
WS(k=4;b=0.1),12,1,3,0.891618,iid,0.2,1,0.252245,0.060697
WS(k=4;b=0.1),12,1,3,0.891618,iid,0.2,2,0.29091,0.058811
WS(k=4;b=0.1),12,2,1,0.825393,exact,0.0,0,0.007933,0.02355
WS(k=4;b=0.1),12,2,1,0.825393,samp10,0.0,1,0.06082,0.0
WS(k=4;b=0.1),12,2,1,0.825393,iid,0.2,1,0.221413,0.0
WS(k=4;b=0.1),12,2,1,0.825393,iid,0.2,2,0.195454,0.0
WS(k=4;b=0.1),12,2,3,0.889734,exact,0.0,0,0.040484,0.014358
WS(k=4;b=0.1),12,2,3,0.889734,samp10,0.0,1,0.057243,0.014358
WS(k=4;b=0.1),12,2,3,0.889734,iid,0.2,1,0.252045,0.040484
WS(k=4;b=0.1),12,2,3,0.889734,iid,0.2,2,0.416794,0.091461
