family,n,inst,p,ceiling,kind,regret_raw,regret_norm
ER(0.5),16,1,1,0.817731,exact,0.037996,0.049532
ER(0.5),16,1,1,0.817731,samp10,0.034754,0.007079
ER(0.5),16,1,1,0.817731,samp3,0.053773,0.003944
ER(0.5),16,1,3,0.900426,exact,0.080757,0.09399
ER(0.5),16,1,3,0.900426,samp10,0.056123,0.016351
ER(0.5),16,1,3,0.900426,samp3,0.05132,0.023161
ER(0.5),16,2,1,0.859261,exact,0.03218,0.032854
ER(0.5),16,2,1,0.859261,samp10,0.039468,0.009465
ER(0.5),16,2,1,0.859261,samp3,0.036075,0.004764
ER(0.5),16,2,3,0.931413,exact,0.087688,0.056507
ER(0.5),16,2,3,0.931413,samp10,0.076966,0.025692
ER(0.5),16,2,3,0.931413,samp3,0.057664,0.009505
ER(0.5),16,3,1,0.780172,exact,0.030906,0.032367
ER(0.5),16,3,1,0.780172,samp10,0.026216,0.014654
ER(0.5),16,3,1,0.780172,samp3,0.024112,0.010316
ER(0.5),16,3,3,0.870572,exact,0.086812,0.069917
ER(0.5),16,3,3,0.870572,samp10,0.086812,0.031583
ER(0.5),16,3,3,0.870572,samp3,0.088456,0.015918
ER(0.5),16,4,1,0.811671,exact,0.028934,0.043636
ER(0.5),16,4,1,0.811671,samp10,0.038767,0.037983
ER(0.5),16,4,1,0.811671,samp3,0.024451,0.002261
ER(0.5),16,4,3,0.887978,exact,0.07237,0.079793
ER(0.5),16,4,3,0.887978,samp10,0.084077,0.031319
ER(0.5),16,4,3,0.887978,samp3,0.07237,0.016427
ER(0.5),16,5,1,0.817602,exact,0.035626,0.042655
ER(0.5),16,5,1,0.817602,samp10,0.037691,0.047496
ER(0.5),16,5,1,0.817602,samp3,0.053885,0.003228
ER(0.5),16,5,3,0.902956,exact,0.080052,0.047529
ER(0.5),16,5,3,0.902956,samp10,0.104894,0.020578
ER(0.5),16,5,3,0.902956,samp3,0.116356,0.022947
ER(0.25),16,1,1,0.785972,exact,0.035742,0.08725
ER(0.25),16,1,1,0.785972,samp10,0.030861,0.018475
ER(0.25),16,1,1,0.785972,samp3,0.152621,0.009473
ER(0.25),16,1,3,0.890945,exact,0.085532,0.07021
ER(0.25),16,1,3,0.890945,samp10,0.087199,0.022258
ER(0.25),16,1,3,0.890945,samp3,0.215381,0.035297
ER(0.25),16,2,1,0.784573,exact,0.038588,0.061927
ER(0.25),16,2,1,0.784573,samp10,0.051767,0.022446
ER(0.25),16,2,1,0.784573,samp3,0.051767,0.00578
ER(0.25),16,2,3,0.883211,exact,0.088131,0.052468
ER(0.25),16,2,3,0.883211,samp10,0.100773,0.006994
ER(0.25),16,2,3,0.883211,samp3,0.117782,1.6e-5
ER(0.25),16,3,1,0.771978,exact,0.04038,0.063974
ER(0.25),16,3,1,0.771978,samp10,0.033749,0.010449
ER(0.25),16,3,1,0.771978,samp3,0.05488,0.002718
ER(0.25),16,3,3,0.863865,exact,0.089816,0.050104
ER(0.25),16,3,3,0.863865,samp10,0.089816,0.014023
ER(0.25),16,3,3,0.863865,samp3,0.131404,0.016007
ER(0.25),16,4,1,0.792388,exact,0.046657,0.111754
ER(0.25),16,4,1,0.792388,samp10,0.041826,0.025809
ER(0.25),16,4,1,0.792388,samp3,0.090346,0.012534
ER(0.25),16,4,3,0.901379,exact,0.100977,0.050821
ER(0.25),16,4,3,0.901379,samp10,0.07577,0.044913
ER(0.25),16,4,3,0.901379,samp3,0.204864,0.02245
ER(0.25),16,5,1,0.764371,exact,0.038849,0.060914
ER(0.25),16,5,1,0.764371,samp10,0.072614,0.017018
ER(0.25),16,5,1,0.764371,samp3,0.043722,0.002822
ER(0.25),16,5,3,0.859143,exact,0.091084,0.054892
ER(0.25),16,5,3,0.859143,samp10,0.1298,0.022155
ER(0.25),16,5,3,0.859143,samp3,0.15221,0.023434
BA(k=2),16,1,1,0.796061,exact,0.042996,0.043026
BA(k=2),16,1,1,0.796061,samp10,0.057009,0.011331
BA(k=2),16,1,1,0.796061,samp3,0.016328,0.005015
BA(k=2),16,1,3,0.876409,exact,0.080706,0.055471
BA(k=2),16,1,3,0.876409,samp10,0.090192,0.019533
BA(k=2),16,1,3,0.876409,samp3,0.06323,0.007387
BA(k=2),16,2,1,0.775522,exact,0.037202,0.072827
BA(k=2),16,2,1,0.775522,samp10,0.034818,0.005396
BA(k=2),16,2,1,0.775522,samp3,0.037202,0.003501
BA(k=2),16,2,3,0.879293,exact,0.084317,0.071366
BA(k=2),16,2,3,0.879293,samp10,0.064898,0.022198
BA(k=2),16,2,3,0.879293,samp3,0.076292,0.013788
BA(k=2),16,3,1,0.750382,exact,0.039799,0.104532
BA(k=2),16,3,1,0.750382,samp10,0.036938,0.017392
BA(k=2),16,3,1,0.750382,samp3,0.011483,0.002421
BA(k=2),16,3,3,0.852786,exact,0.084136,0.079605
BA(k=2),16,3,3,0.852786,samp10,0.079691,0.048901
BA(k=2),16,3,3,0.852786,samp3,0.065998,0.010693
BA(k=2),16,4,1,0.79798,exact,0.04403,0.048951
BA(k=2),16,4,1,0.79798,samp10,0.058234,0.010108
BA(k=2),16,4,1,0.79798,samp3,0.009567,0.01365
BA(k=2),16,4,3,0.884133,exact,0.085995,0.063369
BA(k=2),16,4,3,0.884133,samp10,0.109235,0.00208
BA(k=2),16,4,3,0.884133,samp3,0.066504,0.025901
BA(k=2),16,5,1,0.742616,exact,0.036419,0.06694
BA(k=2),16,5,1,0.742616,samp10,0.09401,0.009449
BA(k=2),16,5,1,0.742616,samp3,0.018239,0.007797
BA(k=2),16,5,3,0.842516,exact,0.105144,0.044451
BA(k=2),16,5,3,0.842516,samp10,0.140246,0.025067
BA(k=2),16,5,3,0.842516,samp3,0.060907,0.01581
BA(k=4),16,1,1,0.826764,exact,0.038328,0.053147
BA(k=4),16,1,1,0.826764,samp10,0.056341,0.028898
BA(k=4),16,1,1,0.826764,samp3,0.038328,0.012202
BA(k=4),16,1,3,0.907506,exact,0.080313,0.059135
BA(k=4),16,1,3,0.907506,samp10,0.0895,0.016467
BA(k=4),16,1,3,0.907506,samp3,0.111155,0.004187
BA(k=4),16,2,1,0.828605,exact,0.040165,0.050619
BA(k=4),16,2,1,0.828605,samp10,0.032903,0.007014
BA(k=4),16,2,1,0.828605,samp3,0.053211,0.003626
BA(k=4),16,2,3,0.91479,exact,0.086482,0.065873
BA(k=4),16,2,3,0.91479,samp10,0.090683,0.014398
BA(k=4),16,2,3,0.91479,samp3,0.085441,0.013354
