family,n,inst,m,p,regret,bound_paper,margin,bound_sharp,bound_unif,ratio_paper,ratio_sharp,e_star,e_hat,onesided_sign_ok,onesided_bound,onesided_holds,err_cos
ER(0.5),12,1,38,1,0.027598,0.340309,0.016999,0.32331,0.843353,12.33,11.72,-0.017043,-0.06164,1,0.243785,1,-0.556
ER(0.5),12,1,38,3,0.029402,0.335575,0.030792,0.304783,0.941362,11.41,10.37,-0.01282,-0.073014,1,0.220462,1,0.7473
ER(0.5),12,2,37,1,0.021868,0.368444,0.0243,0.344144,0.879492,16.85,15.74,-0.021619,-0.067787,1,0.242009,1,-0.7019
ER(0.5),12,2,37,3,0.025315,0.302692,0.023104,0.279588,0.885751,11.96,11.04,-0.013542,-0.06196,1,0.188013,1,-0.3007
ER(0.5),12,3,35,1,0.026456,0.401786,0.01621,0.385576,0.925217,15.19,14.57,-0.024684,-0.06735,1,0.27037,1,-0.7627
ER(0.5),12,3,35,3,0.043432,0.485206,0.022108,0.463098,1.058105,11.17,10.66,-0.032825,-0.098365,1,0.295273,1,-0.3274
ER(0.5),12,4,37,1,0.01161,0.223593,0.008124,0.21547,0.72071,19.26,18.56,-0.015404,-0.035138,1,0.145799,1,-0.5157
ER(0.5),12,4,37,3,0.018577,0.266597,0.012038,0.254559,0.788396,14.35,13.7,-0.015236,-0.045851,1,0.178456,1,-0.5131
ER(0.5),12,5,43,1,0.004257,0.181084,0.004823,0.176261,0.762741,42.54,41.41,-0.012541,-0.021621,1,0.10781,1,-0.0008
ER(0.5),12,5,43,3,0.024356,0.342024,0.026978,0.315045,0.928545,14.04,12.93,-0.007681,-0.059016,1,0.227344,1,0.3901
ER(0.5),14,1,43,1,0.041126,0.416846,0.028477,0.388369,0.923108,10.14,9.44,-0.018338,-0.087941,1,0.309822,1,0.5117
ER(0.5),14,1,43,3,0.042299,0.369849,0.027777,0.342072,0.867773,8.74,8.09,-0.013349,-0.083425,1,0.263558,1,-0.5033
ER(0.5),14,2,50,1,0.01745,0.26989,0.009151,0.260739,0.783225,15.47,14.94,-0.014226,-0.040827,1,0.189249,1,-0.5385
ER(0.5),14,2,50,3,0.068354,0.565777,0.040036,0.525741,1.161349,8.28,7.69,-0.012686,-0.121077,1,0.422247,1,0.3531
ER(0.5),14,3,47,1,0.038309,0.431655,0.024602,0.407053,0.986699,11.27,10.63,-0.01981,-0.082721,1,0.319115,1,0.5463
ER(0.5),14,3,47,3,0.092985,0.678505,0.044625,0.63388,1.284182,7.3,6.82,-0.016756,-0.154365,1,0.518453,1,-0.2445
ER(0.5),14,4,42,1,0.039903,0.45366,0.019499,0.434161,0.93252,11.37,10.88,-0.026796,-0.086198,1,0.324374,1,0.4056
ER(0.5),14,4,42,3,0.060034,0.521506,0.051907,0.469599,1.146929,8.69,7.82,-0.016325,-0.128265,1,0.369797,1,0.0568
ER(0.5),14,5,40,1,0.033651,0.456491,0.031259,0.425232,0.912325,13.57,12.64,-0.024296,-0.089206,1,0.308294,1,0.3011
ER(0.5),14,5,40,3,0.033171,0.528128,0.018313,0.509815,1.012362,15.92,15.37,-0.006341,-0.057824,1,0.307496,1,-0.5969
ER(0.25),12,1,15,1,0.062813,0.605842,0.03621,0.569633,1.166436,9.65,9.07,-0.028781,-0.127803,1,0.441535,1,-0.5474
ER(0.25),12,1,15,3,0.03499,0.505933,0.048051,0.457882,1.014563,14.46,13.09,-0.032624,-0.115666,1,0.307903,1,0.1692
ER(0.25),12,2,17,1,0.119521,0.763977,0.052139,0.711838,1.408591,6.39,5.96,-0.032691,-0.204351,1,0.586509,1,0.2601
ER(0.25),12,2,17,3,0.057341,0.458407,0.031885,0.426522,0.910573,7.99,7.44,-0.027548,-0.116774,1,0.32376,1,0.1769
ER(0.25),12,3,15,1,0.083595,0.803886,0.051216,0.75267,1.370033,9.62,9.0,-0.043466,-0.178277,1,0.563359,1,-0.5545
ER(0.25),12,3,15,3,0.053773,0.572069,0.049641,0.522428,1.131762,10.64,9.72,-0.029648,-0.133063,1,0.340025,1,0.3811
ER(0.25),12,4,9,1,0.060661,0.588083,0.036693,0.55139,1.134748,9.69,9.09,-0.045493,-0.142847,1,0.391333,1,-0.2903
ER(0.25),12,4,9,3,0.021567,0.423642,0.024167,0.399475,0.833429,19.64,18.52,-0.048187,-0.093922,1,0.254473,1,-0.47
ER(0.25),12,5,11,1,0.061494,0.493622,0.031816,0.461806,1.094023,8.03,7.51,-0.040152,-0.133463,1,0.332294,1,-0.424
ER(0.25),12,5,11,3,0.013204,0.263484,0.021899,0.241585,0.656347,19.95,18.3,-0.017918,-0.053022,1,0.147071,1,0.8411
ER(0.25),14,1,22,1,0.030491,0.384522,0.022805,0.361717,0.860749,12.61,11.86,-0.024368,-0.077663,1,0.255115,1,-0.823
ER(0.25),14,1,22,3,0.028406,0.417055,0.036566,0.380488,0.847304,14.68,13.39,-0.02152,-0.086492,1,0.23243,1,0.6491
ER(0.25),14,2,24,1,0.067287,0.577843,0.045569,0.532274,1.092597,8.59,7.91,-0.029525,-0.142381,1,0.414576,1,0.1788
ER(0.25),14,2,24,3,0.070009,0.667281,0.022362,0.644919,1.109744,9.53,9.21,-0.042205,-0.134576,1,0.447524,1,0.5655
ER(0.25),14,3,23,1,0.061929,0.64089,0.047529,0.593361,1.146258,10.35,9.58,-0.036867,-0.146326,1,0.438101,1,0.056
ER(0.25),14,3,23,3,0.094194,0.806446,0.068318,0.738128,1.377353,8.56,7.84,-0.032883,-0.195395,1,0.535082,1,0.1983
ER(0.25),14,4,23,1,0.080925,0.638975,0.043966,0.595009,1.174706,7.9,7.35,-0.033235,-0.158126,1,0.461039,1,0.1544
ER(0.25),14,4,23,3,0.047471,0.605088,0.047683,0.557405,1.032622,12.75,11.74,-0.019292,-0.114447,1,0.378863,1,-0.0467
ER(0.25),14,5,26,1,0.061245,0.604231,0.0366,0.567631,1.163763,9.87,9.27,-0.034563,-0.132408,1,0.431504,1,0.0733
ER(0.25),14,5,26,3,0.031845,0.392341,0.020902,0.371439,0.806398,12.32,11.66,-0.03209,-0.084838,1,0.250208,1,0.5351
BA(k=2),12,1,20,1,0.05317,0.600267,0.043458,0.556809,1.193387,11.29,10.47,-0.029928,-0.126555,1,0.419555,1,-0.3984
BA(k=2),12,1,20,3,0.091319,0.7899,0.059476,0.730424,1.317605,8.65,8.0,-0.032989,-0.183784,1,0.531624,1,-0.284
BA(k=2),12,2,20,1,0.030279,0.361611,0.016539,0.345072,0.828242,11.94,11.4,-0.025494,-0.072312,1,0.244126,1,-0.6826
BA(k=2),12,2,20,3,0.010004,0.211815,0.011884,0.199931,0.526694,21.17,19.98,-0.017361,-0.03925,1,0.115237,1,0.8886
BA(k=2),12,3,20,1,0.044838,0.540173,0.043241,0.496932,1.116756,12.05,11.08,-0.03405,-0.122128,1,0.360582,1,-0.7148
BA(k=2),12,3,20,3,0.032607,0.360768,0.018154,0.342615,0.800951,11.06,10.51,-0.021378,-0.072139,1,0.242406,1,0.7007
BA(k=2),12,4,20,1,0.063002,0.605079,0.048073,0.557006,1.14819,9.6,8.84,-0.04017,-0.151244,1,0.41315,1,-0.1845
