family,n,inst,m,p,regret,bound_paper,margin,bound_sharp,bound_unif,ratio_paper,ratio_sharp,e_star,e_hat,onesided_sign_ok,onesided_bound,onesided_holds,err_cos
ER(0.5),10,1,25,1,0.003895,0.263007,0.022422,0.240585,0.784001,67.52,61.77,-0.012333,-0.03865,1,0.157779,1,-0.3662
ER(0.5),10,1,25,3,0.018491,0.43781,0.006735,0.431075,0.902058,23.68,23.31,-0.040794,-0.06602,1,0.261341,1,-0.8445
ER(0.5),10,2,23,1,0.00688,0.237481,0.015897,0.221584,0.824923,34.52,32.21,-0.01097,-0.033747,1,0.149922,1,-0.1897
ER(0.5),10,2,23,3,0.0,0.393377,0.0,0.393377,0.783246,3.933770278262e11,3.933770278262e11,-0.043689,-0.043689,1,0.196689,1,1.0
ER(0.25),10,1,10,1,0.079887,0.607177,0.02505,0.582127,1.211838,7.6,7.29,-0.03103,-0.135967,1,0.452649,1,-0.468
ER(0.25),10,1,10,3,0.019462,0.371829,0.063996,0.307834,0.708597,19.11,15.82,0.001685,-0.081773,0,0.193654,1,0.7256
ER(0.25),10,2,9,1,0.075394,0.619997,0.035812,0.584186,1.159542,8.22,7.75,-0.036593,-0.147798,1,0.437788,1,-0.2791
ER(0.25),10,2,9,3,0.03886,0.561325,0.089396,0.471929,0.85489,14.44,12.14,0.016627,-0.111629,0,0.298181,1,0.8402
BA(k=2),10,1,16,1,0.018525,0.470604,0.019995,0.450609,0.944448,25.4,24.32,-0.018348,-0.056869,1,0.31463,1,-0.71
BA(k=2),10,1,16,3,0.048858,0.685139,0.033086,0.652054,1.156611,14.02,13.35,-0.053873,-0.135816,1,0.431551,1,-0.3403
BA(k=2),10,2,16,1,0.10226,0.631132,0.025703,0.605429,1.2315,6.17,5.92,-0.024489,-0.152452,1,0.503951,1,-0.1048
BA(k=2),10,2,16,3,0.0,0.181795,0.0,0.181795,0.483087,1.8179507497812e11,1.8179507497812e11,-0.025869,-0.025869,1,0.090898,1,1.0
BA(k=4),10,1,24,1,0.005485,0.255963,0.01547,0.240493,0.72696,46.66,43.84,-0.009992,-0.030948,1,0.161675,1,-0.2941
BA(k=4),10,1,24,3,0.011584,0.44533,0.017926,0.427404,0.922373,38.44,36.9,-0.034947,-0.064457,1,0.219758,1,-0.1041
BA(k=4),10,2,24,1,0.0,0.326308,0.0,0.326308,0.691363,3.263076163238e11,3.263076163238e11,-0.036584,-0.036584,1,0.163154,1,1.0
BA(k=4),10,2,24,3,0.015171,0.586142,0.003723,0.582419,1.02008,38.63,38.39,-0.03704,-0.055934,1,0.350654,1,-0.8733
WS(k=4;b=0.1),10,1,20,1,0.0,0.200135,0.0,0.200135,0.781796,2.0013512234617e11,2.0013512234617e11,-0.021625,-0.021625,1,0.100068,1,1.0
WS(k=4;b=0.1),10,1,20,3,0.005613,0.224338,0.019054,0.205284,0.620041,39.96,36.57,0.00012,-0.024547,0,0.08843,1,0.3613
WS(k=4;b=0.1),10,2,20,1,0.024177,0.329386,0.000904,0.328482,0.717133,13.62,13.59,-0.026896,-0.051977,1,0.215094,1,-0.0285
WS(k=4;b=0.1),10,2,20,3,0.001946,0.145971,0.011395,0.134576,0.682144,75.02,69.16,-0.011285,-0.024625,1,0.083472,1,-0.5937
WS(k=4;b=0.5),10,1,20,1,0.017011,0.408654,0.010094,0.39856,0.872872,24.02,23.43,-0.032106,-0.059211,1,0.246528,1,-0.0636
WS(k=4;b=0.5),10,1,20,3,0.029669,0.42291,0.013471,0.409439,0.769789,14.25,13.8,-0.047905,-0.091044,1,0.240834,1,-0.1542
WS(k=4;b=0.5),10,2,20,1,0.022039,0.372299,0.006895,0.365404,0.799156,16.89,16.58,-0.028756,-0.05769,1,0.230257,1,-0.0786
WS(k=4;b=0.5),10,2,20,3,0.053498,0.629604,0.029123,0.600481,1.082159,11.77,11.22,-0.036674,-0.119294,1,0.404886,1,0.3796
3-regular,10,1,15,1,0.009998,0.230059,0.015836,0.214224,0.892232,23.01,21.43,-0.016898,-0.042732,1,0.136635,1,0.3164
3-regular,10,1,15,3,0.021196,0.259803,0.044212,0.215591,0.617674,12.26,10.17,0.015253,-0.050155,0,0.123985,1,-0.0463
3-regular,10,2,15,1,0.003989,0.26841,0.022001,0.246409,0.758574,67.29,61.78,-0.017317,-0.043306,1,0.149027,1,0.2858
3-regular,10,2,15,3,0.035331,0.496082,0.041401,0.454681,0.99675,14.04,12.87,-0.018003,-0.094735,1,0.305256,1,-0.4456
