family,n,inst,p,ceiling,kind,regret_raw,regret_norm
ER(0.5),12,1,1,0.847729,exact,0.020881,0.027598
ER(0.5),12,1,1,0.847729,samp10,0.031836,0.009497
ER(0.5),12,1,1,0.847729,poly,0.160385,0.003118
ER(0.5),12,1,3,0.924775,exact,0.074271,0.029402
ER(0.5),12,1,3,0.924775,samp10,0.075123,0.025445
ER(0.5),12,1,3,0.924775,poly,0.280381,0.019548
ER(0.5),12,2,1,0.836853,exact,0.026934,0.021868
ER(0.5),12,2,1,0.836853,samp10,0.037775,0.005954
ER(0.5),12,2,1,0.836853,poly,0.106104,0.005954
ER(0.5),12,2,3,0.932219,exact,0.094499,0.025315
ER(0.5),12,2,3,0.932219,samp10,0.044704,0.018958
ER(0.5),12,2,3,0.932219,poly,0.193426,0.018958
ER(0.5),12,3,1,0.824275,exact,0.027452,0.026456
ER(0.5),12,3,1,0.824275,samp10,0.033416,0.004806
ER(0.5),12,3,1,0.824275,poly,0.12897,0.001418
ER(0.5),12,3,3,0.925855,exact,0.081415,0.043432
ER(0.5),12,3,3,0.925855,samp10,0.079557,0.016061
ER(0.5),12,3,3,0.925855,poly,0.233725,0.015542
ER(0.5),12,4,1,0.852769,exact,0.018335,0.01161
ER(0.5),12,4,1,0.852769,samp10,0.028436,0.003624
ER(0.5),12,4,1,0.852769,poly,0.062034,0.001
ER(0.5),12,4,3,0.916212,exact,0.061036,0.018577
ER(0.5),12,4,3,0.916212,samp10,0.061036,0.006925
ER(0.5),12,4,3,0.916212,poly,0.134318,0.023931
ER(0.5),12,5,1,0.867125,exact,0.019514,0.004257
ER(0.5),12,5,1,0.867125,samp10,0.019514,0.004257
ER(0.5),12,5,1,0.867125,poly,0.035441,0.004257
ER(0.5),12,5,3,0.931342,exact,0.055988,0.024356
ER(0.5),12,5,3,0.931342,samp10,0.059894,0.010273
ER(0.5),12,5,3,0.931342,poly,0.177472,0.029747
ER(0.25),12,1,1,0.763325,exact,0.031585,0.062813
ER(0.25),12,1,1,0.763325,samp10,0.053109,0.018503
ER(0.25),12,1,1,0.763325,poly,0.042425,0.031571
ER(0.25),12,1,3,0.86719,exact,0.079051,0.03499
ER(0.25),12,1,3,0.86719,samp10,0.107852,0.023401
ER(0.25),12,1,3,0.86719,poly,0.26292,0.036632
ER(0.25),12,2,1,0.800817,exact,0.030093,0.119521
ER(0.25),12,2,1,0.800817,samp10,0.020778,0.012585
ER(0.25),12,2,1,0.800817,poly,0.020778,0.033126
ER(0.25),12,2,3,0.902946,exact,0.068025,0.057341
ER(0.25),12,2,3,0.902946,samp10,0.068025,0.028579
ER(0.25),12,2,3,0.902946,poly,0.075948,0.08962
ER(0.25),12,3,1,0.74323,exact,0.037767,0.083595
ER(0.25),12,3,1,0.74323,samp10,0.020874,0.042575
ER(0.25),12,3,1,0.74323,poly,0.064459,0.031255
ER(0.25),12,3,3,0.888638,exact,0.101721,0.053773
ER(0.25),12,3,3,0.888638,samp10,0.104244,0.044553
ER(0.25),12,3,3,0.888638,poly,0.144897,0.068683
ER(0.25),12,4,1,0.769267,exact,0.030199,0.060661
ER(0.25),12,4,1,0.769267,samp10,0.073651,0.006494
ER(0.25),12,4,1,0.769267,poly,0.052786,0.016253
ER(0.25),12,4,3,0.856305,exact,0.052678,0.021567
ER(0.25),12,4,3,0.856305,samp10,0.08076,0.001185
ER(0.25),12,4,3,0.856305,poly,0.024657,0.058847
