family,n,inst,m,t_enum_s,t_poly_s,classes_missed
ER(0.5),12,1,38,0.541,0.552,0
ER(0.5),12,2,37,0.004,0.223,0
ER(0.5),12,3,35,0.004,0.299,0
ER(0.5),12,4,37,0.005,0.225,0
ER(0.5),12,5,43,0.005,0.248,0
ER(0.25),12,1,15,0.004,0.147,0
ER(0.25),12,2,17,0.004,0.168,0
ER(0.25),12,3,15,0.004,0.156,0
ER(0.25),12,4,9,0.004,0.119,0
ER(0.25),12,5,11,0.004,0.126,0
BA(k=2),12,1,20,0.005,0.182,0
BA(k=2),12,2,20,0.004,0.146,0
BA(k=2),12,3,20,0.005,0.154,0
BA(k=2),12,4,20,0.004,0.139,0
BA(k=2),12,5,20,0.004,0.145,0
BA(k=4),12,1,32,0.005,0.202,0
BA(k=4),12,2,32,0.005,0.209,0
BA(k=4),12,3,32,0.005,0.2,0
BA(k=4),12,4,32,0.004,0.202,0
BA(k=4),12,5,32,0.005,0.197,0
WS(k=4;b=0.1),12,1,24,0.003,0.149,0
WS(k=4;b=0.1),12,2,24,0.004,0.162,0
WS(k=4;b=0.1),12,3,24,0.004,0.157,0
WS(k=4;b=0.1),12,4,24,0.003,0.147,0
WS(k=4;b=0.1),12,5,24,0.005,0.155,0
WS(k=4;b=0.5),12,1,24,0.004,0.16,0
WS(k=4;b=0.5),12,2,24,0.004,0.165,0
WS(k=4;b=0.5),12,3,24,0.005,0.169,0
WS(k=4;b=0.5),12,4,24,0.004,0.165,0
WS(k=4;b=0.5),12,5,24,0.004,0.164,0
3-regular,12,1,18,0.003,0.132,0
3-regular,12,2,18,0.003,0.125,0
3-regular,12,3,18,0.003,0.136,0
3-regular,12,4,18,0.003,0.122,0
3-regular,12,5,18,0.003,0.123,0
ER(0.5),14,1,43,0.013,0.278,0
ER(0.5),14,2,50,0.018,0.347,0
ER(0.5),14,3,47,0.013,0.326,0
ER(0.5),14,4,42,0.025,0.291,0
ER(0.5),14,5,40,0.02,0.288,0
ER(0.25),14,1,22,0.012,0.179,0
ER(0.25),14,2,24,0.014,0.189,0
ER(0.25),14,3,23,0.014,0.206,0
ER(0.25),14,4,23,0.02,0.195,0
ER(0.25),14,5,26,0.016,0.202,0
BA(k=2),14,1,24,0.015,0.192,0
BA(k=2),14,2,24,0.013,0.185,0
BA(k=2),14,3,24,0.084,0.203,0
BA(k=2),14,4,24,0.015,0.188,0
BA(k=2),14,5,24,0.014,0.202,0
BA(k=4),14,1,40,0.016,0.276,0
BA(k=4),14,2,40,0.014,0.275,0
BA(k=4),14,3,40,0.016,0.268,0
BA(k=4),14,4,40,0.016,0.306,0
BA(k=4),14,5,40,0.018,0.277,0
WS(k=4;b=0.1),14,1,28,0.016,0.21,0
WS(k=4;b=0.1),14,2,28,0.014,0.201,0
WS(k=4;b=0.1),14,3,28,0.014,0.189,0
WS(k=4;b=0.1),14,4,28,0.014,0.181,0
WS(k=4;b=0.1),14,5,28,0.014,0.194,0
WS(k=4;b=0.5),14,1,28,0.016,0.202,0
WS(k=4;b=0.5),14,2,28,0.016,0.206,0
WS(k=4;b=0.5),14,3,28,0.013,0.199,0
WS(k=4;b=0.5),14,4,28,0.015,0.209,0
WS(k=4;b=0.5),14,5,28,0.013,0.204,0
3-regular,14,1,21,0.008,0.154,0
3-regular,14,2,21,0.01,0.163,0
3-regular,14,3,21,0.009,0.155,0
3-regular,14,4,21,0.009,0.157,0
3-regular,14,5,21,0.009,0.155,0
ER(0.5)-scale,20,1,89,1.663,0.955,
ER(0.5)-scale,20,2,105,1.847,0.962,
ER(0.5)-scale,20,3,97,1.591,0.976,
