family,n,inst,part,p,ceiling,kind,t_est_s,classes_missed,regret_raw,regret_norm
ER(0.5),12,1,A,1,0.847729,exact,1.118,0,0.020881,0.027598
ER(0.5),12,1,A,1,0.847729,samp10,0.204,0,0.031836,0.009497
ER(0.5),12,1,A,1,0.847729,poly_S3_K50,0.444,0,0.14329,0.000672
ER(0.5),12,1,A,1,0.847729,poly_S10_K50,0.213,0,0.116965,0.005379
ER(0.5),12,1,A,1,0.847729,poly_S10_K200,0.223,0,0.160385,0.003118
ER(0.5),12,1,A,1,0.847729,poly_S10_K800,0.247,0,0.031836,0.034048
ER(0.5),12,1,A,1,0.847729,poly_S30_K200,0.423,0,0.041623,0.034048
ER(0.5),12,1,A,3,0.924775,exact,1.118,0,0.074271,0.029402
ER(0.5),12,1,A,3,0.924775,samp10,0.204,0,0.075123,0.025445
ER(0.5),12,1,A,3,0.924775,poly_S3_K50,0.444,0,0.214222,0.011085
ER(0.5),12,1,A,3,0.924775,poly_S10_K50,0.213,0,0.243238,0.011935
ER(0.5),12,1,A,3,0.924775,poly_S10_K200,0.223,0,0.280381,0.019548
ER(0.5),12,1,A,3,0.924775,poly_S10_K800,0.247,0,0.05931,0.038242
ER(0.5),12,1,A,3,0.924775,poly_S30_K200,0.423,0,0.047924,0.0604
ER(0.5),12,2,A,1,0.836853,exact,0.035,0,0.026934,0.021868
ER(0.5),12,2,A,1,0.836853,samp10,0.005,0,0.037775,0.005954
ER(0.5),12,2,A,1,0.836853,poly_S3_K50,0.149,0,0.13347,0.010657
ER(0.5),12,2,A,1,0.836853,poly_S10_K50,0.213,0,0.171814,0.000565
ER(0.5),12,2,A,1,0.836853,poly_S10_K200,0.225,0,0.106104,0.005954
ER(0.5),12,2,A,1,0.836853,poly_S10_K800,0.251,0,0.022427,0.030489
ER(0.5),12,2,A,1,0.836853,poly_S30_K200,0.43,0,0.053423,0.021868
ER(0.5),12,2,A,3,0.932219,exact,0.035,0,0.094499,0.025315
ER(0.5),12,2,A,3,0.932219,samp10,0.005,0,0.044704,0.018958
ER(0.5),12,2,A,3,0.932219,poly_S3_K50,0.149,0,0.285741,0.036548
ER(0.5),12,2,A,3,0.932219,poly_S10_K50,0.213,0,0.38347,0.013233
ER(0.5),12,2,A,3,0.932219,poly_S10_K200,0.225,0,0.193426,0.018958
ER(0.5),12,2,A,3,0.932219,poly_S10_K800,0.251,0,0.080653,0.005436
ER(0.5),12,2,A,3,0.932219,poly_S30_K200,0.43,0,0.124516,0.018958
ER(0.5),12,3,A,1,0.824275,exact,0.021,0,0.027452,0.026456
ER(0.5),12,3,A,1,0.824275,samp10,0.004,0,0.033416,0.004806
ER(0.5),12,3,A,1,0.824275,poly_S3_K50,0.137,0,0.127579,0.006209
ER(0.5),12,3,A,1,0.824275,poly_S10_K50,0.193,0,0.236208,0.00894
ER(0.5),12,3,A,1,0.824275,poly_S10_K200,0.202,0,0.12897,0.001418
ER(0.5),12,3,A,1,0.824275,poly_S10_K800,0.218,0,0.016732,0.020064
ER(0.5),12,3,A,1,0.824275,poly_S30_K200,0.38,0,0.042512,0.026456
ER(0.5),12,3,A,3,0.925855,exact,0.021,0,0.081415,0.043432
ER(0.5),12,3,A,3,0.925855,samp10,0.004,0,0.079557,0.016061
ER(0.5),12,3,A,3,0.925855,poly_S3_K50,0.137,0,0.250752,0.047553
ER(0.5),12,3,A,3,0.925855,poly_S10_K50,0.193,0,0.30827,0.049136
ER(0.5),12,3,A,3,0.925855,poly_S10_K200,0.202,0,0.233725,0.015542
ER(0.5),12,3,A,3,0.925855,poly_S10_K800,0.218,0,0.088662,0.016061
ER(0.5),12,3,A,3,0.925855,poly_S30_K200,0.38,0,0.108223,0.019655
ER(0.5),12,4,A,1,0.852769,exact,0.021,0,0.018335,0.01161
ER(0.5),12,4,A,1,0.852769,samp10,0.005,0,0.028436,0.003624
ER(0.5),12,4,A,1,0.852769,poly_S3_K50,0.138,0,0.159118,0.002843
ER(0.5),12,4,A,1,0.852769,poly_S10_K50,0.2,0,0.189252,0.001
ER(0.5),12,4,A,1,0.852769,poly_S10_K200,0.203,0,0.062034,0.001
ER(0.5),12,4,A,1,0.852769,poly_S10_K800,0.219,0,0.018335,0.003624
ER(0.5),12,4,A,1,0.852769,poly_S30_K200,0.37,0,0.022936,0.01161
ER(0.5),12,4,A,3,0.916212,exact,0.021,0,0.061036,0.018577
ER(0.5),12,4,A,3,0.916212,samp10,0.005,0,0.061036,0.006925
ER(0.5),12,4,A,3,0.916212,poly_S3_K50,0.138,0,0.216857,0.018972
ER(0.5),12,4,A,3,0.916212,poly_S10_K50,0.2,0,0.337138,0.004473
ER(0.5),12,4,A,3,0.916212,poly_S10_K200,0.203,0,0.134318,0.023931
ER(0.5),12,4,A,3,0.916212,poly_S10_K800,0.219,0,0.048702,0.034453
ER(0.5),12,4,A,3,0.916212,poly_S30_K200,0.37,0,0.065049,0.012689
ER(0.5),12,5,A,1,0.867125,exact,0.022,0,0.019514,0.004257
ER(0.5),12,5,A,1,0.867125,samp10,0.004,0,0.019514,0.004257
ER(0.5),12,5,A,1,0.867125,poly_S3_K50,0.157,0,0.251456,0.004257
ER(0.5),12,5,A,1,0.867125,poly_S10_K50,0.226,0,0.102914,0.003017
ER(0.5),12,5,A,1,0.867125,poly_S10_K200,0.229,0,0.035441,0.004257
ER(0.5),12,5,A,1,0.867125,poly_S10_K800,0.245,0,0.023162,0.008616
ER(0.5),12,5,A,1,0.867125,poly_S30_K200,0.451,0,0.048753,0.004257
ER(0.5),12,5,A,3,0.931342,exact,0.022,0,0.055988,0.024356
ER(0.5),12,5,A,3,0.931342,samp10,0.004,0,0.059894,0.010273
ER(0.5),12,5,A,3,0.931342,poly_S3_K50,0.157,0,0.238852,0.018506
ER(0.5),12,5,A,3,0.931342,poly_S10_K50,0.226,0,0.268523,0.016195
ER(0.5),12,5,A,3,0.931342,poly_S10_K200,0.229,0,0.177472,0.029747
ER(0.5),12,5,A,3,0.931342,poly_S10_K800,0.245,0,0.162122,0.02517
ER(0.5),12,5,A,3,0.931342,poly_S30_K200,0.451,0,0.126773,0.024356
ER(0.25),12,1,A,1,0.763325,exact,0.023,0,0.031585,0.062813
ER(0.25),12,1,A,1,0.763325,samp10,0.004,0,0.053109,0.018503
ER(0.25),12,1,A,1,0.763325,poly_S3_K50,0.112,0,0.199144,0.010679
ER(0.25),12,1,A,1,0.763325,poly_S10_K50,0.139,0,0.122329,0.006431
ER(0.25),12,1,A,1,0.763325,poly_S10_K200,0.144,0,0.042425,0.031571
ER(0.25),12,1,A,1,0.763325,poly_S10_K800,0.145,0,0.038981,0.058226
ER(0.25),12,1,A,1,0.763325,poly_S30_K200,0.239,0,0.028633,0.018503
ER(0.25),12,1,A,3,0.86719,exact,0.023,0,0.079051,0.03499
ER(0.25),12,1,A,3,0.86719,samp10,0.004,0,0.107852,0.023401
ER(0.25),12,1,A,3,0.86719,poly_S3_K50,0.112,0,0.354869,0.035107
ER(0.25),12,1,A,3,0.86719,poly_S10_K50,0.139,0,0.274305,0.056899
ER(0.25),12,1,A,3,0.86719,poly_S10_K200,0.144,0,0.26292,0.036632
ER(0.25),12,1,A,3,0.86719,poly_S10_K800,0.145,0,0.110213,0.045386
ER(0.25),12,1,A,3,0.86719,poly_S30_K200,0.239,0,0.074996,0.036632
ER(0.25),12,2,A,1,0.800817,exact,0.019,0,0.030093,0.119521
ER(0.25),12,2,A,1,0.800817,samp10,0.004,0,0.020778,0.012585
ER(0.25),12,2,A,1,0.800817,poly_S3_K50,0.092,0,0.154021,0.022159
ER(0.25),12,2,A,1,0.800817,poly_S10_K50,0.138,0,0.153461,0.0
ER(0.25),12,2,A,1,0.800817,poly_S10_K200,0.14,0,0.020778,0.033126
ER(0.25),12,2,A,1,0.800817,poly_S10_K800,0.149,0,0.051543,0.043252
ER(0.25),12,2,A,1,0.800817,poly_S30_K200,0.237,0,0.067272,0.025348
ER(0.25),12,2,A,3,0.902946,exact,0.019,0,0.068025,0.057341
ER(0.25),12,2,A,3,0.902946,samp10,0.004,0,0.068025,0.028579
ER(0.25),12,2,A,3,0.902946,poly_S3_K50,0.092,0,0.317591,0.024901
ER(0.25),12,2,A,3,0.902946,poly_S10_K50,0.138,0,0.219055,0.034849
ER(0.25),12,2,A,3,0.902946,poly_S10_K200,0.14,0,0.075948,0.08962
ER(0.25),12,2,A,3,0.902946,poly_S10_K800,0.149,0,0.089844,0.008582
ER(0.25),12,2,A,3,0.902946,poly_S30_K200,0.237,0,0.05813,0.029635
ER(0.25),12,3,A,1,0.74323,exact,0.03,0,0.037767,0.083595
ER(0.25),12,3,A,1,0.74323,samp10,0.003,0,0.020874,0.042575
ER(0.25),12,3,A,1,0.74323,poly_S3_K50,0.109,0,0.215649,0.008031
ER(0.25),12,3,A,1,0.74323,poly_S10_K50,0.137,0,0.047216,0.008837
ER(0.25),12,3,A,1,0.74323,poly_S10_K200,0.14,0,0.064459,0.031255
ER(0.25),12,3,A,1,0.74323,poly_S10_K800,0.15,0,0.043533,0.006739
ER(0.25),12,3,A,1,0.74323,poly_S30_K200,0.247,0,0.106791,0.042575
ER(0.25),12,3,A,3,0.888638,exact,0.03,0,0.101721,0.053773
ER(0.25),12,3,A,3,0.888638,samp10,0.003,0,0.104244,0.044553
ER(0.25),12,3,A,3,0.888638,poly_S3_K50,0.109,0,0.298934,0.056737
ER(0.25),12,3,A,3,0.888638,poly_S10_K50,0.137,0,0.354986,0.060672
ER(0.25),12,3,A,3,0.888638,poly_S10_K200,0.14,0,0.144897,0.068683
ER(0.25),12,3,A,3,0.888638,poly_S10_K800,0.15,0,0.136824,0.018588
ER(0.25),12,3,A,3,0.888638,poly_S30_K200,0.247,0,0.217567,0.045449
ER(0.25),12,4,A,1,0.769267,exact,0.02,0,0.030199,0.060661
ER(0.25),12,4,A,1,0.769267,samp10,0.003,0,0.073651,0.006494
ER(0.25),12,4,A,1,0.769267,poly_S3_K50,0.081,0,0.178424,0.012056
ER(0.25),12,4,A,1,0.769267,poly_S10_K50,0.108,0,0.19783,0.025459
ER(0.25),12,4,A,1,0.769267,poly_S10_K200,0.109,0,0.052786,0.016253
ER(0.25),12,4,A,1,0.769267,poly_S10_K800,0.112,0,0.030255,0.045124
ER(0.25),12,4,A,1,0.769267,poly_S30_K200,0.175,0,0.130534,0.060661
ER(0.25),12,4,A,3,0.856305,exact,0.02,0,0.052678,0.021567
ER(0.25),12,4,A,3,0.856305,samp10,0.003,0,0.08076,0.001185
ER(0.25),12,4,A,3,0.856305,poly_S3_K50,0.081,0,0.393324,0.02681
ER(0.25),12,4,A,3,0.856305,poly_S10_K50,0.108,0,0.321282,0.08675
ER(0.25),12,4,A,3,0.856305,poly_S10_K200,0.109,0,0.024657,0.058847
ER(0.25),12,4,A,3,0.856305,poly_S10_K800,0.112,0,0.033673,0.021567
ER(0.25),12,4,A,3,0.856305,poly_S30_K200,0.175,0,0.244696,0.012291
ER(0.25),12,5,A,1,0.793687,exact,0.027,0,0.030412,0.061494
ER(0.25),12,5,A,1,0.793687,samp10,0.003,0,0.037328,0.028952
ER(0.25),12,5,A,1,0.793687,poly_S3_K50,0.089,0,0.257563,0.042974
ER(0.25),12,5,A,1,0.793687,poly_S10_K50,0.111,0,0.196313,0.002809
ER(0.25),12,5,A,1,0.793687,poly_S10_K200,0.117,0,0.067133,0.052769
ER(0.25),12,5,A,1,0.793687,poly_S10_K800,0.124,0,0.057629,0.052769
ER(0.25),12,5,A,1,0.793687,poly_S30_K200,0.19,0,0.039985,0.033695
ER(0.25),12,5,A,3,0.879597,exact,0.027,0,0.046055,0.013204
ER(0.25),12,5,A,3,0.879597,samp10,0.003,0,0.085681,0.002425
ER(0.25),12,5,A,3,0.879597,poly_S3_K50,0.089,0,0.311881,0.036181
ER(0.25),12,5,A,3,0.879597,poly_S10_K50,0.111,0,0.287004,0.002425
ER(0.25),12,5,A,3,0.879597,poly_S10_K200,0.117,0,0.241873,0.003595
ER(0.25),12,5,A,3,0.879597,poly_S10_K800,0.124,0,0.070493,0.013204
ER(0.25),12,5,A,3,0.879597,poly_S30_K200,0.19,0,0.067322,0.024109
BA(k=2),12,1,A,1,0.755404,exact,0.02,0,0.027973,0.05317
BA(k=2),12,1,A,1,0.755404,samp10,0.016,0,0.038986,0.014674
BA(k=2),12,1,A,1,0.755404,poly_S3_K50,0.121,0,0.177319,0.010809
BA(k=2),12,1,A,1,0.755404,poly_S10_K50,0.155,0,0.161373,0.004086
BA(k=2),12,1,A,1,0.755404,poly_S10_K200,0.156,0,0.01857,0.012417
BA(k=2),12,1,A,1,0.755404,poly_S10_K800,0.166,0,0.019016,0.031859
BA(k=2),12,1,A,1,0.755404,poly_S30_K200,0.279,0,0.051125,0.025868
BA(k=2),12,1,A,3,0.868111,exact,0.02,0,0.094387,0.091319
BA(k=2),12,1,A,3,0.868111,samp10,0.016,0,0.107149,0.030949
BA(k=2),12,1,A,3,0.868111,poly_S3_K50,0.121,0,0.340687,0.055851
BA(k=2),12,1,A,3,0.868111,poly_S10_K50,0.155,0,0.244758,0.029099
BA(k=2),12,1,A,3,0.868111,poly_S10_K200,0.156,0,0.253967,0.04183
BA(k=2),12,1,A,3,0.868111,poly_S10_K800,0.166,0,0.058226,0.019151
BA(k=2),12,1,A,3,0.868111,poly_S30_K200,0.279,0,0.062421,0.039497
BA(k=2),12,2,A,1,0.852018,exact,0.019,0,0.028384,0.030279
BA(k=2),12,2,A,1,0.852018,samp10,0.004,0,0.01835,0.017713
BA(k=2),12,2,A,1,0.852018,poly_S3_K50,0.1,0,0.18445,0.007468
BA(k=2),12,2,A,1,0.852018,poly_S10_K50,0.132,0,0.18562,0.001186
BA(k=2),12,2,A,1,0.852018,poly_S10_K200,0.144,0,0.158247,0.018178
BA(k=2),12,2,A,1,0.852018,poly_S10_K800,0.146,0,0.013059,0.007042
BA(k=2),12,2,A,1,0.852018,poly_S30_K200,0.232,0,0.009149,0.017713
BA(k=2),12,2,A,3,0.927055,exact,0.019,0,0.060904,0.010004
BA(k=2),12,2,A,3,0.927055,samp10,0.004,0,0.046824,0.005052
BA(k=2),12,2,A,3,0.927055,poly_S3_K50,0.1,0,0.380473,0.031348
BA(k=2),12,2,A,3,0.927055,poly_S10_K50,0.132,0,0.126829,0.017644
BA(k=2),12,2,A,3,0.927055,poly_S10_K200,0.144,0,0.192694,0.005052
BA(k=2),12,2,A,3,0.927055,poly_S10_K800,0.146,0,0.008191,0.010004
BA(k=2),12,2,A,3,0.927055,poly_S30_K200,0.232,0,0.043831,0.021763
BA(k=2),12,3,A,1,0.845851,exact,0.03,0,0.026094,0.044838
BA(k=2),12,3,A,1,0.845851,samp10,0.004,0,0.037199,0.02423
BA(k=2),12,3,A,1,0.845851,poly_S3_K50,0.115,0,0.267215,0.024303
BA(k=2),12,3,A,1,0.845851,poly_S10_K50,0.144,0,0.175196,0.001756
BA(k=2),12,3,A,1,0.845851,poly_S10_K200,0.157,0,0.109108,0.02036
BA(k=2),12,3,A,1,0.845851,poly_S10_K800,0.163,0,0.023824,0.013863
BA(k=2),12,3,A,1,0.845851,poly_S30_K200,0.258,0,0.023937,0.014627
BA(k=2),12,3,A,3,0.936066,exact,0.03,0,0.070134,0.032607
BA(k=2),12,3,A,3,0.936066,samp10,0.004,0,0.050112,0.025848
BA(k=2),12,3,A,3,0.936066,poly_S3_K50,0.115,0,0.358328,0.011383
BA(k=2),12,3,A,3,0.936066,poly_S10_K50,0.144,0,0.281975,0.014021
BA(k=2),12,3,A,3,0.936066,poly_S10_K200,0.157,0,0.251895,0.002609
BA(k=2),12,3,A,3,0.936066,poly_S10_K800,0.163,0,0.214659,0.015003
BA(k=2),12,3,A,3,0.936066,poly_S30_K200,0.258,0,0.064864,0.026788
BA(k=2),12,4,A,1,0.845212,exact,0.026,0,0.027094,0.063002
