family,n,inst,part,p,ceiling,kind,t_est_s,classes_missed,regret_raw,regret_norm
ER(0.5),10,1,A,1,0.824879,exact,1.164,0,0.036911,0.003895
ER(0.5),10,1,A,1,0.824879,samp10,0.205,0,0.027363,0.003895
ER(0.5),10,1,A,1,0.824879,poly_S3_K50,0.425,0,0.130435,0.0
ER(0.5),10,1,A,1,0.824879,poly_S10_K200,0.113,0,0.133133,0.003895
ER(0.5),10,1,A,3,0.92244,exact,1.164,0,0.095989,0.018491
ER(0.5),10,1,A,3,0.92244,samp10,0.205,0,0.095989,0.0
ER(0.5),10,1,A,3,0.92244,poly_S3_K50,0.425,0,0.446436,0.021071
ER(0.5),10,1,A,3,0.92244,poly_S10_K200,0.113,0,0.20189,0.021071
ER(0.5),10,2,A,1,0.848965,exact,0.002,0,0.034902,0.00688
ER(0.5),10,2,A,1,0.848965,samp10,0.001,0,0.024179,0.00688
ER(0.5),10,2,A,1,0.848965,poly_S3_K50,0.077,0,0.171148,0.00688
ER(0.5),10,2,A,1,0.848965,poly_S10_K200,0.101,0,0.024179,0.00688
ER(0.5),10,2,A,3,0.916175,exact,0.002,0,0.064357,0.0
ER(0.5),10,2,A,3,0.916175,samp10,0.001,0,0.034855,0.0
ER(0.5),10,2,A,3,0.916175,poly_S3_K50,0.077,0,0.215793,0.018008
ER(0.5),10,2,A,3,0.916175,poly_S10_K200,0.101,0,0.023979,0.018008
ER(0.25),10,1,A,1,0.778672,exact,0.002,0,0.014499,0.079887
ER(0.25),10,1,A,1,0.778672,samp10,0.001,0,0.059624,0.079887
ER(0.25),10,1,A,1,0.778672,poly_S3_K50,0.053,0,0.187602,0.0
ER(0.25),10,1,A,1,0.778672,poly_S10_K200,0.074,0,0.059624,0.01318
ER(0.25),10,1,A,3,0.868943,exact,0.002,0,0.040823,0.019462
ER(0.25),10,1,A,3,0.868943,samp10,0.001,0,0.066393,0.007276
ER(0.25),10,1,A,3,0.868943,poly_S3_K50,0.053,0,0.227463,0.015258
ER(0.25),10,1,A,3,0.868943,poly_S10_K200,0.074,0,0.077908,0.019462
ER(0.25),10,2,A,1,0.743534,exact,0.002,0,0.032509,0.075394
ER(0.25),10,2,A,1,0.743534,samp10,0.001,0,0.032509,0.0
ER(0.25),10,2,A,1,0.743534,poly_S3_K50,0.056,0,0.281536,0.0
ER(0.25),10,2,A,1,0.743534,poly_S10_K200,0.071,0,0.032509,0.075394
ER(0.25),10,2,A,3,0.820896,exact,0.002,0,0.043817,0.03886
ER(0.25),10,2,A,3,0.820896,samp10,0.001,0,0.054689,0.003093
