family,n,inst,part,p,ceiling,kind,t_est_s,classes_missed,regret_raw,regret_norm
ER(0.5),18,1,D,1,0.844167,exact,78.438,0,0.033653,0.042816
ER(0.5),18,1,D,1,0.844167,samp10,0.768,0,0.021462,0.017876
ER(0.5),18,1,D,1,0.844167,poly_S10_K200,0.908,0,0.098884,0.003545
ER(0.5),18,1,D,3,0.918066,exact,78.438,0,0.089832,0.048154
ER(0.5),18,1,D,3,0.918066,samp10,0.768,0,0.066219,0.026568
ER(0.5),18,1,D,3,0.918066,poly_S10_K200,0.908,0,0.233637,0.023682
ER(0.5),18,2,D,1,0.801293,exact,76.074,0,0.035115,0.04953
ER(0.5),18,2,D,1,0.801293,samp10,0.238,0,0.033134,0.008608
ER(0.5),18,2,D,1,0.801293,poly_S10_K200,0.599,0,0.220607,0.003356
ER(0.5),18,2,D,3,0.893316,exact,76.074,0,0.10877,0.078278
ER(0.5),18,2,D,3,0.893316,samp10,0.238,0,0.097676,0.041201
ER(0.5),18,2,D,3,0.893316,poly_S10_K200,0.599,0,0.273505,0.052109
ER(0.5),18,3,D,1,0.849632,exact,76.336,0,0.030428,0.027456
ER(0.5),18,3,D,1,0.849632,samp10,0.193,0,0.02685,0.006381
ER(0.5),18,3,D,1,0.849632,poly_S10_K200,0.649,0,0.090911,0.002604
ER(0.5),18,3,D,3,0.917635,exact,76.336,0,0.078692,0.057089
ER(0.5),18,3,D,3,0.917635,samp10,0.193,0,0.071604,0.034806
ER(0.5),18,3,D,3,0.917635,poly_S10_K200,0.649,0,0.292088,0.026635
ER(0.25),18,1,D,1,0.789241,exact,75.787,0,0.0415,0.128325
ER(0.25),18,1,D,1,0.789241,samp10,0.231,0,0.03072,0.028826
ER(0.25),18,1,D,1,0.789241,poly_S10_K200,0.235,0,0.20348,0.026607
ER(0.25),18,1,D,3,0.884595,exact,75.787,0,0.076505,0.031803
ER(0.25),18,1,D,3,0.884595,samp10,0.231,0,0.042172,0.031803
ER(0.25),18,1,D,3,0.884595,poly_S10_K200,0.235,0,0.350755,0.066291
ER(0.25),18,2,D,1,0.802562,exact,75.747,0,0.042746,0.081966
ER(0.25),18,2,D,1,0.802562,samp10,0.275,0,0.040286,0.010275
ER(0.25),18,2,D,1,0.802562,poly_S10_K200,0.329,0,0.171783,0.02696
ER(0.25),18,2,D,3,0.892922,exact,75.747,0,0.08756,0.077035
ER(0.25),18,2,D,3,0.892922,samp10,0.275,0,0.086137,0.045451
ER(0.25),18,2,D,3,0.892922,poly_S10_K200,0.329,0,0.240235,0.047143
