family,n,inst,part,p,ceiling,kind,t_est_s,classes_missed,regret_raw,regret_norm
ER(0.5),12,1,D,1,0.842806,exact,1.352,0,0.022172,0.014026
ER(0.5),12,1,D,1,0.842806,samp10,0.541,0,0.022172,0.014026
ER(0.5),12,1,D,1,0.842806,poly_S10_K200,0.506,0,0.016079,0.014026
ER(0.5),12,1,D,3,0.907526,exact,1.352,0,0.052944,0.019415
ER(0.5),12,1,D,3,0.907526,samp10,0.541,0,0.056126,0.019415
ER(0.5),12,1,D,3,0.907526,poly_S10_K200,0.506,0,0.031231,0.021801
ER(0.5),12,2,D,1,0.834427,exact,0.03,0,0.030107,0.011311
ER(0.5),12,2,D,1,0.834427,samp10,0.005,0,0.030107,0.011311
ER(0.5),12,2,D,1,0.834427,poly_S10_K200,0.184,0,0.059439,0.011311
ER(0.5),12,2,D,3,0.918077,exact,0.03,0,0.075159,0.007132
ER(0.5),12,2,D,3,0.918077,samp10,0.005,0,0.075159,0.007132
ER(0.5),12,2,D,3,0.918077,poly_S10_K200,0.184,0,0.158423,0.034971
ER(0.25),12,1,D,1,0.760727,exact,0.027,0,0.02994,0.074448
ER(0.25),12,1,D,1,0.760727,samp10,0.004,0,0.02994,0.016479
ER(0.25),12,1,D,1,0.760727,poly_S10_K200,0.116,0,0.060782,0.0
ER(0.25),12,1,D,3,0.852162,exact,0.027,0,0.067001,0.021456
ER(0.25),12,1,D,3,0.852162,samp10,0.004,0,0.073574,0.021456
ER(0.25),12,1,D,3,0.852162,poly_S10_K200,0.116,0,0.211411,0.00963
ER(0.25),12,2,D,1,0.798845,exact,0.026,0,0.028869,0.09858
ER(0.25),12,2,D,1,0.798845,samp10,0.004,0,0.028869,0.005673
ER(0.25),12,2,D,1,0.798845,poly_S10_K200,0.112,0,0.059575,0.005673
ER(0.25),12,2,D,3,0.889275,exact,0.026,0,0.061399,0.039706
ER(0.25),12,2,D,3,0.889275,samp10,0.004,0,0.061399,0.019125
ER(0.25),12,2,D,3,0.889275,poly_S10_K200,0.112,0,0.037036,0.119496
BA(k=2),12,1,D,1,0.755192,exact,0.026,0,0.019425,0.063289
BA(k=2),12,1,D,1,0.755192,samp10,0.004,0,0.019425,0.009252
BA(k=2),12,1,D,1,0.755192,poly_S10_K200,0.134,0,0.019425,0.009252
BA(k=2),12,1,D,3,0.858768,exact,0.026,0,0.065387,0.050908
BA(k=2),12,1,D,3,0.858768,samp10,0.004,0,0.082448,0.029576
BA(k=2),12,1,D,3,0.858768,poly_S10_K200,0.134,0,0.086111,0.069051
BA(k=2),12,2,D,1,0.852466,exact,0.03,0,0.020074,0.013843
BA(k=2),12,2,D,1,0.852466,samp10,0.004,0,0.020074,0.013843
BA(k=2),12,2,D,1,0.852466,poly_S10_K200,0.129,0,0.0,0.013843
BA(k=2),12,2,D,3,0.908862,exact,0.03,0,0.039229,0.021768
